n,bibtex_key,doi_submitted,doi_in_bib,resolution_check,note
1,tan_1993_marl,10.1016/B978-1-55860-307-3.50049-6,10.1016/B978-1-55860-307-3.50049-6,resolves (verified via doi.org),
2,shoham_1995_sociallaws,10.1016/0004-3702(94)00007-N,10.1016/0004-3702(94)00007-N,resolves (verified via doi.org),
3,guestrin_2001_factoredmdp,NO DOI ASSIGNED,,no DOI assigned by publisher,
4,guestrin_2002_contextspecific,10.5555/777092.777134,,submitted DOI does not resolve,DROPPED: submitted 10.5555/777092.777134 returns HTTP 404; AAAI-02 predates ojs.aaai.org DOI coverage and Crossref has no record. No DOI emitted.
5,guestrin_2002_coordrl,NO DOI ASSIGNED,,no DOI assigned by publisher,
6,guestrin_2003_factoredmdp_jair,10.1613/jair.1000,10.1613/jair.1000,resolves (verified via doi.org),
7,kok_2004_sparseq,10.1145/1015330.1015410,10.1145/1015330.1015410,resolves (verified via doi.org),
8,modi_2005_adopt,10.1016/j.artint.2004.09.003,10.1016/j.artint.2004.09.003,resolves (verified via doi.org),
9,panait_2005_cooperativemarl,10.1007/s10458-005-2631-2,10.1007/s10458-005-2631-2,resolves (verified via doi.org),"Valid DOI, but entry is uncited so it does not appear in the bibliography."
10,kok_2006_payoffprop,NO DOI ASSIGNED,,no DOI assigned by publisher,
11,melo_2009_sparseinteractions,10.1145/1558109.1558118,10.65109/lfas8458,resolves (verified via doi.org),CORRECTED: submitted 10.1145/1558109.1558118 returns HTTP 404; replaced with IFAAMAS DOI which resolves to the same ACM record (10.5555/1558109.1558118)
12,melo_2011_decsimdp,10.1016/j.artint.2011.05.001,10.1016/j.artint.2011.05.001,resolves (verified via doi.org),
13,foerster_2016_rial_dial,10.48550/arXiv.1605.06676,10.48550/arXiv.1605.06676,resolves (verified via doi.org),
14,oliehoek_2016_decpomdp,10.1007/978-3-319-28929-8,10.1007/978-3-319-28929-8,resolves (verified via doi.org),
15,sukhbaatar_2016_commnet,10.48550/arXiv.1605.07736,10.48550/arXiv.1605.07736,resolves (verified via doi.org),
16,vanhasselt_2016_doubledqn,10.1609/aaai.v30i1.10295,10.1609/aaai.v30i1.10295,resolves (verified via doi.org),
17,kipf_2017_gcn,10.48550/arXiv.1609.02907,10.48550/arXiv.1609.02907,resolves (verified via doi.org),
18,lowe_2017_maddpg,10.48550/arXiv.1706.02275,10.48550/arXiv.1706.02275,resolves (verified via doi.org),
19,battaglia_2018_gn,10.48550/arXiv.1806.01261,10.48550/arXiv.1806.01261,resolves (verified via doi.org),
20,fioretto_2018_dcopsurvey,10.1613/jair.5565,10.1613/jair.5565,resolves (verified via doi.org),
21,henderson_2018_drlmatters,10.1609/aaai.v32i1.11694,10.1609/aaai.v32i1.11694,resolves (verified via doi.org),
22,jiang_2018_atoc,10.48550/arXiv.1805.07733,10.48550/arXiv.1805.07733,resolves (verified via doi.org),
23,li_2018_oversmoothing,10.1609/aaai.v32i1.11604,10.1609/aaai.v32i1.11604,resolves (verified via doi.org),
24,rashid_2018_qmix,10.48550/arXiv.1803.11485,10.48550/arXiv.1803.11485,resolves (verified via doi.org),
25,sunehag_2018_vdn,10.65109/jsrc7365,10.65109/jsrc7365,resolves (verified via doi.org),
26,velickovic_2018_gat,10.48550/arXiv.1710.10903,10.48550/arXiv.1710.10903,resolves (verified via doi.org),
27,das_2019_tarmac,10.48550/arXiv.1810.11187,10.48550/arXiv.1810.11187,resolves (verified via doi.org),
28,mahajan_2019_maven,10.48550/arXiv.1910.07483,10.48550/arXiv.1910.07483,resolves (verified via doi.org),
29,samvelyan_2019_smac,10.65109/lvzz5205,10.65109/lvzz5205,resolves (verified via doi.org),
30,singh_2019_ic3net,10.48550/arXiv.1812.09755,10.48550/arXiv.1812.09755,resolves (verified via doi.org),
