run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,0,25,2.0,25,0.99943,,,0.002246999996714294
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,1,50,3.0,25,0.99883625,,,0.004594500060193241
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,2,75,3.0,25,0.9982425,,,0.0075131000485271215
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,3,100,2.0,25,0.99764875,,,0.009724900010041893
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,4,125,3.0,25,0.997055,,,0.012262500007636845
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,5,150,5.0,25,0.99646125,,,0.014664600021205842
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,6,175,2.0,25,0.9958675,,,0.01705630007199943
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,7,200,3.0,25,0.99527375,,,0.019973900052718818
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,8,225,0.0,25,0.99468,0.08298372424074582,0.46134030393191744,0.04549980000592768
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,9,250,6.0,25,0.99408625,0.06785019673407078,0.2062364692489306,0.4109987000701949
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,10,275,4.0,25,0.9934925,0.06706256419420242,0.31659113864103955,0.6482225999934599
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,11,300,3.0,25,0.99289875,0.07130202216406663,0.28825872391462326,0.6689066999824718
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,12,325,1.0,25,0.992305,0.06589156548891749,0.19048655884606497,0.692041700007394
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,13,350,0.0,25,0.99171125,0.04834027122706175,0.20649260530869165,1.2030746000818908
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,14,375,1.0,25,0.9911175,0.07370313008626302,0.21666172643502554,1.2238298000302166
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,15,400,7.0,25,0.99052375,0.0647548424700896,0.2534080222249031,1.5849357000552118
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,16,425,5.0,25,0.98993,0.08039851167372294,0.2038022450038365,1.80023140006233
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,17,450,6.0,25,0.98933625,0.08896967209875584,0.24210297813018164,2.219787499983795
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,18,475,2.0,25,0.9887425,0.05685592318574587,0.21362604945898056,2.2398969000205398
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,19,500,9.0,25,0.98814875,0.05867063067853451,0.21102417757113776,2.2604250999866053
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,20,525,4.0,25,0.987555,0.0826905502804688,0.20578501692840032,2.6777702000690624
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,21,550,3.0,25,0.98696125,0.06528484759231408,0.21027614424626032,2.9358311999822035
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,22,575,3.0,25,0.9863675,0.0659855380654335,0.21867337077856064,2.956307500018738
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,23,600,5.0,25,0.98577375,0.06739697605371475,0.19304716835419336,3.3325597000075504
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,24,625,3.0,25,0.9851800000000001,0.07988642422216279,0.2351289050919669,3.356540400069207
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,25,650,6.0,25,0.98458625,0.05436144024133682,0.16921708981196085,3.376556499977596
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,26,675,6.0,25,0.9839925,0.07340359315276146,0.24275542050600052,3.8958346000872552
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,27,700,13.0,25,0.98339875,0.09010897949337959,0.25135886420806247,3.91705060005188
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,28,725,3.0,25,0.982805,0.06402867127742086,0.21759546867438725,3.9409339000703767
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,29,750,4.0,25,0.98221125,0.06189443853994211,0.1902086759606997,4.476089100004174
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,30,775,7.0,25,0.9816175,0.06478776348133881,0.19538487742344537,4.498534600017592
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,31,800,1.0,25,0.98102375,0.07392114183555047,0.2514294609427452,4.519252700032666
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,32,825,3.0,25,0.98043,0.09064500193510737,0.23457976643528258,5.1226181000238284
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,33,850,1.0,25,0.97983625,0.0872872391094764,0.240446204940478,5.391708299983293
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,34,875,5.0,25,0.9792425,0.07717090472579002,0.24386979639530182,5.610034900018945
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,35,900,6.0,25,0.97864875,0.07544238741199176,0.19864516953627268,5.6382865000050515
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,36,925,4.0,25,0.978055,0.09698063188365527,0.27707886695861816,5.669224000070244
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,37,950,9.0,25,0.97746125,0.08158877988656361,0.21652440230051676,5.6975640000309795
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,38,975,3.0,25,0.9768675,0.10961561898390453,0.2855815887451172,5.724300200003199
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,39,1000,7.0,25,0.97627375,0.08041941312452157,0.2949781169493993,6.690686200046912
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,40,1025,4.0,25,0.97568,0.10734198668173381,0.5774962944643838,6.99648710002657
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,41,1050,3.0,25,0.97508625,0.08149953000247478,0.3068394089738528,7.4558292999863625
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,42,1075,6.0,25,0.9744925,0.10310700039068858,0.3300951768954595,7.555217000073753
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,43,1100,5.0,25,0.97389875,0.07656720156470935,0.30216815570990246,7.782986000063829
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,44,1125,8.0,25,0.973305,0.0844447250877108,0.25341254472732544,8.255807399982587
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,45,1150,6.0,25,0.97271125,0.09485019495089848,0.279174380004406,8.472227900056168
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,46,1175,3.0,25,0.9721175,0.11016076306502025,0.25949739168087643,8.50177580001764
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,47,1200,4.0,25,0.97152375,0.0603622371951739,0.28181306024392444,8.906902600079775
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,48,1225,0.0,25,0.97093,0.08065642097166606,0.2923298967736108,8.931919800001197
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,49,1250,7.0,25,0.97033625,0.08430683054029942,0.2303341949979464,9.364822800038382
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,50,1275,7.0,25,0.9697425,0.09119144144157569,0.22138439118862152,9.390816900064237
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,51,1300,5.0,25,0.96914875,0.08172318711876869,0.256402425467968,9.816343000042252
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,52,1325,5.0,25,0.968555,0.09156496982489314,0.21276998732771193,10.047097000060603
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,53,1350,7.0,25,0.96796125,0.09770489484071732,0.23984100421269736,10.310934500070289
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,54,1375,4.0,25,0.9673675,0.07619911183913548,0.23320433994134268,10.551321199978702
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,55,1400,8.0,25,0.96677375,0.10545815527439117,0.2528250838319461,10.583452500053681
gnn_qmix__ring__N4__seed2,gnn_qmix,coord_grid,2,56,1425,5.0,25,0.96618,0.08405062662703651,0.28115149055208477,11.154691600007936
