algo,seed,final_window_mean,self_threshold_80pct,episodes_to_80pct_of_own,n_episodes
iql,0,33.97,27.176000000000002,1306,2000
iql,1,36.295,29.036,1384,2000
iql,2,36.365,29.092000000000002,1425,2000
vdn,0,70.44,56.352000000000004,1494,2000
vdn,1,61.95,49.56,1530,2000
vdn,2,62.73,50.184,1554,2000
qmix,0,84.49,67.592,1404,2000
qmix,1,84.195,67.356,1420,2000
qmix,2,84.135,67.308,1441,2000
gnn_qmix,0,70.44,56.352000000000004,1595,2000
gnn_qmix,1,31.75,25.400000000000002,1509,2000
gnn_qmix,2,73.22,58.576,1556,2000
