run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,0,25,14.0,25,0.99981,,,0.007785291993059218
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,1,50,18.0,25,0.9996120833333333,,,0.010537875001318753
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,2,75,10.0,25,0.9994141666666667,,,0.01335729198763147
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,3,100,14.0,25,0.99921625,,,0.016063624992966652
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,4,125,10.0,25,0.9990183333333333,,,0.018777874996885657
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,5,150,13.0,25,0.9988204166666667,,,0.021585999988019466
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,6,175,14.0,25,0.9986225,,,0.024268292007036507
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,7,200,14.0,25,0.9984245833333333,,,0.027196959010325372
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,8,225,11.0,25,0.9982266666666667,0.43274618472371784,2.077469297817775,0.04765087499981746
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,9,250,12.0,25,0.99802875,0.28008728971083957,0.823199580113093,0.0657286670175381
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,10,275,19.0,25,0.9978308333333333,0.29804468899965286,1.5872750282287598,0.08302845899015665
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,11,300,18.0,25,0.9976329166666666,0.2754277139902115,0.6343431075414022,0.10026974999345839
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,12,325,10.0,25,0.997435,0.26653712136404856,0.6749001315661839,0.11980904202209786
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,13,350,13.0,25,0.9972370833333334,0.2350488379597664,0.48892462253570557,0.13688312500016764
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,14,375,10.0,25,0.9970391666666667,0.24640008807182312,0.5839270154635111,0.15413029200863093
gnn_qmix__N12__ring__seed2,gnn_qmix,coord_grid,2,15,400,3.0,25,0.99684125,0.2557280237476031,0.7052650153636932,0.17142741702264175
