run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,0,25,11.0,25,0.99943,,,0.00399933394510299
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,1,50,3.0,25,0.99883625,,,0.005829166970215738
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,2,75,0.0,25,0.9982425,,,0.007797249942086637
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,3,100,3.0,25,0.99764875,,,0.009439499932341278
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,4,125,5.0,25,0.997055,,,0.011183291906490922
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,5,150,3.0,25,0.99646125,,,0.012890583951957524
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,6,175,3.0,25,0.9958675,,,0.014696083962917328
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,7,200,9.0,25,0.99527375,,,0.01659970893524587
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,8,225,1.0,25,0.99468,0.18498458393982478,1.402809134551457,0.036872166907414794
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,9,250,3.0,25,0.99408625,0.1130934301763773,0.49764203031857807,0.05454845889471471
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,10,275,4.0,25,0.9934925,0.13548879946271578,0.4478416293859482,0.07321870897430927
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,11,300,5.0,25,0.99289875,0.10409882043798764,0.5059526562690735,0.0911762499017641
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,12,325,1.0,25,0.992305,0.11194059146302086,0.5042480741228376,0.11363691696897149
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,13,350,6.0,25,0.99171125,0.10945880164702733,1.079258531332016,0.1319474169285968
gnn_qmix__ring__N4__seed6,gnn_qmix,coord_grid,6,14,375,4.0,25,0.9911175,0.08169003203511238,0.487004096309344,0.15119954198598862
