run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
qmix__ring__N4__seed1,qmix,coord_grid,1,0,25,4.0,25,0.99943,,,0.0036647500237450004
qmix__ring__N4__seed1,qmix,coord_grid,1,1,50,3.0,25,0.99883625,,,0.005532125011086464
qmix__ring__N4__seed1,qmix,coord_grid,1,2,75,1.0,25,0.9982425,,,0.007797583006322384
qmix__ring__N4__seed1,qmix,coord_grid,1,3,100,2.0,25,0.99764875,,,0.009584042010828853
qmix__ring__N4__seed1,qmix,coord_grid,1,4,125,6.0,25,0.997055,,,0.011321207974106073
qmix__ring__N4__seed1,qmix,coord_grid,1,5,150,1.0,25,0.99646125,,,0.013003375031985343
qmix__ring__N4__seed1,qmix,coord_grid,1,6,175,4.0,25,0.9958675,,,0.015503250062465668
qmix__ring__N4__seed1,qmix,coord_grid,1,7,200,1.0,25,0.99527375,,,0.017564582987688482
qmix__ring__N4__seed1,qmix,coord_grid,1,8,225,3.0,25,0.99468,0.09003479991640363,0.5234003812074661,0.03449691704008728
qmix__ring__N4__seed1,qmix,coord_grid,1,9,250,2.0,25,0.99408625,0.06165417625258366,0.3719477877020836,0.04868154204450548
qmix__ring__N4__seed1,qmix,coord_grid,1,10,275,7.0,25,0.9934925,0.07140733612080415,0.3396184841791789,0.06199049996212125
qmix__ring__N4__seed1,qmix,coord_grid,1,11,300,5.0,25,0.99289875,0.08282366084555785,0.3198927044868469,0.07545350003056228
qmix__ring__N4__seed1,qmix,coord_grid,1,12,325,16.0,25,0.992305,0.07274255262953895,0.33416181589875904,0.09161037497688085
qmix__ring__N4__seed1,qmix,coord_grid,1,13,350,0.0,25,0.99171125,0.08769803245862325,0.28491129726171494,0.10443458298686892
qmix__ring__N4__seed1,qmix,coord_grid,1,14,375,4.0,25,0.9911175,0.12813283875584602,0.35018304735422134,0.11933625000528991
qmix__ring__N4__seed1,qmix,coord_grid,1,15,400,2.0,25,0.99052375,0.07831324388583501,0.2676526258389155,0.1328870829893276
qmix__ring__N4__seed1,qmix,coord_grid,1,16,425,5.0,25,0.98993,0.08381894763026919,0.3103419670036861,0.14911287499126047
qmix__ring__N4__seed1,qmix,coord_grid,1,17,450,5.0,25,0.98933625,0.11497364069024722,0.36190992842117947,0.1616470420267433
qmix__ring__N4__seed1,qmix,coord_grid,1,18,475,1.0,25,0.9887425,0.08944124480088551,0.29064833372831345,0.17586929199751467
qmix__ring__N4__seed1,qmix,coord_grid,1,19,500,2.0,25,0.98814875,0.07859087580194075,0.29264462490876514,0.188768208026886
qmix__ring__N4__seed1,qmix,coord_grid,1,20,525,4.0,25,0.987555,0.0766567305794784,0.25102249000753674,0.20435366698075086
qmix__ring__N4__seed1,qmix,coord_grid,1,21,550,3.0,25,0.98696125,0.07160865267117818,0.26479896406332654,0.21874775004107505
qmix__ring__N4__seed1,qmix,coord_grid,1,22,575,1.0,25,0.9863675,0.05698563034335772,0.42387015869220096,0.23322195804212242
qmix__ring__N4__seed1,qmix,coord_grid,1,23,600,1.0,25,0.98577375,0.08708763619263966,0.3087178096175194,0.24669575004372746
qmix__ring__N4__seed1,qmix,coord_grid,1,24,625,3.0,25,0.9851800000000001,0.08299245632120542,0.26650868356227875,0.262564167031087
qmix__ring__N4__seed1,qmix,coord_grid,1,25,650,4.0,25,0.98458625,0.05136939324438572,0.2378703455130259,0.2762798749608919
qmix__ring__N4__seed1,qmix,coord_grid,1,26,675,7.0,25,0.9839925,0.0822832187016805,0.32764861981074017,0.2892055830452591
qmix__ring__N4__seed1,qmix,coord_grid,1,27,700,4.0,25,0.98339875,0.09247714218993981,0.31839540352423984,0.3029986670007929
qmix__ring__N4__seed1,qmix,coord_grid,1,28,725,2.0,25,0.982805,0.07197964138218335,0.28373199914182934,0.3191075830254704
qmix__ring__N4__seed1,qmix,coord_grid,1,29,750,3.0,25,0.98221125,0.07352257830401261,0.31862694521745044,0.33427733299322426
qmix__ring__N4__seed1,qmix,coord_grid,1,30,775,1.0,25,0.9816175,0.08958100527524948,0.3511848772565524,0.3484666249714792
qmix__ring__N4__seed1,qmix,coord_grid,1,31,800,6.0,25,0.98102375,0.09251913925011952,0.4425263926386833,0.36135104205459356
qmix__ring__N4__seed1,qmix,coord_grid,1,32,825,3.0,25,0.98043,0.07745488839490074,0.35338350917611805,0.3735526669770479
qmix__ring__N4__seed1,qmix,coord_grid,1,33,850,3.0,25,0.97983625,0.08279524743556976,0.5188749606410662,0.38430887495633215
qmix__ring__N4__seed1,qmix,coord_grid,1,34,875,4.0,25,0.9792425,0.07883790507912636,0.38892190158367157,0.39492070802953094
qmix__ring__N4__seed1,qmix,coord_grid,1,35,900,2.0,25,0.97864875,0.05949787547190984,0.33429443339506787,0.4050427080364898
qmix__ring__N4__seed1,qmix,coord_grid,1,36,925,4.0,25,0.978055,0.08837285318544932,0.36536953917571474,0.4205947080627084
qmix__ring__N4__seed1,qmix,coord_grid,1,37,950,5.0,25,0.97746125,0.07359016314148903,0.2742307260632515,0.43484524998348206
qmix__ring__N4__seed1,qmix,coord_grid,1,38,975,6.0,25,0.9768675,0.07070704735815525,0.3086884543299675,0.4487869170261547
qmix__ring__N4__seed1,qmix,coord_grid,1,39,1000,2.0,25,0.97627375,0.06911293727656205,0.4906087815761566,0.4620736250653863
qmix__ring__N4__seed1,qmix,coord_grid,1,40,1025,5.0,25,0.97568,0.08614282868802547,0.835882197533335,0.47820925002451986
qmix__ring__N4__seed1,qmix,coord_grid,1,41,1050,3.0,25,0.97508625,0.0883405189961195,0.4900858749945958,0.4920259170467034
qmix__ring__N4__seed1,qmix,coord_grid,1,42,1075,6.0,25,0.9744925,0.09029917667309444,0.5703179041544596,0.5046672080643475
qmix__ring__N4__seed1,qmix,coord_grid,1,43,1100,7.0,25,0.97389875,0.08719424903392792,0.2552681217590968,0.5199072919785976
qmix__ring__N4__seed1,qmix,coord_grid,1,44,1125,5.0,25,0.973305,0.09211801631110055,0.3633989691734314,0.5354332079878077
qmix__ring__N4__seed1,qmix,coord_grid,1,45,1150,2.0,25,0.97271125,0.06521970902880032,0.30869264403978985,0.550371375051327
qmix__ring__N4__seed1,qmix,coord_grid,1,46,1175,1.0,25,0.9721175,0.07607281828920047,0.3807840545972188,0.5647240000544116
qmix__ring__N4__seed1,qmix,coord_grid,1,47,1200,8.0,25,0.97152375,0.044126114497582115,0.2825165664156278,0.5781064999755472
qmix__ring__N4__seed1,qmix,coord_grid,1,48,1225,4.0,25,0.97093,0.05601103364356926,0.28685189357825686,0.5940401670522988
qmix__ring__N4__seed1,qmix,coord_grid,1,49,1250,8.0,25,0.97033625,0.07638343051075935,0.30234774698813754,0.6089560829568654
qmix__ring__N4__seed1,qmix,coord_grid,1,50,1275,6.0,25,0.9697425,0.05934468097984791,0.3332962517937024,0.6256754170171916
qmix__ring__N4__seed1,qmix,coord_grid,1,51,1300,4.0,25,0.96914875,0.0647668441136678,0.26031239827473956,0.6398180830292404
qmix__ring__N4__seed1,qmix,coord_grid,1,52,1325,2.0,25,0.968555,0.08543260342308454,0.34214394220284056,0.657767542055808
qmix__ring__N4__seed1,qmix,coord_grid,1,53,1350,10.0,25,0.96796125,0.07011605178316434,0.24650326122840246,0.6701071669813246
qmix__ring__N4__seed1,qmix,coord_grid,1,54,1375,5.0,25,0.9673675,0.06531333178281784,0.46466565132141113,0.6810821669641882
qmix__ring__N4__seed1,qmix,coord_grid,1,55,1400,6.0,25,0.96677375,0.10729225973288219,0.3193349192539851,0.6964627499692142
qmix__ring__N4__seed1,qmix,coord_grid,1,56,1425,6.0,25,0.96618,0.07953467220067978,0.2755658413682665,0.7146967080188915
qmix__ring__N4__seed1,qmix,coord_grid,1,57,1450,8.0,25,0.96558625,0.07897343672811985,0.28834636012713116,0.7311602080008015
