algo,seed,final_window_mean,self_threshold_80pct,episodes_to_80pct_of_own,n_episodes
iql,0,33.41,26.727999999999998,1413,2000
iql,1,34.81,27.848000000000003,1428,2000
iql,2,37.51,30.008,1402,2000
iql,3,32.915,26.332,1367,2000
iql,4,34.375,27.5,1331,2000
iql,5,38.445,30.756,1397,2000
iql,6,33.635,26.908,1334,2000
iql,7,28.52,22.816000000000003,1158,2000
iql,8,36.245,28.996,1435,2000
iql,9,36.36,29.088,1483,2000
vdn,0,64.265,51.412000000000006,1563,2000
vdn,1,67.07,53.656,1531,2000
vdn,2,56.26,45.008,1478,2000
vdn,3,74.47,59.576,1503,2000
vdn,4,65.805,52.644000000000005,1516,2000
vdn,5,68.375,54.7,1447,2000
vdn,6,62.365,49.892,1484,2000
vdn,7,64.645,51.716,1564,2000
vdn,8,66.725,53.379999999999995,1607,2000
vdn,9,70.255,56.204,1585,2000
qmix,0,84.125,67.3,1400,2000
qmix,1,81.68,65.34400000000001,1479,2000
qmix,2,84.165,67.33200000000001,1441,2000
qmix,3,84.455,67.56400000000001,1440,2000
qmix,4,84.095,67.276,1423,2000
qmix,5,84.31,67.44800000000001,1415,2000
qmix,6,84.365,67.492,1421,2000
qmix,7,84.09,67.272,1420,2000
qmix,8,84.195,67.356,1448,2000
qmix,9,84.67,67.736,1425,2000
gnn_qmix,0,67.565,54.052,1605,2000
gnn_qmix,1,63.66,50.928,1781,2000
gnn_qmix,2,70.14,56.112,1532,2000
gnn_qmix,3,74.425,59.54,1467,2000
gnn_qmix,4,71.955,57.564,1515,2000
gnn_qmix,5,74.295,59.43600000000001,1503,2000
gnn_qmix,6,35.92,28.736000000000004,1583,2000
gnn_qmix,7,71.68,57.34400000000001,1516,2000
gnn_qmix,8,76.59,61.272000000000006,1466,2000
gnn_qmix,9,53.92,43.136,1548,2000
