run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,0,25,19.0,25,0.99905,,,0.009531429000162461
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,1,50,3.0,25,0.9980604166666667,,,0.01779477600030077
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,2,75,6.0,25,0.9970708333333334,,,0.02683995400002459
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,3,100,7.0,25,0.99608125,,,0.03492718100005732
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,4,125,6.0,25,0.9950916666666667,,,0.04243234300020049
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,5,150,5.0,25,0.9941020833333334,,,0.05043355700036045
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,6,175,0.0,25,0.9931125,,,0.05786957300006179
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,7,200,11.0,25,0.9921229166666666,,,0.0674456290003036
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,8,225,14.0,25,0.9911333333333333,1.6253119366509574,1.5545054163251604,0.09713911500011818
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,9,250,5.0,25,0.99014375,1.5679880380630493,1.439781645933787,0.1238903640000899
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,10,275,5.0,25,0.9891541666666667,1.5714294115702312,1.3578895926475525,0.1505361399999856
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,11,300,6.0,25,0.9881645833333333,1.1752210358778636,1.1743164658546448,0.17720493500019074
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,12,325,7.0,25,0.987175,1.6971974543162756,1.2933810353279114,0.2065822389999994
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,13,350,6.0,25,0.9861854166666667,1.4250973264376323,1.396816651026408,0.236035873000219
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,14,375,8.0,25,0.9851958333333334,1.3810833096504211,1.0948097010453541,0.2638643450000018
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,15,400,7.0,25,0.98420625,1.0505513747533162,0.8779554665088654,0.29110807699998986
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,16,425,9.0,25,0.9832166666666666,1.5095696789877755,0.8239550931113107,0.3225474200003191
iql__N8__erdos_renyi__seed1,iql,coord_grid,1,17,450,13.0,25,0.9822270833333333,1.0600922505060832,1.0183424949645996,0.3515319380003348
