algo,n_agents,graph,seed,final_window_mean,self_threshold_80pct,episodes_to_80pct_of_own,n_episodes
gnn_qmix,4,erdos_renyi,0,6.7,5.36,245,1200
gnn_qmix,4,erdos_renyi,1,6.283333333333333,5.026666666666667,131,1200
gnn_qmix,4,erdos_renyi,2,6.725,5.38,545,1200
iql,4,erdos_renyi,0,33.483333333333334,26.78666666666667,706,1200
iql,4,erdos_renyi,1,34.291666666666664,27.433333333333334,685,1200
iql,4,erdos_renyi,2,27.983333333333334,22.38666666666667,674,1200
qmix,4,erdos_renyi,0,83.68333333333334,66.94666666666667,900,1200
qmix,4,erdos_renyi,1,84.79166666666667,67.83333333333334,938,1200
qmix,4,erdos_renyi,2,85.46666666666667,68.37333333333333,898,1200
vdn,4,erdos_renyi,0,60.30833333333333,48.24666666666667,888,1200
vdn,4,erdos_renyi,1,62.94166666666667,50.35333333333334,899,1200
vdn,4,erdos_renyi,2,60.958333333333336,48.76666666666667,939,1200
gnn_qmix,4,ring,0,26.233333333333334,20.986666666666668,1002,1200
gnn_qmix,4,ring,1,17.925,14.340000000000002,970,1200
gnn_qmix,4,ring,2,25.225,20.180000000000003,875,1200
iql,4,ring,0,28.25,22.6,711,1200
iql,4,ring,1,31.666666666666668,25.333333333333336,843,1200
iql,4,ring,2,31.608333333333334,25.28666666666667,709,1200
qmix,4,ring,0,83.64166666666667,66.91333333333334,854,1200
qmix,4,ring,1,83.01666666666667,66.41333333333334,942,1200
qmix,4,ring,2,83.84166666666667,67.07333333333334,875,1200
vdn,4,ring,0,58.641666666666666,46.913333333333334,942,1200
vdn,4,ring,1,45.71666666666667,36.57333333333334,884,1200
vdn,4,ring,2,49.25833333333333,39.406666666666666,938,1200
gnn_qmix,8,erdos_renyi,0,9.008333333333333,7.206666666666667,24,1200
gnn_qmix,8,erdos_renyi,1,8.275,6.620000000000001,24,1200
gnn_qmix,8,erdos_renyi,2,8.3,6.640000000000001,24,1200
iql,8,erdos_renyi,0,55.858333333333334,44.68666666666667,894,1200
iql,8,erdos_renyi,1,52.68333333333333,42.14666666666667,878,1200
iql,8,erdos_renyi,2,35.666666666666664,28.53333333333333,748,1200
qmix,8,erdos_renyi,0,164.69166666666666,131.75333333333333,1070,1200
qmix,8,erdos_renyi,1,89.29166666666667,71.43333333333334,870,1200
qmix,8,erdos_renyi,2,158.53333333333333,126.82666666666667,997,1200
vdn,8,erdos_renyi,0,70.26666666666667,56.21333333333334,1046,1200
vdn,8,erdos_renyi,1,85.46666666666667,68.37333333333333,926,1200
vdn,8,erdos_renyi,2,52.93333333333333,42.346666666666664,976,1200
gnn_qmix,8,ring,0,12.1,9.68,217,1200
gnn_qmix,8,ring,1,15.075,12.06,765,1200
gnn_qmix,8,ring,2,36.18333333333333,28.946666666666665,967,1200
iql,8,ring,0,42.075,33.660000000000004,735,1200
iql,8,ring,1,45.44166666666667,36.35333333333334,733,1200
iql,8,ring,2,50.5,40.400000000000006,834,1200
qmix,8,ring,0,168.4,134.72,874,1200
qmix,8,ring,1,167.64166666666668,134.11333333333334,869,1200
qmix,8,ring,2,167.23333333333332,133.78666666666666,982,1200
vdn,8,ring,0,71.66666666666667,57.33333333333334,943,1200
vdn,8,ring,1,68.01666666666667,54.413333333333334,918,1200
vdn,8,ring,2,109.55833333333334,87.64666666666668,982,1200
