algo,n_agents,graph,final_mean,final_ci_lo,final_ci_hi,ep80_mean,ep80_ci_lo,ep80_ci_hi,n_seeds,n_reaching_threshold
iql,4,erdos_renyi,31.919444444444448,23.39227177643574,40.446617112453154,688.3333333333334,647.9453996750589,728.7212669916079,3,3
vdn,4,erdos_renyi,61.40277777777778,57.995106460734185,64.81044909482137,908.6666666666666,841.9948292603532,975.3385040729801,3,3
qmix,4,erdos_renyi,84.64722222222223,82.41050816820962,86.88393627623483,912.0,856.0103794722843,967.9896205277157,3,3
gnn_qmix,4,erdos_renyi,6.5694444444444455,5.953143315648742,7.185745573240149,307.0,-224.23388060009472,838.2338806000947,3,3
iql,4,ring,30.508333333333336,25.649381065457014,35.36728560120966,754.3333333333334,563.5662209473376,945.1004457193292,3,3
vdn,4,ring,51.205555555555556,34.61425622138421,67.7968548897269,921.3333333333334,840.8636295972489,1001.8030370694179,3,3
qmix,4,ring,83.5,82.4309305241662,84.5690694758338,890.3333333333334,776.162047008432,1004.5046196582348,3,3
gnn_qmix,4,ring,23.127777777777776,11.865053395566566,34.39050215998898,949.0,784.9152293300443,1113.0847706699556,3,3
iql,8,erdos_renyi,48.069444444444436,21.097173098239974,75.0417157906489,840.0,641.0827599827799,1038.9172400172201,3,3
vdn,8,erdos_renyi,69.55555555555556,29.117966831329028,109.99314427978209,982.6666666666666,832.9299556667164,1132.403377666617,3,3
qmix,8,erdos_renyi,137.50555555555556,33.500088579585935,241.51102253152519,979.0,727.5861177839614,1230.4138822160385,3,3
gnn_qmix,8,erdos_renyi,8.527777777777777,7.493479718480112,9.562075837075442,24.0,24.0,24.0,3,3
iql,8,ring,46.00555555555556,35.4710441255006,56.54006698561052,767.3333333333334,623.890064024622,910.7766026420447,3,3
vdn,8,ring,83.08055555555556,25.938089496841528,140.2230216142696,947.6666666666666,867.5427953308733,1027.79053800246,3,3
qmix,8,ring,167.75833333333333,166.28767741762354,169.2289892490431,908.3333333333334,749.7306564429066,1066.9360102237601,3,3
gnn_qmix,8,ring,21.119444444444444,-11.49788133559871,53.7367702244876,649.6666666666666,-314.36228396905824,1613.6956173023914,3,3
