run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
iql__N4__ring__seed5,iql,coord_grid,5,0,25,4.0,25,0.99905,,,0.004150999942794442
iql__N4__ring__seed5,iql,coord_grid,5,1,50,1.0,25,0.9980604166666667,,,0.0062054169829934835
iql__N4__ring__seed5,iql,coord_grid,5,2,75,1.0,25,0.9970708333333334,,,0.00820724992081523
iql__N4__ring__seed5,iql,coord_grid,5,3,100,0.0,25,0.99608125,,,0.010260666953399777
iql__N4__ring__seed5,iql,coord_grid,5,4,125,5.0,25,0.9950916666666667,,,0.01199425000231713
iql__N4__ring__seed5,iql,coord_grid,5,5,150,6.0,25,0.9941020833333334,,,0.013911957968957722
iql__N4__ring__seed5,iql,coord_grid,5,6,175,1.0,25,0.9931125,,,0.01556854194495827
iql__N4__ring__seed5,iql,coord_grid,5,7,200,7.0,25,0.9921229166666666,,,0.017555792001076043
iql__N4__ring__seed5,iql,coord_grid,5,8,225,4.0,25,0.9911333333333333,0.3348307524408613,0.4533767913069044,0.025405332911759615
iql__N4__ring__seed5,iql,coord_grid,5,9,250,4.0,25,0.99014375,0.3395932863156001,0.4484225908915202,0.03304833290167153
iql__N4__ring__seed5,iql,coord_grid,5,10,275,2.0,25,0.9891541666666667,0.27389131486415863,0.382836510737737,0.041290166904218495
iql__N4__ring__seed5,iql,coord_grid,5,11,300,4.0,25,0.9881645833333333,0.30670324216286343,0.3571369896332423,0.049491166952066123
iql__N4__ring__seed5,iql,coord_grid,5,12,325,1.0,25,0.987175,0.32735672167369295,0.28789109204496655,0.05788387497887015
iql__N4__ring__seed5,iql,coord_grid,5,13,350,4.0,25,0.9861854166666667,0.24642574725051722,0.27496393769979477,0.0654435419710353
iql__N4__ring__seed5,iql,coord_grid,5,14,375,3.0,25,0.9851958333333334,0.36942709734042484,0.24369137734174728,0.07202608289662749
iql__N4__ring__seed5,iql,coord_grid,5,15,400,4.0,25,0.98420625,0.21563628564278284,0.23571476340293884,0.08032512490171939
iql__N4__ring__seed5,iql,coord_grid,5,16,425,6.0,25,0.9832166666666666,0.3445682206324169,0.25099835438387735,0.08871083299163729
iql__N4__ring__seed5,iql,coord_grid,5,17,450,3.0,25,0.9822270833333333,0.31588563074668247,0.25289394209782284,0.09518512489739805
iql__N4__ring__seed5,iql,coord_grid,5,18,475,7.0,25,0.9812375,0.2650829677780469,0.28989508251349133,0.1027894999133423
iql__N4__ring__seed5,iql,coord_grid,5,19,500,3.0,25,0.9802479166666667,0.28375231971343357,0.22036551932493845,0.1094147500116378
iql__N4__ring__seed5,iql,coord_grid,5,20,525,9.0,25,0.9792583333333333,0.2868406133992331,0.15918514132499695,0.11832016694825143
iql__N4__ring__seed5,iql,coord_grid,5,21,550,5.0,25,0.97826875,0.30067047973473865,0.25555945187807083,0.1254253329243511
iql__N4__ring__seed5,iql,coord_grid,5,22,575,6.0,25,0.9772791666666667,0.35870203624169034,0.26903189222017926,0.1338909169426188
iql__N4__ring__seed5,iql,coord_grid,5,23,600,4.0,25,0.9762895833333334,0.2818307305375735,0.2309287264943123,0.14185562497004867
iql__N4__ring__seed5,iql,coord_grid,5,24,625,9.0,25,0.9753000000000001,0.36174486577510834,0.22250713195119584,0.14984491700306535
iql__N4__ring__seed5,iql,coord_grid,5,25,650,4.0,25,0.9743104166666666,0.3193923185269038,0.18770295133193335,0.15732908295467496
iql__N4__ring__seed5,iql,coord_grid,5,26,675,2.0,25,0.9733208333333333,0.36837999025980633,0.2214057892560959,0.16605349991004914
iql__N4__ring__seed5,iql,coord_grid,5,27,700,0.0,25,0.97233125,0.2282043813417355,0.25523174554109573,0.17396866693161428
iql__N4__ring__seed5,iql,coord_grid,5,28,725,9.0,25,0.9713416666666667,0.3979024961590767,0.2928336411714554,0.18356783292256296
iql__N4__ring__seed5,iql,coord_grid,5,29,750,1.0,25,0.9703520833333333,0.3346740702788035,0.252932608127594,0.19222745799925178
iql__N4__ring__seed5,iql,coord_grid,5,30,775,6.0,25,0.9693625,0.380011186003685,0.4005238985021909,0.200247542001307
iql__N4__ring__seed5,iql,coord_grid,5,31,800,3.0,25,0.9683729166666667,0.2944802741209666,0.23720113188028336,0.20780579198617488
iql__N4__ring__seed5,iql,coord_grid,5,32,825,4.0,25,0.9673833333333334,0.26675563412053244,0.27930122188159395,0.2160729169845581
iql__N4__ring__seed5,iql,coord_grid,5,33,850,7.0,25,0.96639375,0.3057170808315277,0.17131230980157852,0.22474966698791832
iql__N4__ring__seed5,iql,coord_grid,5,34,875,0.0,25,0.9654041666666666,0.3129672308762868,0.2149773674706618,0.23277858295477927
iql__N4__ring__seed5,iql,coord_grid,5,35,900,2.0,25,0.9644145833333333,0.30558939774831134,0.25585194677114487,0.24072058300953358
iql__N4__ring__seed5,iql,coord_grid,5,36,925,2.0,25,0.963425,0.3494094525064741,0.184397320662226,0.24952687497716397
iql__N4__ring__seed5,iql,coord_grid,5,37,950,6.0,25,0.9624354166666667,0.38460102925697964,0.22124753147363663,0.2581702918978408
iql__N4__ring__seed5,iql,coord_grid,5,38,975,11.0,25,0.9614458333333333,0.2680298015475273,0.21290186295906702,0.2672199580119923
iql__N4__ring__seed5,iql,coord_grid,5,39,1000,6.0,25,0.96045625,0.381814107298851,0.3133700539668401,0.2750343329971656
iql__N4__ring__seed5,iql,coord_grid,5,40,1025,5.0,25,0.9594666666666667,0.49372597677367075,0.5728897409779685,0.28456391696818173
iql__N4__ring__seed5,iql,coord_grid,5,41,1050,6.0,25,0.9584770833333334,0.3764694357911746,0.3924321134885152,0.291697624954395
iql__N4__ring__seed5,iql,coord_grid,5,42,1075,1.0,25,0.9574875,0.3174436340729396,0.2755219389994939,0.2996589170070365
iql__N4__ring__seed5,iql,coord_grid,5,43,1100,6.0,25,0.9564979166666667,0.3526831815640132,0.3641942689816157,0.3078569999197498
iql__N4__ring__seed5,iql,coord_grid,5,44,1125,6.0,25,0.9555083333333333,0.3480265736579895,0.32128010264464785,0.31707987491972744
iql__N4__ring__seed5,iql,coord_grid,5,45,1150,3.0,25,0.95451875,0.3635749767223994,0.3620870014031728,0.3256999999284744
iql__N4__ring__seed5,iql,coord_grid,5,46,1175,5.0,25,0.9535291666666666,0.3003099833925565,0.370859036842982,0.33424741693306714
iql__N4__ring__seed5,iql,coord_grid,5,47,1200,3.0,25,0.9525395833333333,0.4105742648243904,0.4047091205914815,0.3422220000065863
iql__N4__ring__seed5,iql,coord_grid,5,48,1225,5.0,25,0.95155,0.3026250866906984,0.36169728210994173,0.35114708298351616
iql__N4__ring__seed5,iql,coord_grid,5,49,1250,0.0,25,0.9505604166666667,0.29840539395809174,0.2635490819811821,0.35933549993205816
iql__N4__ring__seed5,iql,coord_grid,5,50,1275,3.0,25,0.9495708333333334,0.36832696199417114,0.3487350419163704,0.3676357079530135
iql__N4__ring__seed5,iql,coord_grid,5,51,1300,4.0,25,0.94858125,0.2963655889034271,0.3830486635367076,0.37569816689938307
iql__N4__ring__seed5,iql,coord_grid,5,52,1325,3.0,25,0.9475916666666666,0.25501273359571186,0.24680990619318827,0.3844160420121625
iql__N4__ring__seed5,iql,coord_grid,5,53,1350,3.0,25,0.9466020833333333,0.3117822508017222,0.25624317675828934,0.3927792499307543
iql__N4__ring__seed5,iql,coord_grid,5,54,1375,3.0,25,0.9456125,0.23084714636206627,0.3030226280291875,0.40018579200841486
iql__N4__ring__seed5,iql,coord_grid,5,55,1400,1.0,25,0.9446229166666666,0.2474180335799853,0.2880393788218498,0.40819766698405147
