algo,n_agents,graph,final_mean,final_ci_lo,final_ci_hi,ep80_mean,ep80_ci_lo,ep80_ci_hi,n_seeds,n_reaching_threshold
iql,4,erdos_renyi,34.045,31.993245300008585,36.09675469999142,785.1,756.941519109259,813.258480890741,10,10
vdn,4,erdos_renyi,57.319166666666675,54.590806094546686,60.047527238786664,913.9,880.281692457847,947.5183075421529,10,10
qmix,4,erdos_renyi,82.52166666666668,80.34506782228137,84.69826551105199,872.8,837.9242822706083,907.6757177293916,10,10
gnn_qmix,4,erdos_renyi,7.050833333333334,6.291331401466027,7.810335265200641,426.8,260.73485932756455,592.8651406724355,10,10
iql,4,ring,28.85833333333333,27.10498136164065,30.61168530502601,744.7,704.0509807574878,785.3490192425123,10,10
vdn,4,ring,52.63916666666667,46.737337679813336,58.54099565352,918.9,886.5153153862171,951.2846846137828,10,10
qmix,4,ring,83.29166666666666,81.43077513110629,85.15255820222703,875.8,846.4988786716472,905.1011213283527,10,10
gnn_qmix,4,ring,34.755833333333335,24.956217702742247,44.55544896392442,973.9,936.9122891847005,1010.8877108152994,10,10
iql,8,erdos_renyi,43.25916666666667,40.46936326275038,46.04897007058297,794.8,758.6215125569298,830.9784874430701,10,10
vdn,8,erdos_renyi,69.19083333333333,53.98673831165084,84.39492835501582,968.9,934.5853135484424,1003.2146864515576,10,10
qmix,8,erdos_renyi,108.78666666666668,82.73123287039326,134.8421004629401,961.2,898.7120285056383,1023.6879714943618,10,10
gnn_qmix,8,erdos_renyi,9.176666666666666,8.370775688481864,9.982557644851468,39.9,9.3307310868894,70.4692689131106,10,10
iql,8,ring,40.100833333333334,34.47207760444697,45.729589062219695,787.4,732.1014767715421,842.6985232284578,10,10
vdn,8,ring,70.53166666666667,59.12112402553212,81.94220930780122,908.2,845.537566041489,970.8624339585111,10,10
qmix,8,ring,129.13166666666666,100.90488978502827,157.35844354830505,938.2,897.7153212615926,978.6846787384075,10,10
gnn_qmix,8,ring,19.5225,13.876409101956014,25.168590898043988,715.9,529.0110554504536,902.7889445495464,10,10
