run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,0,25,4.0,25,0.99905,,,0.0032885830150917172
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,1,50,5.0,25,0.9980604166666667,,,0.00520195800345391
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,2,75,4.0,25,0.9970708333333334,,,0.007078041089698672
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,3,100,3.0,25,0.99608125,,,0.009495874983258545
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,4,125,2.0,25,0.9950916666666667,,,0.011181500041857362
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,5,150,5.0,25,0.9941020833333334,,,0.013078375020995736
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,6,175,2.0,25,0.9931125,,,0.014948458061553538
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,7,200,3.0,25,0.9921229166666666,,,0.017348791006952524
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,8,225,5.0,25,0.9911333333333333,0.12264796559299741,0.8401538005896977,0.026897041010670364
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,9,250,9.0,25,0.99014375,0.09245370576779048,0.48767411212126416,0.03546945808921009
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,10,275,1.0,25,0.9891541666666667,0.06367435740927856,0.33452434092760086,0.0443282910855487
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,11,300,4.0,25,0.9881645833333333,0.06937241243819396,0.3783375720183055,0.05238408304285258
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,12,325,7.0,25,0.987175,0.07355191292507308,0.33401169947215487,0.062153958017006516
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,13,350,5.0,25,0.9861854166666667,0.08900682690242927,0.28768118222554523,0.07063125004060566
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,14,375,6.0,25,0.9851958333333334,0.07170229963958263,0.35079317291577655,0.079439458088018
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,15,400,4.0,25,0.98420625,0.07607753947377205,0.29574882487456006,0.08878008299507201
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,16,425,1.0,25,0.9832166666666666,0.07383336499333382,0.2108385499034609,0.09704604104626924
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,17,450,5.0,25,0.9822270833333333,0.06293210821847121,0.239030788342158,0.10573745798319578
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,18,475,4.0,25,0.9812375,0.07044795528054237,0.2715120315551758,0.11465779098216444
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,19,500,7.0,25,0.9802479166666667,0.0694520150621732,0.2833551603058974,0.123813541023992
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,20,525,0.0,25,0.9792583333333333,0.07111394671457154,0.23053717187472753,0.132887541083619
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,21,550,0.0,25,0.97826875,0.06868787482380867,0.17578724895914397,0.14258416602388024
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,22,575,2.0,25,0.9772791666666667,0.048776278272271156,0.23089163253704706,0.15265900001395494
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,23,600,5.0,25,0.9762895833333334,0.07462723677357037,0.23723223432898521,0.1613551250193268
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,24,625,5.0,25,0.9753000000000001,0.0620334834924766,0.19255176505872182,0.17085204098839313
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,25,650,3.0,25,0.9743104166666666,0.06230075657367706,0.21841317787766457,0.18065362505149096
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,26,675,3.0,25,0.9733208333333333,0.06860842928290367,0.23463530465960503,0.1889422080712393
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,27,700,5.0,25,0.97233125,0.05562449557085832,0.21071711679299673,0.19881145807448775
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,28,725,0.0,25,0.9713416666666667,0.055980194360017776,0.26627577202660696,0.2096117080654949
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,29,750,3.0,25,0.9703520833333333,0.03618924133479595,0.2295165608326594,0.2183148330077529
vdn__N4__erdos_renyi__seed8,vdn,coord_grid,8,30,775,7.0,25,0.9693625,0.06553529482334852,0.263808640340964,0.22718225000426173
