run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
d3__L3__seed6,gnn_qmix,coord_grid,6,0,25,9.0,25,0.998575,,,0.0029316659783944488
d3__L3__seed6,gnn_qmix,coord_grid,6,1,50,2.0,25,0.997090625,,,0.004690040950663388
d3__L3__seed6,gnn_qmix,coord_grid,6,2,75,1.0,25,0.99560625,,,0.0064888750202953815
d3__L3__seed6,gnn_qmix,coord_grid,6,3,100,2.0,25,0.994121875,,,0.00796404096763581
d3__L3__seed6,gnn_qmix,coord_grid,6,4,125,0.0,25,0.9926375,,,0.009646040969528258
d3__L3__seed6,gnn_qmix,coord_grid,6,5,150,1.0,25,0.991153125,,,0.011805083020590246
d3__L3__seed6,gnn_qmix,coord_grid,6,6,175,0.0,25,0.98966875,,,0.01405987492762506
d3__L3__seed6,gnn_qmix,coord_grid,6,7,200,8.0,25,0.988184375,,,0.015558124985545874
d3__L3__seed6,gnn_qmix,coord_grid,6,8,225,1.0,25,0.9867,0.07785461097955704,0.48626495472022463,0.0394217079738155
d3__L3__seed6,gnn_qmix,coord_grid,6,9,250,5.0,25,0.985215625,0.06971997208893299,0.24896569301684698,0.06093841593246907
d3__L3__seed6,gnn_qmix,coord_grid,6,10,275,3.0,25,0.98373125,0.06527779996395111,0.3104257310430209,0.08230524999089539
d3__L3__seed6,gnn_qmix,coord_grid,6,11,300,2.0,25,0.982246875,0.06695688267548879,0.24680440376202264,0.10468074993696064
d3__L3__seed6,gnn_qmix,coord_grid,6,12,325,0.0,25,0.9807625,0.053432216601712365,0.23913957604340144,0.12965429096948355
d3__L3__seed6,gnn_qmix,coord_grid,6,13,350,6.0,25,0.979278125,0.046751637322207294,0.23755253354708353,0.1495857909321785
d3__L3__seed6,gnn_qmix,coord_grid,6,14,375,3.0,25,0.97779375,0.04159507590035597,0.24602639426787695,0.1664407500065863
d3__L3__seed6,gnn_qmix,coord_grid,6,15,400,3.0,25,0.976309375,0.06012910914917787,0.2994874616463979,0.18589241593144834
d3__L3__seed6,gnn_qmix,coord_grid,6,16,425,2.0,25,0.974825,0.04065942977155958,0.23070915469101497,0.21326787502039224
d3__L3__seed6,gnn_qmix,coord_grid,6,17,450,3.0,25,0.973340625,0.05861916641394297,0.21272468070189157,0.23873133293818682
d3__L3__seed6,gnn_qmix,coord_grid,6,18,475,1.0,25,0.97185625,0.06943379404644172,0.2056647688150406,0.2593343749176711
d3__L3__seed6,gnn_qmix,coord_grid,6,19,500,4.0,25,0.970371875,0.07438616827130318,0.2699917381008466,0.2821181659819558
d3__L3__seed6,gnn_qmix,coord_grid,6,20,525,2.0,25,0.9688875,0.056785632989236286,0.25254575482436586,0.30696783296298236
d3__L3__seed6,gnn_qmix,coord_grid,6,21,550,4.0,25,0.967403125,0.046127318715055786,0.21316960453987122,0.32754483295138925
d3__L3__seed6,gnn_qmix,coord_grid,6,22,575,4.0,25,0.96591875,0.08513910944263141,0.3247714911897977,0.34937245794571936
d3__L3__seed6,gnn_qmix,coord_grid,6,23,600,2.0,25,0.964434375,0.05219437275081873,0.2434136023124059,0.3705469159176573
d3__L3__seed6,gnn_qmix,coord_grid,6,24,625,3.0,25,0.96295,0.04684704542160034,0.24298300061907088,0.39563579100649804
d3__L3__seed6,gnn_qmix,coord_grid,6,25,650,1.0,25,0.961465625,0.05700730128834645,0.2634629433353742,0.4178560000145808
d3__L3__seed6,gnn_qmix,coord_grid,6,26,675,7.0,25,0.95998125,0.0618178059036533,0.23009046912193298,0.44003145792521536
d3__L3__seed6,gnn_qmix,coord_grid,6,27,700,3.0,25,0.958496875,0.04911184807618459,0.30369167029857635,0.4626367079326883
d3__L3__seed6,gnn_qmix,coord_grid,6,28,725,1.0,25,0.9570125,0.06435567938855716,0.26255277012075695,0.48740699992049485
d3__L3__seed6,gnn_qmix,coord_grid,6,29,750,2.0,25,0.955528125,0.042384450789541006,0.24795354157686234,0.5084542909171432
d3__L3__seed6,gnn_qmix,coord_grid,6,30,775,1.0,25,0.95404375,0.06189673704405626,0.22436687598625818,0.5306624579243362
d3__L3__seed6,gnn_qmix,coord_grid,6,31,800,3.0,25,0.952559375,0.050955849389235176,0.2307149221499761,0.55162354093045
d3__L3__seed6,gnn_qmix,coord_grid,6,32,825,4.0,25,0.951075,0.05073127376713923,0.23128255988870347,0.5726370830088854
d3__L3__seed6,gnn_qmix,coord_grid,6,33,850,1.0,25,0.949590625,0.05156657348076502,0.19261248161395392,0.5894872909411788
d3__L3__seed6,gnn_qmix,coord_grid,6,34,875,4.0,25,0.94810625,0.052327691266934075,0.23186605796217918,0.6063713330077007
d3__L3__seed6,gnn_qmix,coord_grid,6,35,900,2.0,25,0.946621875,0.06973753062387307,0.3105463311076164,0.6235597499180585
d3__L3__seed6,gnn_qmix,coord_grid,6,36,925,1.0,25,0.9451375,0.05005622309233461,0.20796255767345428,0.6434620829531923
d3__L3__seed6,gnn_qmix,coord_grid,6,37,950,1.0,25,0.943653125,0.05797176621854305,0.25472904990116757,0.6610055409837514
d3__L3__seed6,gnn_qmix,coord_grid,6,38,975,6.0,25,0.94216875,0.05016552501668533,0.20413515965143839,0.6781346659408882
d3__L3__seed6,gnn_qmix,coord_grid,6,39,1000,0.0,25,0.940684375,0.06492827708522479,0.2099593703945478,0.6955660829553381
d3__L3__seed6,gnn_qmix,coord_grid,6,40,1025,8.0,25,0.9392,0.07601221863712583,0.48556309938430786,0.7150119579164311
d3__L3__seed6,gnn_qmix,coord_grid,6,41,1050,2.0,25,0.937715625,0.07065655943006277,0.24596794694662094,0.7320119999349117
d3__L3__seed6,gnn_qmix,coord_grid,6,42,1075,1.0,25,0.93623125,0.062240165968736015,0.3934447367986043,0.7485690409084782
d3__L3__seed6,gnn_qmix,coord_grid,6,43,1100,4.0,25,0.934746875,0.06276705861091614,0.2625364785393079,0.7652837079949677
d3__L3__seed6,gnn_qmix,coord_grid,6,44,1125,4.0,25,0.9332625,0.0542608949222735,0.23261255664484842,0.7851352079305798
d3__L3__seed6,gnn_qmix,coord_grid,6,45,1150,4.0,25,0.931778125,0.07571289005378883,0.2794658690690994,0.8025439159246162
d3__L3__seed6,gnn_qmix,coord_grid,6,46,1175,2.0,25,0.93029375,0.07568916119635105,0.27525774389505386,0.8295624579768628
d3__L3__seed6,gnn_qmix,coord_grid,6,47,1200,4.0,25,0.9288093749999999,0.07448023123045762,0.28058744718631107,0.851006833021529
d3__L3__seed6,gnn_qmix,coord_grid,6,48,1225,5.0,25,0.927325,0.05082662855940206,0.38007608907563345,0.876185082946904
d3__L3__seed6,gnn_qmix,coord_grid,6,49,1250,2.0,25,0.925840625,0.05376220680773258,0.2211904525756836,0.8936905829468742
d3__L3__seed6,gnn_qmix,coord_grid,6,50,1275,4.0,25,0.92435625,0.07872271537780762,0.2594645371039708,0.9164603749522939
d3__L3__seed6,gnn_qmix,coord_grid,6,51,1300,2.0,25,0.922871875,0.057376532504955925,0.1818345586458842,0.9395352909341455
d3__L3__seed6,gnn_qmix,coord_grid,6,52,1325,5.0,25,0.9213875,0.06181791717452662,0.31914577526705606,0.9652424160158262
d3__L3__seed6,gnn_qmix,coord_grid,6,53,1350,1.0,25,0.919903125,0.06647721057136853,0.32525550325711566,0.9875245000002906
d3__L3__seed6,gnn_qmix,coord_grid,6,54,1375,1.0,25,0.91841875,0.056407468393445015,0.2462910662094752,1.0079342909157276
d3__L3__seed6,gnn_qmix,coord_grid,6,55,1400,4.0,25,0.916934375,0.04759736048678557,0.3621063480774562,1.029950457974337
d3__L3__seed6,gnn_qmix,coord_grid,6,56,1425,6.0,25,0.91545,0.054926952347159386,0.2287441896540778,1.0498639579163864
d3__L3__seed6,gnn_qmix,coord_grid,6,57,1450,7.0,25,0.913965625,0.07467548626785477,0.3155853673815727,1.0671430409420282
d3__L3__seed6,gnn_qmix,coord_grid,6,58,1475,0.0,25,0.91248125,0.05699359315137068,0.21056093027194342,1.0852140409406275
d3__L3__seed6,gnn_qmix,coord_grid,6,59,1500,0.0,25,0.910996875,0.03256581382205089,0.22946560382843018,1.1024015409639105
d3__L3__seed6,gnn_qmix,coord_grid,6,60,1525,1.0,25,0.9095125,0.04204577420439039,0.21839460198368346,1.1221697080181912
d3__L3__seed6,gnn_qmix,coord_grid,6,61,1550,3.0,25,0.908028125,0.05797353604187568,0.202952412267526,1.1395601659314707
d3__L3__seed6,gnn_qmix,coord_grid,6,62,1575,6.0,25,0.90654375,0.07521886688967545,0.3004993225137393,1.1568587499205023
d3__L3__seed6,gnn_qmix,coord_grid,6,63,1600,2.0,25,0.905059375,0.05795995146036148,0.2486233115196228,1.1739380409708247
d3__L3__seed6,gnn_qmix,coord_grid,6,64,1625,6.0,25,0.903575,0.050010966935328076,0.19209071355206625,1.1936083749169484
