diameter,depth,seed,final_return
1,1,0,5.8125
1,1,1,6.7375
1,1,2,7.35
1,1,3,6.35
1,1,4,6.1875
1,1,5,5.4375
1,1,6,5.175
1,1,7,6.925
1,1,8,7.1125
1,1,9,7.2625
1,2,0,6.2125
1,2,1,7.3
1,2,2,6.6625
1,2,3,4.6375
1,2,4,6.725
1,2,5,6.6
1,2,6,4.875
1,2,7,8.1125
1,2,8,6.1875
1,2,9,6.05
1,3,0,6.5875
1,3,1,8.5
1,3,2,8.125
1,3,3,6.25
1,3,4,9.1125
1,3,5,4.725
1,3,6,4.975
1,3,7,7.4625
1,3,8,5.375
1,3,9,6.55
1,4,0,6.4875
1,4,1,5.775
1,4,2,6.4375
1,4,3,5.9125
1,4,4,6.625
1,4,5,6.025
1,4,6,5.05
1,4,7,7.0
1,4,8,5.8375
1,4,9,6.65
2,1,0,11.8
2,1,1,11.525
2,1,2,15.8125
2,1,3,10.675
2,1,4,16.075
2,1,5,10.575
2,1,6,13.3625
2,1,7,10.4
2,1,8,9.725
2,1,9,9.625
2,2,0,15.875
2,2,1,11.7
2,2,2,20.2
2,2,3,10.0875
2,2,4,20.2125
2,2,5,19.9625
2,2,6,15.6125
2,2,7,16.65
2,2,8,18.3
2,2,9,11.7375
2,3,0,5.65
2,3,1,5.0875
2,3,2,4.1625
2,3,3,4.6
2,3,4,6.1625
2,3,5,3.5875
2,3,6,3.8375
2,3,7,5.6
2,3,8,4.2125
2,3,9,3.8375
2,4,0,4.975
2,4,1,5.1
2,4,2,4.775
2,4,3,4.375
2,4,4,4.45
2,4,5,3.925
2,4,6,3.4625
2,4,7,4.5125
2,4,8,4.05
2,4,9,4.6375
3,1,0,18.6625
3,1,1,19.725
3,1,2,13.7375
3,1,3,31.025
3,1,4,18.375
3,1,5,20.2
3,1,6,34.2375
3,1,7,10.625
3,1,8,23.3375
3,1,9,17.175
3,2,0,13.1625
3,2,1,12.2375
3,2,2,14.1875
3,2,3,12.05
3,2,4,12.65
3,2,5,11.1875
3,2,6,20.8
3,2,7,13.35
3,2,8,14.4125
3,2,9,13.1375
3,3,0,6.725
3,3,1,8.55
3,3,2,5.4375
3,3,3,5.075
3,3,4,6.2875
3,3,5,7.8375
3,3,6,8.2
3,3,7,8.4125
3,3,8,7.975
3,3,9,6.525
3,4,0,4.925
3,4,1,5.65
3,4,2,3.5875
3,4,3,6.525
3,4,4,5.8625
3,4,5,4.9875
3,4,6,5.325
3,4,7,4.4
3,4,8,8.825
3,4,9,5.325
