algo,n_agents,n_seeds,final_mean,ci_lo,ci_hi
gnn_qmix,4,10,72.81133333333332,69.5971440216357,76.02552264503095
iql,4,10,63.334833333333336,61.97228903947928,64.6973776271874
mlp_qmix,4,10,83.41100000000002,82.3852146138149,84.43678538618514
qmix,4,10,82.95133333333334,81.57091888141105,84.33174778525563
vdn,4,10,74.626,71.19716768169535,78.05483231830466
gnn_qmix,8,10,78.29366666666667,56.162126660226335,100.425206673107
iql,8,10,113.01499999999999,101.80499675588803,124.22500324411195
mlp_qmix,8,10,164.91933333333333,162.54842405280664,167.29024261386002
qmix,8,10,164.9185,158.37322866805252,171.46377133194747
vdn,8,10,141.82316666666668,124.9096446072264,158.73668872610696
