run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,0,25,3.0,25,0.99981,,,0.0028760830173268914
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,1,50,2.0,25,0.9996120833333333,,,0.004313167009968311
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,2,75,7.0,25,0.9994141666666667,,,0.0057015420170500875
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,3,100,5.0,25,0.99921625,,,0.007115958025678992
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,4,125,1.0,25,0.9990183333333333,,,0.008549541991669685
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,5,150,6.0,25,0.9988204166666667,,,0.009954583016224205
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,6,175,2.0,25,0.9986225,,,0.011348583037033677
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,7,200,3.0,25,0.9984245833333333,,,0.012755708012264222
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,8,225,5.0,25,0.9982266666666667,0.10862835815974645,0.6112187100308282,0.02897987503092736
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,9,250,4.0,25,0.99802875,0.09855653966466586,0.3373340393106143,0.04272079200018197
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,10,275,4.0,25,0.9978308333333333,0.0736300814896822,0.44778628647327423,0.05607900000177324
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,11,300,0.0,25,0.9976329166666666,0.0685264840722084,0.20711283882459006,0.0693900830228813
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,12,325,4.0,25,0.997435,0.06855795372809682,0.23267402180603572,0.08461291703861207
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,13,350,4.0,25,0.9972370833333334,0.0686975500235955,0.24759849160909653,0.09789641702082008
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,14,375,4.0,25,0.9970391666666667,0.06327502274264891,0.2834589257836342,0.11169720801990479
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,15,400,3.0,25,0.99684125,0.05260331245760123,0.24820643166700998,0.12560908298473805
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,16,425,8.0,25,0.9966433333333333,0.06850596783416611,0.20347694201128824,0.14096016698749736
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,17,450,4.0,25,0.9964454166666666,0.06793360412120819,0.28701013574997586,0.154495875001885
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,18,475,2.0,25,0.9962475,0.07705915905535221,0.3530413856108983,0.16792391700437292
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,19,500,1.0,25,0.9960495833333334,0.07646612947185834,0.22282174477974573,0.18127962498692796
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,20,525,5.0,25,0.9958516666666667,0.07558440363832883,0.2448301613330841,0.19641825003782287
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,21,550,5.0,25,0.99565375,0.07015076962610085,0.1716815953453382,0.20978166698478162
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,22,575,1.0,25,0.9954558333333333,0.07071874352792899,0.30023028949896496,0.2229596670367755
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,23,600,1.0,25,0.9952579166666666,0.07947676132122676,0.35805483162403107,0.23627916700206697
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,24,625,4.0,25,0.9950600000000001,0.07570759632757731,0.25635423830577303,0.2521609580144286
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,25,650,7.0,25,0.9948620833333334,0.06745378114283085,0.17440298696359,0.2656531250104308
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,26,675,2.0,25,0.9946641666666667,0.06530995201319456,0.28373797982931137,0.279046667041257
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,27,700,2.0,25,0.99446625,0.06473511705795924,0.2387815018494924,0.29255125002237037
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,28,725,6.0,25,0.9942683333333333,0.07169532110648495,0.23832909975733077,0.30801733303815126
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,29,750,4.0,25,0.9940704166666666,0.08454310521483421,0.2221686840057373,0.32139116700273007
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,30,775,2.0,25,0.9938725,0.07122783549129963,0.25459722181161243,0.33486541704041883
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,31,800,2.0,25,0.9936745833333334,0.07668532741566499,0.4000656803448995,0.34819425002206117
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,32,825,2.0,25,0.9934766666666667,0.06836369740111488,0.29596709992204395,0.3638215829851106
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,33,850,6.0,25,0.99327875,0.07067597719530265,0.3551539679368337,0.3771122500183992
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,34,875,1.0,25,0.9930808333333333,0.07086393299202125,0.20669765025377274,0.39040004200069234
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,35,900,2.0,25,0.9928829166666666,0.054053242628773056,0.16996234531203905,0.4037620830349624
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,36,925,0.0,25,0.992685,0.06268950551748276,0.2627069183758327,0.4189726249896921
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,37,950,6.0,25,0.9924870833333334,0.07939974218606949,0.23905385782321295,0.4322256669984199
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,38,975,8.0,25,0.9922891666666667,0.0601901529977719,0.2616053248445193,0.44555004202993587
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,39,1000,2.0,25,0.99209125,0.07314120170970757,0.2941046158472697,0.45931012503569946
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,40,1025,4.0,25,0.9918933333333333,0.0869702340236732,0.46304560133389067,0.4745542500168085
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,41,1050,1.0,25,0.9916954166666667,0.0707516719897588,0.29819368571043015,0.4881998330238275
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,42,1075,1.0,25,0.9914975,0.08793006713191669,0.38171178102493286,0.5016766249900684
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,43,1100,0.0,25,0.9912995833333333,0.05757472850382328,0.2480154111981392,0.5151616670191288
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,44,1125,5.0,25,0.9911016666666667,0.060620552128446956,0.3128924252731459,0.5303792080376297
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,45,1150,5.0,25,0.99090375,0.06603494969507058,0.22997157275676727,0.5437290830304846
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,46,1175,1.0,25,0.9907058333333333,0.06711700620750587,0.2558814510703087,0.5571834580041468
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,47,1200,3.0,25,0.9905079166666667,0.060402282824118934,0.182171697417895,0.5703837500186637
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,48,1225,2.0,25,0.99031,0.051707708675946505,0.19822054462773459,0.5859935830230825
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,49,1250,3.0,25,0.9901120833333333,0.057755799032747746,0.26026267806688946,0.5991679999860935
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,50,1275,2.0,25,0.9899141666666667,0.0816320317486922,0.2923676868279775,0.6122820419841446
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,51,1300,2.0,25,0.98971625,0.06282552952567737,0.35183167457580566,0.6258019999950193
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,52,1325,8.0,25,0.9895183333333334,0.05963627834405218,0.26472815019743784,0.640967792016454
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,53,1350,1.0,25,0.9893204166666667,0.0701968353241682,0.36233056088288623,0.6543262079940178
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,54,1375,2.0,25,0.9891225,0.06356939921776454,0.24717304358879724,0.6677850420237519
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,55,1400,0.0,25,0.9889245833333333,0.053980063647031784,0.2925088529785474,0.6811640830128454
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,56,1425,6.0,25,0.9887266666666666,0.06334864933575902,0.2482209290776934,0.6966799169895239
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,57,1450,3.0,25,0.98852875,0.07919161580502987,0.34687257806460065,0.7100242919987068
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,58,1475,4.0,25,0.9883308333333334,0.078647264589866,0.1644102248052756,0.7232969580218196
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,59,1500,1.0,25,0.9881329166666667,0.06294140157600243,0.19322789584596953,0.7366072080330923
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,60,1525,0.0,25,0.987935,0.049498731536524634,0.19397311231919698,0.752585917012766
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,61,1550,0.0,25,0.9877370833333333,0.07803375087678432,0.2621298556526502,0.7661113330395892
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,62,1575,5.0,25,0.9875391666666666,0.05443707139541706,0.27370404948790866,0.779677750018891
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,63,1600,6.0,25,0.98734125,0.060261694403986134,0.28776289025942486,0.7931333330343477
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,64,1625,2.0,25,0.9871433333333334,0.07260192079203469,0.28307617136410307,0.8084324169903994
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,65,1650,0.0,25,0.9869454166666667,0.06301796187957127,0.25541144609451294,0.8217875420232303
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,66,1675,0.0,25,0.9867475,0.06534757961829503,0.3117411732673645,0.8351563750184141
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,67,1700,6.0,25,0.9865495833333333,0.05599327074984709,0.1866657460729281,0.8487222500261851
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,68,1725,3.0,25,0.9863516666666666,0.05798790657094547,0.2320193350315094,0.8649200419895351
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,69,1750,2.0,25,0.98615375,0.06008793910344442,0.1720281442006429,0.8785004999954253
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,70,1775,4.0,25,0.9859558333333334,0.070839108278354,0.2655194401741028,0.8918302500387654
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,71,1800,5.0,25,0.9857579166666667,0.053845738992094994,0.30541806916395825,0.9053697080234997
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,72,1825,2.0,25,0.98556,0.07211582149778094,0.35654942265578676,0.920695542008616
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,73,1850,1.0,25,0.9853620833333333,0.07064067758619785,0.299169381459554,0.934050208015833
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,74,1875,8.0,25,0.9851641666666666,0.05775694424907366,0.3005630647142728,0.9472857500077225
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,75,1900,3.0,25,0.98496625,0.07675821520388126,0.3002161532640457,0.9607732080039568
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,76,1925,5.0,25,0.9847683333333334,0.07860058865376882,0.32793294744832174,0.975995792017784
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,77,1950,3.0,25,0.9845704166666667,0.06105102847019831,0.2090965857108434,0.9895519579877146
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,78,1975,1.0,25,0.9843725,0.06461723148822784,0.22205657263596854,1.0031403329921886
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,79,2000,6.0,25,0.9841745833333333,0.04823233156154553,0.2625415623188019,1.0164351669955067
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,80,2025,4.0,25,0.9839766666666667,0.058805265596934726,0.2630427117858614,1.031649207987357
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,81,2050,2.0,25,0.98377875,0.0492035582040747,0.1950979953010877,1.0455478749936447
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,82,2075,7.0,25,0.9835808333333333,0.07728345816334088,0.21427694335579872,1.0589578750077635
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,83,2100,6.0,25,0.9833829166666667,0.04623448538283507,0.2184919019540151,1.0725535420351662
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,84,2125,4.0,25,0.983185,0.05176953226327896,0.20082256623676845,1.0879927499918267
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,85,2150,4.0,25,0.9829870833333333,0.0618504968782266,0.30664176245530445,1.1015644170111045
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,86,2175,0.0,25,0.9827891666666667,0.05481540861849984,0.25181057800849277,1.1154716670280322
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,87,2200,2.0,25,0.98259125,0.057432336111863456,0.28491435945034027,1.1292140830191784
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,88,2225,1.0,25,0.9823933333333333,0.06220504481877599,0.24197816210133688,1.1446446669870056
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,89,2250,5.0,25,0.9821954166666667,0.063168590888381,0.22441353152195612,1.1580982499872334
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,90,2275,4.0,25,0.9819975,0.0679784572372834,0.23396483808755875,1.171633624995593
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,91,2300,2.0,25,0.9817995833333333,0.06417765778799851,0.28524155418078107,1.1851379580330104
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,92,2325,2.0,25,0.9816016666666667,0.0669390197311129,0.2169694027730397,1.200688207987696
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,93,2350,3.0,25,0.98140375,0.07231374209125836,0.21148898949225745,1.2141217500320636
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,94,2375,5.0,25,0.9812058333333333,0.06831612686316173,0.2903994793693225,1.2278001250233501
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,95,2400,10.0,25,0.9810079166666666,0.06288172211498022,0.2523740480343501,1.242014791991096
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,96,2425,3.0,25,0.98081,0.0641780077878918,0.24439235350915364,1.2582394580240361
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,97,2450,4.0,25,0.9806120833333334,0.05090292046467463,0.22907339533170065,1.2720943330205046
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,98,2475,0.0,25,0.9804141666666667,0.06218862432676057,0.22906835128863653,1.2855686669936404
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,99,2500,1.0,25,0.98021625,0.0729303378611803,0.2986108933885892,1.2991246670135297
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,100,2525,6.0,25,0.9800183333333333,0.06715190676706177,0.25596891556467327,1.3145564580336213
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,101,2550,1.0,25,0.9798204166666666,0.07614934630692005,0.25835954149564105,1.327967333025299
gnn_qmix__N4__line__seed8,gnn_qmix,coord_grid,8,102,2575,3.0,25,0.9796225,0.058651226262251534,0.2880806351701419,1.3414180830004625
