run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,0,25,0.0,25,0.99981,,,0.004700583987869322
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,1,50,5.0,25,0.9996120833333333,,,0.006775624991860241
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,2,75,1.0,25,0.9994141666666667,,,0.008822750009130687
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,3,100,3.0,25,0.99921625,,,0.01086979202227667
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,4,125,8.0,25,0.9990183333333333,,,0.012898874992970377
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,5,150,8.0,25,0.9988204166666667,,,0.014933541999198496
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,6,175,7.0,25,0.9986225,,,0.016976125014480203
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,7,200,12.0,25,0.9984245833333333,,,0.018997250008396804
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,8,225,6.0,25,0.9982266666666667,0.1091355276959283,0.6830995338303703,0.03576216701185331
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,9,250,5.0,25,0.99802875,0.12118856981396675,0.3987445781628291,0.04949633398791775
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,10,275,3.0,25,0.9978308333333333,0.09964059541622798,0.48196906596422195,0.06376400002045557
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,11,300,8.0,25,0.9976329166666666,0.10069769372542699,0.28236741572618484,0.07786974997725338
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,12,325,5.0,25,0.997435,0.09782603489501136,0.24604596836226328,0.0931659999769181
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,13,350,7.0,25,0.9972370833333334,0.10028308816254139,0.2955457791686058,0.10817687498638406
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,14,375,10.0,25,0.9970391666666667,0.10272357240319252,0.299864927927653,0.12169375002849847
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,15,400,13.0,25,0.99684125,0.10570746287703514,0.2623227039972941,0.13579074997687712
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,16,425,5.0,25,0.9966433333333333,0.11011117590325219,0.3216447872774942,0.15174012503121048
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,17,450,6.0,25,0.9964454166666666,0.10920074457923572,0.31213126828273136,0.16671499999938533
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,18,475,6.0,25,0.9962475,0.09366041421890259,0.251850130657355,0.18037433398421854
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,19,500,7.0,25,0.9960495833333334,0.1274304116765658,0.43261604756116867,0.19412770902272314
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,20,525,9.0,25,0.9958516666666667,0.1047089376619884,0.30300783259528025,0.2106924169929698
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,21,550,8.0,25,0.99565375,0.10832665115594864,0.27339563022057217,0.22463841701392084
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,22,575,6.0,25,0.9954558333333333,0.11491461594899495,0.33835888157288235,0.23864387499634176
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,23,600,4.0,25,0.9952579166666666,0.10227715224027634,0.3052157312631607,0.2531756249954924
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,24,625,3.0,25,0.9950600000000001,0.11533045662300927,0.3394591339996883,0.2695325840031728
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,25,650,4.0,25,0.9948620833333334,0.08936668249468009,0.283192977309227,0.2848117499961518
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,26,675,6.0,25,0.9946641666666667,0.11312902346253395,0.3342651029427846,0.3000227920128964
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,27,700,9.0,25,0.99446625,0.10252603391806285,0.2762995238105456,0.31562241702340543
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,28,725,5.0,25,0.9942683333333333,0.1130237068448748,0.2673578964812415,0.3316658340045251
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,29,750,3.0,25,0.9940704166666666,0.0978827103972435,0.3095216453075409,0.3460043339873664
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,30,775,8.0,25,0.9938725,0.11745461821556091,0.3070576786994934,0.36058479198254645
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,31,800,8.0,25,0.9936745833333334,0.09916164974371593,0.4312640304366748,0.3744272090261802
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,32,825,7.0,25,0.9934766666666667,0.09921309618013245,0.3867959593023573,0.3906107090297155
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,33,850,10.0,25,0.99327875,0.10475224318603675,0.46699808289607364,0.4053503340110183
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,34,875,7.0,25,0.9930808333333333,0.10928037017583847,0.38376135130723316,0.41960037499666214
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,35,900,12.0,25,0.9928829166666666,0.1241622157394886,0.3456604927778244,0.434777166985441
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,36,925,11.0,25,0.992685,0.09674714186361857,0.3299874727215086,0.4514789590029977
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,37,950,3.0,25,0.9924870833333334,0.09119458496570587,0.3732462426026662,0.46501512499526143
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,38,975,12.0,25,0.9922891666666667,0.08069526528318723,0.31897637744744617,0.47893995902268216
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,39,1000,8.0,25,0.99209125,0.13578730573256811,0.4272055501739184,0.4935139589942992
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,40,1025,2.0,25,0.9918933333333333,0.21732608335358755,1.4748258590698242,0.5098386669997126
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,41,1050,7.0,25,0.9916954166666667,0.09589861333370209,0.4193989410996437,0.5239572920254432
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,42,1075,11.0,25,0.9914975,0.11121831461787224,0.8249765634536743,0.5391035000211559
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,43,1100,7.0,25,0.9912995833333333,0.11490726719299953,0.47096281747023266,0.5541067500016652
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,44,1125,5.0,25,0.9911016666666667,0.107375225850514,0.2721610367298126,0.5706768340314738
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,45,1150,7.0,25,0.99090375,0.10074975031117599,0.3363841498891513,0.5852644999977201
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,46,1175,6.0,25,0.9907058333333333,0.12495660285154979,0.4597596675157547,0.5996712089981884
mlp_qmix__N8__line__seed3,mlp_qmix,coord_grid,3,47,1200,4.0,25,0.9905079166666667,0.10955636699994405,0.38293975591659546,0.6138054589973763
