arm,n_agents,graph,seed,steps,run_dir,n_episodes,final
gnn_qmix_repaired,4,line,0,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed0,6000,63.431666666666665
gnn_qmix_repaired,4,line,1,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed1,6000,63.10333333333333
gnn_qmix_repaired,4,line,2,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed2,6000,62.49333333333333
gnn_qmix_repaired,4,line,3,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed3,6000,63.87833333333333
gnn_qmix_repaired,4,line,4,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed4,6000,62.49333333333333
gnn_qmix_repaired,4,line,5,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed5,6000,63.178333333333335
gnn_qmix_repaired,4,line,6,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed6,6000,58.586666666666666
gnn_qmix_repaired,4,line,7,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed7,6000,62.98
gnn_qmix_repaired,4,line,8,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed8,6000,62.75666666666667
gnn_qmix_repaired,4,line,9,150000,results\phase8_repaired_line\gnn_rep__N4__line__seed9,6000,63.638333333333335
gnn_qmix_repaired,8,line,0,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed0,6000,147.59166666666667
gnn_qmix_repaired,8,line,1,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed1,6000,147.83166666666668
gnn_qmix_repaired,8,line,2,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed2,6000,140.48666666666668
gnn_qmix_repaired,8,line,3,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed3,6000,137.90833333333333
gnn_qmix_repaired,8,line,4,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed4,6000,136.85666666666665
gnn_qmix_repaired,8,line,5,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed5,6000,143.70333333333335
gnn_qmix_repaired,8,line,6,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed6,6000,146.36666666666667
gnn_qmix_repaired,8,line,7,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed7,6000,142.065
gnn_qmix_repaired,8,line,8,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed8,6000,145.92833333333334
gnn_qmix_repaired,8,line,9,150000,results\phase8_repaired_line\gnn_rep__N8__line__seed9,6000,146.04666666666665
