run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,0,25,-38.73910465203728,25,0.99981,,,0.028724833973683417
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,1,50,-35.67900920473359,25,0.9996120833333333,,,0.042510292027145624
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,2,75,-45.90833362540483,25,0.9994141666666667,,,0.05637862498406321
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,3,100,-33.222832503710734,25,0.99921625,,,0.07030654198024422
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,4,125,-28.209485245807585,25,0.9990183333333333,,,0.08419729198794812
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,5,150,-45.06412997573713,25,0.9988204166666667,,,0.09854541707318276
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,6,175,-31.94170248966791,25,0.9986225,,,0.11217729200143367
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,7,200,-43.815913938921604,25,0.9984245833333333,,,0.12601791706401855
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,8,225,-35.43137392762946,25,0.9982266666666667,0.25787551275321413,3.7225687503814697,0.2194965840317309
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,9,250,-41.965431363814325,25,0.99802875,0.14688826849063238,2.443177580833435,0.3056860000360757
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,10,275,-55.92371964892349,25,0.9978308333333333,0.08402474969625473,1.64777010679245,0.38823520904406905
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,11,300,-37.34605763014719,25,0.9976329166666666,0.09131568670272827,1.9092117150624592,0.4737685840809718
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,12,325,-32.449841848333385,25,0.997435,0.07065715800438609,1.4525795323508126,0.5674829590134323
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,13,350,-44.885686673541656,25,0.9972370833333334,0.10905371482173602,1.642910401026408,0.6506677090656012
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,14,375,-54.060380170898725,25,0.9970391666666667,0.06833638871709506,1.8978339433670044,0.7342439170461148
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,15,400,-36.12383010264778,25,0.99684125,0.08284904807806015,2.0232794483502707,0.816885625012219
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,16,425,-31.780777056118886,25,0.9966433333333333,0.1444587345634188,3.2131933655057634,0.9095796250039712
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,17,450,-36.21015409502018,25,0.9964454166666666,0.14937343137959638,2.3004971146583557,0.9887651250464842
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,18,475,-50.70979492379388,25,0.9962475,0.15390892575184503,2.9064789414405823,1.0636777919717133
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,19,500,-40.72994036417697,25,0.9960495833333334,0.10945346082250278,2.5317686200141907,1.1428749170154333
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,20,525,-33.58868879561628,25,0.9958516666666667,0.06972813020859446,1.2530093363353185,1.2495016250759363
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,21,550,-40.64661956523394,25,0.99565375,0.056947618102033935,1.6726403037707012,1.3266520419856533
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,22,575,-32.68221399708651,25,0.9954558333333333,0.05791252665221691,1.3955805401007335,1.4027157500386238
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,23,600,-39.32526964982684,25,0.9952579166666666,0.08322311782588561,1.590216964483261,1.4769045000430197
dgn_qmix__N6__spread__seed7,dgn_qmix,mpe:simple_spread,7,24,625,-45.70034519008176,25,0.9950600000000001,0.11483509572488922,2.027839115687779,1.5600349999731407
