a,b,metric_a,metric_b,stat,p_raw,p_holm,test
iql,vdn,-33.148243074827356,-34.92126436889368,3.6564147259376956,0.003747235833849526,0.014988943335398104,welch
iql,qmix,-33.148243074827356,-74.26369335878238,8.025627044675906,2.1340376033212983e-05,0.00017072300826570386,welch
iql,gnn_qmix,-33.148243074827356,-80.41974199179467,9.253304574316795,6.7122088449458675e-06,6.712208844945868e-05,welch
iql,mlp_qmix,-33.148243074827356,-59.639509168395286,6.962833225894326,6.481159451952539e-05,0.00038886956711715236,welch
vdn,qmix,-34.92126436889368,-74.26369335878238,7.652419576595964,2.882000903681844e-05,0.00020174006325772908,welch
vdn,gnn_qmix,-34.92126436889368,-80.41974199179467,8.87461211492219,8.606165352316668e-06,7.745548817085001e-05,welch
vdn,mlp_qmix,-34.92126436889368,-59.639509168395286,6.455403448236383,0.00010322337120783228,0.0005161168560391614,welch
qmix,gnn_qmix,-74.26369335878238,-80.41974199179467,0.8512838392980241,0.405794961840688,0.405794961840688,welch
qmix,mlp_qmix,-74.26369335878238,-59.639509168395286,-2.293103506179792,0.035187862023821216,0.07037572404764243,welch
gnn_qmix,mlp_qmix,-80.41974199179467,-59.639509168395286,-3.2643084068125243,0.004674991176114915,0.014988943335398104,welch
