algo,n_agents,n_seeds,final_mean,ci_lo,ci_hi
gnn_qmix,3,10,-42.368469114841076,-50.87799650919486,-33.858941720487294
iql,3,10,-19.384239390734344,-19.806723111982397,-18.96175566948629
mlp_qmix,3,10,-44.3261064799632,-48.23520370026879,-40.41700925965761
qmix,3,10,-44.9011777794924,-49.35369904572494,-40.44865651325986
vdn,3,10,-21.508815124688898,-22.901209270159935,-20.11642097921786
gnn_qmix,6,10,-80.41974199179467,-91.97081197247832,-68.86867201111102
iql,6,10,-33.148243074827356,-33.50156871948751,-32.7949174301672
mlp_qmix,6,10,-59.639509168395286,-68.23900982654456,-51.040008510246004
qmix,6,10,-74.26369335878238,-85.84738311405098,-62.68000360351376
vdn,6,10,-34.92126436889368,-35.95973897272036,-33.882789765067
