run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,0,25,-39.16430813406458,25,0.99981,,,0.030918249976821244
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,1,50,-29.426618693823258,25,0.9996120833333333,,,0.04476170800626278
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,2,75,-30.44819765499181,25,0.9994141666666667,,,0.05853966699214652
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,3,100,-42.20889749637631,25,0.99921625,,,0.0724411669652909
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,4,125,-64.76817413673771,25,0.9990183333333333,,,0.08612808299949393
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,5,150,-44.69556214271474,25,0.9988204166666667,,,0.0999032499967143
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,6,175,-42.55263751985639,25,0.9986225,,,0.11351195798488334
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,7,200,-39.64623144496175,25,0.9984245833333333,,,0.12706704199081287
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,8,225,-27.666998612393886,25,0.9982266666666667,0.4229709506034851,2.85302928515843,0.1562403329880908
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,9,250,-45.908546083760406,25,0.99802875,0.26336192339658737,2.100675622622172,0.18311812495812774
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,10,275,-41.70575642069504,25,0.9978308333333333,0.11579769104719162,1.335228681564331,0.2080825829762034
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,11,300,-46.2710697460863,25,0.9976329166666666,0.07590092035631339,0.6176566133896509,0.23402362497290596
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,12,325,-46.41310280594703,25,0.997435,0.0752092216696058,0.7186587708336967,0.26818920799996704
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,13,350,-30.4703819753233,25,0.9972370833333334,0.0645757627983888,0.5146981676419576,0.29751037497771904
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,14,375,-42.42018528951761,25,0.9970391666666667,0.05244760029017925,0.3510182201862335,0.32770266698207706
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,15,400,-33.83378937598551,25,0.99684125,0.0687227336068948,0.5834332505861918,0.3566640419885516
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,16,425,-35.39052341963385,25,0.9966433333333333,0.08120869100093842,0.5857666092259544,0.38477941701421514
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,17,450,-42.861786751067285,25,0.9964454166666666,0.08647990164657433,0.5170640001694361,0.4149207500158809
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,18,475,-48.09595452094472,25,0.9962475,0.08800887502729893,0.44053370257218677,0.44516754196956754
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,19,500,-41.70444746424846,25,0.9960495833333334,0.06550807009140651,0.48892561594645184,0.47352037497330457
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,20,525,-30.76378315749371,25,0.9958516666666667,0.06292912736535072,0.5768506484372276,0.5035302499891259
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,21,550,-35.37237325017582,25,0.99565375,0.06564835893611114,0.4618250826994578,0.5309760000091046
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,22,575,-34.72073391999562,25,0.9954558333333333,0.056863381837805115,0.4361305385828018,0.5607618329813704
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,23,600,-35.80638858973184,25,0.9952579166666666,0.06382609158754349,0.6114227821429571,0.5892631669994444
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,24,625,-32.538756800797415,25,0.9950600000000001,0.059897207255874364,0.4369922067437853,0.6188550000078976
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,25,650,-43.098132129134186,25,0.9948620833333334,0.04399126085142294,0.5288119614124298,0.6466292080003768
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,26,675,-48.85729686009047,25,0.9946641666666667,0.05448692788680395,0.4110124210516612,0.675268999999389
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,27,700,-28.947860601765882,25,0.99446625,0.05509617365896702,0.41454489529132843,0.6996129580074921
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,28,725,-32.24354327597791,25,0.9942683333333333,0.05872375890612602,0.5778413585254124,0.7242534169927239
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,29,750,-47.39421164582716,25,0.9940704166666666,0.04956244118511677,0.49314888815085095,0.7450838749646209
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,30,775,-39.81013374679435,25,0.9938725,0.06764471593002479,0.5079013705253601,0.76939129200764
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,31,800,-51.96422976080089,25,0.9936745833333334,0.05208835999170939,0.5064391742149988,0.7948937920155004
vdn__N6__spread__seed0,vdn,mpe:simple_spread,0,32,825,-35.25990779882425,25,0.9934766666666667,0.06377451121807098,0.5389173967497689,0.8277438749792054
