diameter,arm,n,final_mean,ci_lo,ci_hi
1,qmix,10,20.612083333333338,19.355012495574282,21.869154171092394
1,mlp_qmix,10,20.383333333333333,18.298135989171918,22.468530677494748
1,gnn_repair_L2,10,18.582500000000003,17.872635889534738,19.292364110465268
1,gnn_repair_Ld,10,19.646250000000002,18.159559674702614,21.13294032529739
3,qmix,10,21.556666666666665,20.662885493333576,22.450447839999754
3,mlp_qmix,10,23.40375,19.446241534367168,27.36125846563283
3,gnn_repair_L2,10,22.7425,20.982633338872017,24.502366661127983
3,gnn_repair_Ld,10,21.74375,19.487543955018843,23.999956044981154
5,qmix,10,23.671249999999997,21.028282842111068,26.314217157888926
5,mlp_qmix,10,22.95,19.116792458834393,26.783207541165606
5,gnn_repair_L2,10,29.233750000000004,24.71973872629458,33.74776127370543
5,gnn_repair_Ld,10,26.915,22.356857484588325,31.473142515411674
