arm,algo,env_graph,obs,n_agents,seed,run_dir,final
gnn_complete,gnn_qmix,complete,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed0,50.5625
gnn_complete,gnn_qmix,complete,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed1,52.577083333333334
gnn_complete,gnn_qmix,complete,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed2,52.641666666666666
gnn_complete,gnn_qmix,complete,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed3,50.61666666666667
gnn_complete,gnn_qmix,complete,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed4,51.89791666666667
gnn_complete,gnn_qmix,complete,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed5,50.97708333333333
gnn_complete,gnn_qmix,complete,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed6,49.88125
gnn_complete,gnn_qmix,complete,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed7,49.2
gnn_complete,gnn_qmix,complete,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed8,51.50833333333333
gnn_complete,gnn_qmix,complete,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed9,50.12083333333333
gnn_complete,gnn_qmix,complete,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed10,52.229166666666664
gnn_complete,gnn_qmix,complete,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_complete__ego__N6__seed11,49.125
gnn_true,gnn_qmix,matching,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_true__ego__N6__seed0,62.885416666666664
gnn_true,gnn_qmix,matching,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\gnn_true__ego__N6__seed1,72.3875
