arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed0,50.5
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed1,50.6625
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed2,51.79895833333333
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed3,50.119791666666664
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed4,52.115625
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed5,50.453125
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed6,50.28333333333333
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed7,50.09375
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed8,49.702083333333334
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed9,49.69166666666667
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed10,51.13645833333333
gnn_complete,gnn_qmix,complete,nbr,core,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_complete__nbr_N6_ego__seed11,49.23020833333333
gnn_true,gnn_qmix,ring,nbr,core,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed0,51.81458333333333
gnn_true,gnn_qmix,ring,nbr,core,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed1,52.58541666666667
gnn_true,gnn_qmix,ring,nbr,core,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed2,51.87916666666667
gnn_true,gnn_qmix,ring,nbr,core,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed3,56.0625
gnn_true,gnn_qmix,ring,nbr,core,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed4,51.96875
gnn_true,gnn_qmix,ring,nbr,core,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed5,51.415625
gnn_true,gnn_qmix,ring,nbr,core,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed6,52.865625
gnn_true,gnn_qmix,ring,nbr,core,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed7,57.28854166666667
gnn_true,gnn_qmix,ring,nbr,core,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed8,52.14895833333333
gnn_true,gnn_qmix,ring,nbr,core,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed9,50.70104166666667
gnn_true,gnn_qmix,ring,nbr,core,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed10,53.16770833333333
gnn_true,gnn_qmix,ring,nbr,core,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_true__nbr_N6_ego__seed11,50.08229166666667
