arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed0,30000,1200,51.5875
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed1,30000,1200,50.119791666666664
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed2,30000,1200,50.859375
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed3,30000,1200,50.2125
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed4,30000,1200,50.025
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed5,30000,1200,50.34583333333333
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed6,30000,1200,51.278125
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed7,30000,1200,50.76354166666667
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed8,30000,1200,49.9
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed9,30000,1200,49.911458333333336
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed10,30000,1200,50.083333333333336
dgn_complete,dgn_qmix,complete,nbr,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_complete__nbr_N6_ego_attention__seed11,30000,1200,50.40833333333333
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed0,30000,1200,54.0375
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed1,30000,1200,53.55104166666667
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed2,30000,1200,54.157291666666666
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed3,30000,1200,56.63645833333333
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed4,30000,1200,51.380208333333336
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed5,30000,1200,54.65625
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed6,30000,1200,55.365625
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed7,30000,1200,50.61354166666667
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed8,30000,1200,53.37916666666667
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed9,30000,1200,51.276041666666664
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed10,30000,1200,53.10729166666667
dgn_true,dgn_qmix,ring,nbr,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\dgn_true__nbr_N6_ego_attention__seed11,30000,1200,52.7375
gat_complete,gat_qmix,complete,nbr,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed0,30000,1200,51.16041666666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed1,30000,1200,51.03541666666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed2,30000,1200,50.81666666666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed3,30000,1200,50.34791666666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed4,30000,1200,50.42395833333333
gat_complete,gat_qmix,complete,nbr,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed5,30000,1200,49.509375
gat_complete,gat_qmix,complete,nbr,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed6,30000,1200,50.74166666666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed7,30000,1200,49.790625
gat_complete,gat_qmix,complete,nbr,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed8,30000,1200,49.91979166666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed9,30000,1200,50.209375
gat_complete,gat_qmix,complete,nbr,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed10,30000,1200,50.41979166666667
gat_complete,gat_qmix,complete,nbr,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_complete__nbr_N6_ego_attention__seed11,30000,1200,50.65416666666667
gat_true,gat_qmix,ring,nbr,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed0,30000,1200,57.27395833333333
gat_true,gat_qmix,ring,nbr,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed1,30000,1200,53.60104166666667
gat_true,gat_qmix,ring,nbr,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed2,30000,1200,51.411458333333336
gat_true,gat_qmix,ring,nbr,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed3,30000,1200,56.01354166666667
gat_true,gat_qmix,ring,nbr,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed4,30000,1200,51.515625
gat_true,gat_qmix,ring,nbr,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed5,30000,1200,49.625
gat_true,gat_qmix,ring,nbr,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed6,30000,1200,52.35625
gat_true,gat_qmix,ring,nbr,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed7,30000,1200,52.78541666666667
gat_true,gat_qmix,ring,nbr,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed8,30000,1200,51.95104166666667
gat_true,gat_qmix,ring,nbr,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed9,30000,1200,50.5125
gat_true,gat_qmix,ring,nbr,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed10,30000,1200,49.932291666666664
gat_true,gat_qmix,ring,nbr,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gat_true__nbr_N6_ego_attention__seed11,30000,1200,51.110416666666666
gcn_complete,gnn_qmix,complete,nbr,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gcn_complete__nbr_N6_ego_attention__seed0,30000,1200,50.5
gcn_complete,gnn_qmix,complete,nbr,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gcn_complete__nbr_N6_ego_attention__seed1,30000,1200,50.6625
gcn_complete,gnn_qmix,complete,nbr,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gcn_complete__nbr_N6_ego_attention__seed2,30000,1200,51.79895833333333
gcn_complete,gnn_qmix,complete,nbr,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gcn_complete__nbr_N6_ego_attention__seed3,30000,1200,50.119791666666664
gcn_complete,gnn_qmix,complete,nbr,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego_attention\gcn_complete__nbr_N6_ego_attention__seed4,30000,1200,52.115625
