arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed0,50.10208333333333
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed1,49.552083333333336
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed2,52.58125
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed3,51.020833333333336
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed4,49.88333333333333
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed5,50.1125
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed6,49.71875
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed7,49.302083333333336
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed8,49.81875
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed9,49.0375
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed10,49.21875
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed11,50.78333333333333
