arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gnn_complete,gnn_qmix,complete,pair,core,full,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed0,50.43541666666667
gnn_complete,gnn_qmix,complete,pair,core,full,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed1,50.860416666666666
gnn_complete,gnn_qmix,complete,pair,core,full,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed2,49.79375
gnn_complete,gnn_qmix,complete,pair,core,full,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed3,51.052083333333336
gnn_complete,gnn_qmix,complete,pair,core,full,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed4,50.360416666666666
gnn_complete,gnn_qmix,complete,pair,core,full,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed5,50.78125
gnn_complete,gnn_qmix,complete,pair,core,full,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed6,49.20625
gnn_complete,gnn_qmix,complete,pair,core,full,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed7,49.96666666666667
gnn_complete,gnn_qmix,complete,pair,core,full,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed8,49.08125
gnn_complete,gnn_qmix,complete,pair,core,full,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed9,49.58541666666667
gnn_complete,gnn_qmix,complete,pair,core,full,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed10,50.09583333333333
gnn_complete,gnn_qmix,complete,pair,core,full,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_complete__pair_N6_full__seed11,51.12291666666667
