policy,seed,episodes,mean_return,sd
random,0,300,50.07,5.778819011171712
random,1,300,49.81,6.165816326318816
random,2,300,49.468333333333334,5.701595495373651
random,3,300,49.803333333333335,6.226332221460363
random,4,300,50.155,5.919058979037497
random,5,300,49.885,6.196552742153303
random,6,300,49.835,5.899686092210507
random,7,300,50.15,6.580921548544219
random,8,300,50.02,5.894949938939999
random,9,300,50.53333333333333,6.208653650838949
random,10,300,49.791666666666664,5.82599674009586
random,11,300,49.74666666666667,6.094640078065268
oracle,0,300,148.70333333333335,0.6040461860419242
oracle,1,300,148.69333333333333,0.5905800863134955
oracle,2,300,148.61666666666667,0.6076894853384073
oracle,3,300,148.63166666666666,0.6216526863372532
oracle,4,300,148.65166666666667,0.6211144549189409
oracle,5,300,148.68833333333333,0.6123291971708643
oracle,6,300,148.72166666666666,0.584095695493357
oracle,7,300,148.675,0.6270451488761372
oracle,8,300,148.68,0.6355678471212294
oracle,9,300,148.63666666666666,0.6225867568364933
oracle,10,300,148.645,0.611873869442897
oracle,11,300,148.62166666666667,0.6196588949110338
