arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed0,150000,6000,50.62833333333333
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed1,150000,6000,54.0125
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed2,150000,6000,52.25541666666667
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed3,150000,6000,54.47125
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed4,150000,6000,53.73125
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed5,150000,6000,56.07416666666666
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed6,150000,6000,53.263333333333335
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed7,150000,6000,52.27291666666667
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed8,150000,6000,53.062916666666666
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,9,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed9,150000,6000,53.15958333333333
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,10,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed10,150000,6000,55.827083333333334
dgn_complete,dgn_qmix,complete,pair,attention,ego,6,11,results\phaseC_150k\pair_N6_ego_attention\dgn_complete__pair_N6_ego_attention__seed11,150000,6000,50.39541666666667
dgn_true,dgn_qmix,matching,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed0,150000,6000,93.41833333333334
dgn_true,dgn_qmix,matching,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed1,150000,6000,98.81791666666666
dgn_true,dgn_qmix,matching,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed2,150000,6000,117.355
dgn_true,dgn_qmix,matching,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed3,150000,6000,131.09
dgn_true,dgn_qmix,matching,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed4,150000,6000,101.54416666666667
dgn_true,dgn_qmix,matching,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed5,150000,6000,104.035
dgn_true,dgn_qmix,matching,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed6,150000,6000,133.82916666666668
dgn_true,dgn_qmix,matching,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed7,150000,6000,126.36708333333333
dgn_true,dgn_qmix,matching,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\dgn_true__pair_N6_ego_attention__seed8,150000,6000,94.93625
