run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,0,25,53.5,25,0.99981,,,0.0015510999946855009
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,1,50,44.0,25,0.9996120833333333,,,0.1612681999686174
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,2,75,36.5,25,0.9994141666666667,,,0.31851349998032674
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,3,100,55.0,25,0.99921625,,,0.4699055999517441
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,4,125,56.0,25,0.9990183333333333,,,0.629075999953784
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,5,150,41.5,25,0.9988204166666667,,,0.8118816000060178
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,6,175,49.0,25,0.9986225,,,0.853304099990055
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,7,200,58.0,25,0.9984245833333333,,,0.9608635999611579
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,8,225,41.5,25,0.9982266666666667,1.569633160318647,16.425923892429896,1.0510651999502443
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,9,250,62.0,25,0.99802875,0.7024888694286346,12.665570894877115,1.1850358999799937
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,10,275,52.0,25,0.9978308333333333,0.4687366982301076,6.762808322906494,1.2785380999557674
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,11,300,64.5,25,0.9976329166666666,0.4322006901105245,4.92020058631897,1.4030030999565497
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,12,325,45.0,25,0.997435,0.45131401079041616,2.94528021131243,1.571582899952773
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,13,350,56.5,25,0.9972370833333334,0.42017507056395215,3.537843942642212,1.7759432999882847
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,14,375,49.5,25,0.9970391666666667,0.5252362291018168,6.588801542917888,1.8930642000050284
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,15,400,45.5,25,0.99684125,0.4507521192232768,5.779292782147725,1.9994126999517903
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,16,425,47.5,25,0.9966433333333333,1.6394750050136022,17.157814298357284,2.112523299991153
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,17,450,50.0,25,0.9964454166666666,0.7535026371479034,10.534057458241781,2.2580787999904715
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,18,475,46.0,25,0.9962475,0.3965245336294174,4.093563874562581,2.4173440999584273
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,19,500,46.5,25,0.9960495833333334,0.44637900094191235,4.402703166007996,2.5860554999671876
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,20,525,51.5,25,0.9958516666666667,0.3667113355227879,2.4762023176465715,2.752409499953501
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,21,550,50.0,25,0.99565375,0.8316514194011688,6.6050581733385725,2.89326159999473
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,22,575,46.5,25,0.9954558333333333,0.8403886159261068,7.8346158266067505,3.072237499989569
gat_complete__pair_N6_ego_attention__seed1,gat_qmix,coord_grid,1,23,600,46.5,25,0.9952579166666666,0.4601418673992157,4.152201851209004,3.2306588999927044
