run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,0,25,46.5,25,0.99981,,,0.0029315000283531845
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,1,50,48.5,25,0.9996120833333333,,,0.15990720002446324
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,2,75,57.0,25,0.9994141666666667,,,0.2685042999801226
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,3,100,53.5,25,0.99921625,,,0.4762207000167109
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,4,125,39.0,25,0.9990183333333333,,,0.5086587999830954
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,5,150,44.0,25,0.9988204166666667,,,0.6823619999922812
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,6,175,45.5,25,0.9986225,,,0.8008846999728121
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,7,200,62.5,25,0.9984245833333333,,,0.8492664999794215
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,8,225,54.0,25,0.9982266666666667,2.4633923768997192,19.105485371180944,1.016692899982445
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,9,250,47.0,25,0.99802875,0.9049471517403921,11.23619286219279,1.0931964999763295
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,10,275,42.5,25,0.9978308333333333,0.6590608904759089,7.309733112653096,1.2052790999878198
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,11,300,52.5,25,0.9976329166666666,0.534991388519605,5.049712936083476,1.3340885000070557
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,12,325,53.5,25,0.997435,1.6166726350784302,13.738598244530815,1.4915954999742098
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,13,350,50.5,25,0.9972370833333334,0.9944866895675659,12.489113569259644,1.6668579999823123
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,14,375,42.0,25,0.9970391666666667,0.4307965139547984,3.806980232397715,1.8157311999821104
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,15,400,49.5,25,0.99684125,0.545985589424769,5.407452583312988,1.9431784999906085
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,16,425,65.5,25,0.9966433333333333,0.3677367610590799,2.3846811652183533,2.043747899995651
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,17,450,51.5,25,0.9964454166666666,0.389779860774676,2.366757849852244,2.1548413999844342
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,18,475,53.0,25,0.9962475,0.4144159158070882,3.040531496206919,2.2894499999820255
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,19,500,46.0,25,0.9960495833333334,0.39505940675735474,1.5324103633562725,2.4100881000049412
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,20,525,50.5,25,0.9958516666666667,0.33140493077891214,2.046227421079363,2.5345154000096954
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,21,550,52.5,25,0.99565375,0.7444608410199484,3.6516884167989097,2.662662199989427
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,22,575,58.5,25,0.9954558333333333,0.3789951453606288,1.9624443252881367,2.8095562999951653
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,23,600,41.5,25,0.9952579166666666,0.6512692819039027,2.349590520064036,2.916553399991244
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,24,625,44.5,25,0.9950600000000001,2.1431896345955983,6.964860098702567,3.0040301000117324
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,25,650,56.0,25,0.9948620833333334,1.5316867629686992,7.334095259507497,3.1147439000196755
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,26,675,50.5,25,0.9946641666666667,0.6662332614262899,2.385835071404775,3.252832699974533
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,27,700,52.0,25,0.99446625,0.6743398606777191,3.1546531518300376,3.448660900001414
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,28,725,47.5,25,0.9942683333333333,1.3679745623043604,7.591534818921771,3.5808646000223234
gcn_complete__pair_N6_ego_attention__seed11,gnn_qmix,coord_grid,11,29,750,48.5,25,0.9940704166666666,2.0389396945635476,13.793036142985025,3.685290499997791
