run_id,algo,env,seed,episode,env_step,return,episode_len,epsilon,loss,grad_norm,wallclock_s
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,0,25,39.5,25,0.99981,,,0.006843899958766997
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,1,50,57.5,25,0.9996120833333333,,,0.02755489997798577
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,2,75,48.0,25,0.9994141666666667,,,0.15713769994908944
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,3,100,63.0,25,0.99921625,,,0.2963976999744773
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,4,125,38.5,25,0.9990183333333333,,,0.42023549997247756
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,5,150,53.5,25,0.9988204166666667,,,0.5991808999679051
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,6,175,54.5,25,0.9986225,,,0.7067109999479726
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,7,200,59.0,25,0.9984245833333333,,,0.8480215999879874
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,8,225,58.5,25,0.9982266666666667,2.019285934312003,19.61794526236398,0.9882181999855675
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,9,250,49.5,25,0.99802875,0.7223135928312937,9.642659902572632,1.1173799999523908
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,10,275,54.0,25,0.9978308333333333,0.6437082688013712,10.33883555730184,1.2079502999549732
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,11,300,49.5,25,0.9976329166666666,0.4114964157342911,4.608632167180379,1.341143199999351
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,12,325,50.5,25,0.997435,0.4678060156958444,4.665341785975865,1.4309000999783166
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,13,350,43.0,25,0.9972370833333334,0.3647352159023285,4.327332854270935,1.5687123999814503
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,14,375,47.5,25,0.9970391666666667,0.3931823472181956,3.0356390674908957,1.6737856999970973
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,15,400,49.0,25,0.99684125,0.3503285348415375,3.788883407910665,1.8090425999835134
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,16,425,44.0,25,0.9966433333333333,0.3920328233923231,3.193118725504194,1.8855182999977842
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,17,450,55.5,25,0.9964454166666666,0.47660541037718457,1.7817565600077312,2.0245232999441214
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,18,475,44.0,25,0.9962475,0.3401573871572812,2.642030974229177,2.1257816999568604
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,19,500,54.0,25,0.9960495833333334,0.33858422686656314,2.0572001139322915,2.2547755999839865
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,20,525,55.0,25,0.9958516666666667,0.3178049070494516,1.6445080297333854,2.366951899952255
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,21,550,63.5,25,0.99565375,0.3616735339164734,2.4378737608591714,2.482563899946399
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,22,575,48.0,25,0.9954558333333333,0.2983248655994733,2.0475632349650064,2.6396861999528483
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,23,600,50.0,25,0.9952579166666666,0.36856268843015033,3.179678757985433,2.786962699959986
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,24,625,29.5,25,0.9950600000000001,0.3099276678902762,2.35992499760219,2.952891599969007
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,25,650,38.5,25,0.9948620833333334,0.34895822405815125,2.357753793398539,3.037753499986138
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,26,675,48.0,25,0.9946641666666667,0.38029977679252625,2.2468308806419373,3.167543699964881
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,27,700,48.0,25,0.99446625,0.4311806559562683,2.7550867994626365,3.3020374999614432
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,28,725,51.0,25,0.9942683333333333,0.3804070268358503,4.0499982833862305,3.434801899944432
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,29,750,44.5,25,0.9940704166666666,0.28857577840487164,2.8038339614868164,3.5220854999497533
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,30,775,40.0,25,0.9938725,0.34138981501261395,2.5818970799446106,3.6320011999923736
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,31,800,42.5,25,0.9936745833333334,0.31486600637435913,2.2251434524854026,3.735364199965261
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,32,825,51.5,25,0.9934766666666667,0.441511332988739,3.3211842945643832,3.7995992999640293
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,33,850,46.5,25,0.99327875,0.446354274948438,3.209289809068044,3.9160185999935493
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,34,875,56.0,25,0.9930808333333333,0.3247001642982165,1.7385724981625874,4.023529799946118
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,35,900,49.5,25,0.9928829166666666,0.351849486430486,1.924746076265971,4.110953799972776
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,36,925,53.5,25,0.992685,0.8923715438161578,6.391352312905448,4.282017699966673
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,37,950,64.5,25,0.9924870833333334,0.7508317430814108,5.982158184051514,4.442750999995042
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,38,975,48.5,25,0.9922891666666667,0.4963585486014684,2.6489667495091758,4.559650199953467
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,39,1000,51.5,25,0.99209125,0.462597981095314,3.99678365389506,4.661781999981031
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,40,1025,44.5,25,0.9918933333333333,1.5279722128595625,10.230686460222516,4.758774899994023
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,41,1050,44.5,25,0.9916954166666667,0.635727788011233,9.664219776789347,4.955386599991471
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,42,1075,46.0,25,0.9914975,0.693608969449997,12.408456325531006,5.139863199961837
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,43,1100,42.5,25,0.9912995833333333,0.47777757545312244,4.369889219601949,5.28404669999145
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,44,1125,44.0,25,0.9911016666666667,0.46559769766671316,4.430485214505877,5.440321699948981
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,45,1150,47.0,25,0.99090375,0.486635888616244,4.047559142112732,5.536065099993721
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,46,1175,57.5,25,0.9907058333333333,0.550398255387942,5.251631458600362,5.695481199945789
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,47,1200,51.0,25,0.9905079166666667,0.4252090056737264,2.5595591266949973,5.87678239995148
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,48,1225,45.0,25,0.99031,0.3685630517346518,3.4490228721073697,6.020230999973137
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,49,1250,45.0,25,0.9901120833333333,0.36573899288972217,2.9271851976712546,6.106369599991012
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,50,1275,57.0,25,0.9899141666666667,0.4297565817832947,2.534764031569163,6.1814668999868445
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,51,1300,49.5,25,0.98971625,0.3541577806075414,2.781700054804484,6.280346099985763
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,52,1325,43.0,25,0.9895183333333334,0.40065172740391325,2.5564023767198836,6.353743899962865
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,53,1350,51.0,25,0.9893204166666667,0.37128084897994995,2.6498844424883523,6.496366799983662
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,54,1375,53.0,25,0.9891225,0.43424416581789654,2.9247700572013855,6.631685099971946
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,55,1400,53.5,25,0.9889245833333333,0.4104018956422806,3.9383308490117392,6.717053999949712
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,56,1425,51.0,25,0.9887266666666666,0.3298918093953814,2.2501042570386613,6.821197699988261
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,57,1450,47.5,25,0.98852875,0.42328233520189923,2.7985432545344033,6.933778599952348
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,58,1475,51.0,25,0.9883308333333334,0.39675000309944153,3.5483157634735107,7.015204699942842
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,59,1500,52.0,25,0.9881329166666667,0.41812429825464886,2.3237580060958862,7.1451702999765985
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,60,1525,44.5,25,0.987935,0.41103228500911165,3.2983191353934154,7.2831798999686725
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,61,1550,48.0,25,0.9877370833333333,0.3797415842612584,3.09864749511083,7.402746699983254
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,62,1575,47.5,25,0.9875391666666666,0.3273179903626442,2.9674771626790366,7.473913799971342
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,63,1600,55.0,25,0.98734125,0.3888308455546697,3.0106588006019592,7.588685599970631
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,64,1625,41.5,25,0.9871433333333334,0.39165766750063213,3.5568840163094655,7.708495099970605
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,65,1650,53.0,25,0.9869454166666667,0.412071372071902,3.5877747337023416,7.846062099968549
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,66,1675,60.0,25,0.9867475,0.3941008299589157,3.5334256688753762,8.039113599981647
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,67,1700,47.5,25,0.9865495833333333,0.41983753939469654,3.2714608311653137,8.127477099944372
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,68,1725,46.0,25,0.9863516666666666,0.5156642155987876,3.445793628692627,8.242778099956922
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,69,1750,56.5,25,0.98615375,0.40396471073230106,3.121886889139811,8.356477399996947
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,70,1775,50.5,25,0.9859558333333334,0.4189034675558408,3.6110562086105347,8.462653999973554
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,71,1800,56.0,25,0.9857579166666667,0.35185956458250683,2.362748682498932,8.534729299950413
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,72,1825,56.0,25,0.98556,1.2103015525000436,13.434986250741142,8.690230899956077
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,73,1850,57.0,25,0.9853620833333333,0.7862168351809183,13.93248709042867,8.857592699991073
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,74,1875,57.5,25,0.9851641666666666,0.8568290770053864,14.308866262435913,9.026192799967248
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,75,1900,54.5,25,0.98496625,0.4939653625090917,6.2659735679626465,9.183869499946013
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,76,1925,52.5,25,0.9847683333333334,0.5485301656382424,6.197593586785453,9.369551599957049
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,77,1950,49.0,25,0.9845704166666667,0.5380305697520574,5.916695912679036,9.54876689997036
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,78,1975,37.0,25,0.9843725,0.5255556553602219,4.207247058550517,9.713520499994047
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,79,2000,41.5,25,0.9841745833333333,0.47496476769447327,3.9682809909184775,9.918560199963395
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,80,2025,55.5,25,0.9839766666666667,0.5544144468648093,4.046330962862287,10.079212599957827
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,81,2050,43.0,25,0.98377875,0.4483268161614736,4.037331600983937,10.209436199977063
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,82,2075,58.0,25,0.9835808333333333,0.5690510670344034,5.244608759880066,10.331123799958732
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,83,2100,50.0,25,0.9833829166666667,0.4684971769650777,3.6942532857259116,10.403070299944375
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,84,2125,48.5,25,0.983185,0.5329628118446895,3.209934949874878,10.547077299968805
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,85,2150,51.5,25,0.9829870833333333,0.5810986558596293,3.4861644506454468,10.702396299981046
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,86,2175,51.0,25,0.9827891666666667,0.5365818589925766,4.511110544204712,10.756833299994469
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,87,2200,54.0,25,0.98259125,0.5188880115747452,3.910383462905884,10.861469199997373
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,88,2225,58.5,25,0.9823933333333333,0.5992835462093353,3.3565361499786377,11.009057499992196
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,89,2250,56.5,25,0.9821954166666667,0.46747513115406036,2.873159090677897,11.128755899961106
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,90,2275,47.5,25,0.9819975,0.5022468691070875,4.678628285725911,11.205410599999595
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,91,2300,36.5,25,0.9817995833333333,0.4920224944750468,4.153161803881328,11.363378599984571
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,92,2325,58.5,25,0.9816016666666667,0.5192869475909642,4.4932738201958795,11.53359529998852
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,93,2350,41.5,25,0.98140375,0.4742463578780492,3.5531163613001504,11.705079299979843
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,94,2375,50.5,25,0.9812058333333333,0.4340410182873408,2.4925432999928794,11.826443399942946
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,95,2400,52.0,25,0.9810079166666666,0.47428326308727264,3.2418186267217,11.924701899988577
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,96,2425,42.5,25,0.98081,0.4590224197932652,3.1637281349727084,12.049108899955172
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,97,2450,37.5,25,0.9806120833333334,0.5814832746982574,2.2873314023017883,12.205939999956172
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,98,2475,58.5,25,0.9804141666666667,0.5376246670881907,3.7173351446787515,12.330941799969878
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,99,2500,50.0,25,0.98021625,0.5320951491594315,2.2856422066688538,12.411836999992374
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,100,2525,56.0,25,0.9800183333333333,0.4285828982080732,3.254889045442854,12.520980499975849
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,101,2550,46.0,25,0.9798204166666666,0.449999342362086,3.2838844656944275,12.694935699983034
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,102,2575,59.5,25,0.9796225,0.41373756527900696,4.18881897131602,12.83710969996173
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,103,2600,61.5,25,0.9794245833333334,0.4683002382516861,3.7546032667160034,12.985699499957263
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,104,2625,46.0,25,0.9792266666666667,1.4831727402550834,15.6271607535226,13.172874199983198
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,105,2650,54.0,25,0.97902875,0.9006651341915131,15.06796133518219,13.335561699990649
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,106,2675,46.5,25,0.9788308333333333,0.8669309417406718,13.546778559684753,13.39958279998973
gnn_true__pair_N6_ego_attention__seed4,gnn_qmix,coord_grid,4,107,2700,59.5,25,0.9786329166666666,0.8091703454653422,11.410768588383993,13.531972799974028
