arm,algo,env_graph,cell,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
dcg_canonical,dcg,ring,A,A,classical,full,4,0,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed0,150000,6000,80.61
dcg_canonical,dcg,ring,A,A,classical,full,4,1,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed1,150000,6000,81.63166666666666
dcg_canonical,dcg,ring,A,A,classical,full,4,2,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed2,150000,6000,81.98916666666666
dcg_canonical,dcg,ring,A,A,classical,full,4,3,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed3,150000,6000,75.42916666666666
dcg_canonical,dcg,ring,A,A,classical,full,4,4,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed4,150000,6000,66.06083333333333
dcg_canonical,dcg,ring,A,A,classical,full,4,5,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed5,150000,6000,63.49916666666667
dcg_canonical,dcg,ring,A,A,classical,full,4,6,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed6,150000,6000,71.455
dcg_canonical,dcg,ring,A,A,classical,full,4,7,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed7,150000,6000,81.99083333333333
dcg_canonical,dcg,ring,A,A,classical,full,4,8,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed8,150000,6000,70.15666666666667
dcg_canonical,dcg,ring,A,A,classical,full,4,9,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed9,150000,6000,78.90166666666667
dcg_canonical,dcg,ring,A,A,classical,full,4,10,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed10,150000,6000,70.25
dcg_canonical,dcg,ring,A,A,classical,full,4,11,results\phaseC_classical\cellA_N4_full_150000steps\dcg_canonical__cellA_N4_full_150000steps__seed11,150000,6000,76.50083333333333
