arm,algo,env_graph,cell,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,0,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed0,150000,6000,49.83583333333333
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,1,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed1,150000,6000,50.62791666666666
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,2,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed2,150000,6000,50.145
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,3,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed3,150000,6000,49.40958333333333
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,4,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed4,150000,6000,50.76583333333333
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,5,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed5,150000,6000,50.19875
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,6,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed6,150000,6000,50.09916666666667
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,7,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed7,150000,6000,49.72166666666666
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,8,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed8,150000,6000,49.46833333333333
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,9,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed9,150000,6000,50.61958333333333
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,10,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed10,150000,6000,49.931666666666665
dcg_canonical_true,dcg,matching,B,B,classical,ego,6,11,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_canonical_true__cellB_N6_ego_150000steps__seed11,150000,6000,50.29333333333334
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,0,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed0,150000,6000,50.235416666666666
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,1,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed1,150000,6000,50.73458333333333
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,2,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed2,150000,6000,50.25083333333333
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,3,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed3,150000,6000,49.92375
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,4,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed4,150000,6000,50.73291666666667
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,5,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed5,150000,6000,50.63666666666666
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,6,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed6,150000,6000,50.14208333333333
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,7,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed7,150000,6000,50.1125
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,8,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed8,150000,6000,50.10041666666667
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,9,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed9,150000,6000,50.53791666666667
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,10,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed10,150000,6000,50.35666666666667
dcg_jointobs_complete,dcg,complete,B,B,classical,ego,6,11,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_complete__cellB_N6_ego_150000steps__seed11,150000,6000,49.87041666666666
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,0,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed0,150000,6000,79.51375
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,1,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed1,150000,6000,117.42083333333332
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,2,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed2,150000,6000,72.23208333333334
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,3,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed3,150000,6000,103.47916666666669
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,4,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed4,150000,6000,96.44833333333334
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,5,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed5,150000,6000,95.84916666666666
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,6,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed6,150000,6000,86.7425
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,7,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed7,150000,6000,67.01541666666667
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,8,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed8,150000,6000,94.99541666666669
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,9,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed9,150000,6000,65.28083333333333
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,10,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed10,150000,6000,100.39875
dcg_jointobs_true,dcg,matching,B,B,classical,ego,6,11,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_true__cellB_N6_ego_150000steps__seed11,150000,6000,106.59
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,0,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed0,150000,6000,49.55791666666666
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,1,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed1,150000,6000,50.43541666666667
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,2,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed2,150000,6000,50.30125
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,3,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed3,150000,6000,49.8925
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,4,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed4,150000,6000,50.1875
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,5,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed5,150000,6000,50.125416666666666
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,6,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed6,150000,6000,50.57
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,7,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed7,150000,6000,49.73916666666667
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,8,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed8,150000,6000,49.29333333333334
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,9,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed9,150000,6000,49.766666666666666
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,10,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed10,150000,6000,49.17375
dcg_jointobs_wrong,dcg,matching_wrong,B,B,classical,ego,6,11,results\phaseC_classical\cellB_N6_ego_150000steps\dcg_jointobs_wrong__cellB_N6_ego_150000steps__seed11,150000,6000,49.65375
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed0,150000,6000,92.7675
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed1,150000,6000,95.70125
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed2,150000,6000,87.03208333333333
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed3,150000,6000,90.90208333333334
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed4,150000,6000,97.5975
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed5,150000,6000,86.7125
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed6,150000,6000,96.91833333333334
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed7,150000,6000,102.69708333333334
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed8,150000,6000,92.61708333333333
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,9,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed9,150000,6000,96.855
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,10,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed10,150000,6000,100.14666666666666
gnn_true,gnn_qmix,matching,,pair,attention,ego,6,11,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed11,150000,6000,99.61916666666669
