arm,algo,env_graph,cell,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
dcg_canonical_true,dcg,relay,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_canonical_true__cellC_N6_ego_30000steps__seed0,30000,1200,35.59166666666667
dcg_canonical_true,dcg,relay,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_canonical_true__cellC_N6_ego_30000steps__seed1,30000,1200,38.489583333333336
dcg_canonical_true,dcg,relay,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_canonical_true__cellC_N6_ego_30000steps__seed2,30000,1200,39.26875
dcg_jointobs_complete,dcg,complete,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_complete__cellC_N6_ego_30000steps__seed0,30000,1200,36.06666666666667
dcg_jointobs_complete,dcg,complete,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_complete__cellC_N6_ego_30000steps__seed1,30000,1200,37.45
dcg_jointobs_complete,dcg,complete,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_complete__cellC_N6_ego_30000steps__seed2,30000,1200,36.12916666666667
dcg_jointobs_true,dcg,relay,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_true__cellC_N6_ego_30000steps__seed0,30000,1200,36.67916666666667
dcg_jointobs_true,dcg,relay,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_true__cellC_N6_ego_30000steps__seed1,30000,1200,42.35
dcg_jointobs_true,dcg,relay,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_true__cellC_N6_ego_30000steps__seed2,30000,1200,37.010416666666664
dcg_jointobs_wrong,dcg,relay_wrong,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_wrong__cellC_N6_ego_30000steps__seed0,30000,1200,35.6125
dcg_jointobs_wrong,dcg,relay_wrong,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_wrong__cellC_N6_ego_30000steps__seed1,30000,1200,46.24166666666667
dcg_jointobs_wrong,dcg,relay_wrong,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\dcg_jointobs_wrong__cellC_N6_ego_30000steps__seed2,30000,1200,37.90208333333333
gat_true,gat_qmix,relay,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\gat_true__cellC_N6_ego_30000steps__seed0,30000,1200,62.375
gat_true,gat_qmix,relay,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\gat_true__cellC_N6_ego_30000steps__seed1,30000,1200,58.10208333333333
gat_true,gat_qmix,relay,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\gat_true__cellC_N6_ego_30000steps__seed2,30000,1200,58.358333333333334
gnn_true,gnn_qmix,relay,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\gnn_true__cellC_N6_ego_30000steps__seed0,30000,1200,58.9
gnn_true,gnn_qmix,relay,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\gnn_true__cellC_N6_ego_30000steps__seed1,30000,1200,61.422916666666666
gnn_true,gnn_qmix,relay,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\gnn_true__cellC_N6_ego_30000steps__seed2,30000,1200,58.83125
mlp,mlp_qmix,relay,C,C,classical,ego,6,0,results\phaseC_classical\cellC_N6_ego_30000steps\mlp__cellC_N6_ego_30000steps__seed0,30000,1200,45.53958333333333
mlp,mlp_qmix,relay,C,C,classical,ego,6,1,results\phaseC_classical\cellC_N6_ego_30000steps\mlp__cellC_N6_ego_30000steps__seed1,30000,1200,56.3
mlp,mlp_qmix,relay,C,C,classical,ego,6,2,results\phaseC_classical\cellC_N6_ego_30000steps\mlp__cellC_N6_ego_30000steps__seed2,30000,1200,32.05416666666667
