arm,algo,env_graph,cell,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed0,150000,6000,63.375
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed1,150000,6000,64.18625
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed2,150000,6000,63.95708333333334
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed3,150000,6000,63.92958333333333
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed4,150000,6000,63.89416666666666
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed5,150000,6000,63.27125
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed6,150000,6000,63.620416666666664
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed7,150000,6000,64.97416666666666
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed8,150000,6000,64.25333333333333
gnn_complete,gnn_qmix,complete,C,C,classical,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC_classical\cellR_N6_ego_150000steps\gnn_complete__cellR_N6_ego_150000steps__seed9,150000,6000,63.89625
