cell,task,policy,seed,episodes,mean_return,sd
C,relay_routing,random,0,500,33.537,5.172295068201842
C,relay_routing,random,1,500,33.351,4.803065466527757
C,relay_routing,random,2,500,33.736,4.990903950637498
C,relay_routing,random,3,500,33.197,5.227843886671332
C,relay_routing,random,4,500,33.56,4.848754566038929
C,relay_routing,random,5,500,33.371,4.803749683533072
C,relay_routing,random,6,500,32.803,5.178641487428013
C,relay_routing,random,7,500,33.241,5.1223917063796645
C,relay_routing,random,8,500,33.082,4.969070267025541
C,relay_routing,random,9,500,33.927,5.058393588026021
C,relay_routing,random,10,500,33.0,4.863981561772879
C,relay_routing,random,11,500,33.667,4.867648199900645
C,relay_routing,oracle,0,500,99.121,0.4912653899540792
C,relay_routing,oracle,1,500,99.111,0.4771103316184571
C,relay_routing,oracle,2,500,99.08,0.48068921794491815
C,relay_routing,oracle,3,500,99.088,0.49572925573338916
C,relay_routing,oracle,4,500,99.081,0.49943755941208806
C,relay_routing,oracle,5,500,99.132,0.4909766962213838
C,relay_routing,oracle,6,500,99.121,0.52574882182207
C,relay_routing,oracle,7,500,99.128,0.5031125564811297
C,relay_routing,oracle,8,500,99.095,0.5029721283767598
C,relay_routing,oracle,9,500,99.121,0.4953278706057207
C,relay_routing,oracle,10,500,99.144,0.478248306725462
C,relay_routing,oracle,11,500,99.119,0.4937880651723097
A,colocation_ring,random,0,500,3.984,2.3990111523329847
A,colocation_ring,random,1,500,3.924,2.3852889146627136
A,colocation_ring,random,2,500,4.014,2.4888134491700136
A,colocation_ring,random,3,500,4.074,2.44714139395418
A,colocation_ring,random,4,500,4.138,2.408018502049439
A,colocation_ring,random,5,500,4.094,2.4554475039979535
A,colocation_ring,random,6,500,3.96,2.51376969433405
A,colocation_ring,random,7,500,4.082,2.440325054730515
A,colocation_ring,random,8,500,4.154,2.4475016913289593
A,colocation_ring,random,9,500,3.944,2.3150773564467917
A,colocation_ring,random,10,500,3.988,2.3209112991489
A,colocation_ring,random,11,500,3.928,2.277980331077851
