cell,task,k,policy,seed,episodes,mean_return,sd
E1,mpe_reference_pairs,3,greedy_target,0,200,-31.089608407513467,5.4406753812855895
E1,mpe_reference_pairs,3,greedy_target,1,200,-31.82879422372045,5.986982287612473
E1,mpe_reference_pairs,3,greedy_target,2,200,-32.590730867453786,6.041397464963406
E1,mpe_reference_pairs,3,greedy_target,3,200,-31.96699333855411,6.381516946219165
E1,mpe_reference_pairs,3,greedy_target,4,200,-31.74158543183091,6.258056279947887
E1,mpe_reference_pairs,3,greedy_target,5,200,-31.447854079984854,5.1982036817241
E1,mpe_reference_pairs,3,greedy_target,6,200,-31.605214912777363,6.5213380911639005
E1,mpe_reference_pairs,3,greedy_target,7,200,-31.556062699369676,5.766199878626393
E1,mpe_reference_pairs,3,greedy_target,8,200,-31.026779830934714,5.763330032630324
E1,mpe_reference_pairs,3,greedy_target,9,200,-31.60082490833616,5.935462606106614
E1,mpe_reference_pairs,3,greedy_target,10,200,-31.962818544759944,5.932545059768452
E1,mpe_reference_pairs,3,greedy_target,11,200,-31.30522639453471,5.264501660198073
E1,mpe_reference_pairs,3,greedy_centroid,0,200,-53.30739662454382,8.961652549886434
E1,mpe_reference_pairs,3,greedy_centroid,1,200,-53.2548142194584,8.738563418088136
E1,mpe_reference_pairs,3,greedy_centroid,2,200,-54.80132550077812,9.226681095310946
E1,mpe_reference_pairs,3,greedy_centroid,3,200,-54.41249960867945,9.002022760640283
E1,mpe_reference_pairs,3,greedy_centroid,4,200,-54.05606080866616,9.239010946207745
E1,mpe_reference_pairs,3,greedy_centroid,5,200,-53.55430551887411,8.864656951181585
E1,mpe_reference_pairs,3,greedy_centroid,6,200,-54.16675712084518,9.082161417838908
E1,mpe_reference_pairs,3,greedy_centroid,7,200,-53.06720482416748,8.744844111723696
E1,mpe_reference_pairs,3,greedy_centroid,8,200,-53.62274102931818,9.397173824337063
E1,mpe_reference_pairs,3,greedy_centroid,9,200,-53.480997647897766,8.96162622530684
E1,mpe_reference_pairs,3,greedy_centroid,10,200,-54.14251611492946,9.206352285337479
E1,mpe_reference_pairs,3,greedy_centroid,11,200,-53.06812916512584,8.505989826660267
