cell,task,k,policy,seed,episodes,mean_return,sd
E1,mpe_reference_pairs,3,random,0,500,-84.854881822973,16.05667603732229
E1,mpe_reference_pairs,3,random,1,500,-84.30466449215047,16.93951916380942
E1,mpe_reference_pairs,3,random,2,500,-84.83818261516939,15.91116947557613
E1,mpe_reference_pairs,3,random,3,500,-84.97318086381017,15.927391204259584
E1,mpe_reference_pairs,3,random,4,500,-85.48440917146323,16.82538369080963
E1,mpe_reference_pairs,3,random,5,500,-85.01666864334852,16.026028682967347
E1,mpe_reference_pairs,3,random,6,500,-84.15568303591688,16.416081439191096
E1,mpe_reference_pairs,3,random,7,500,-85.0845398857989,16.13643589416249
E1,mpe_reference_pairs,3,random,8,500,-84.18673763723442,15.423981004536289
E1,mpe_reference_pairs,3,random,9,500,-85.90224508210201,16.84720497994956
E1,mpe_reference_pairs,3,random,10,500,-85.40077443910145,16.630907132274345
E1,mpe_reference_pairs,3,random,11,500,-83.4825426995692,15.59047365736753
E1,mpe_reference_pairs,3,do_nothing,0,500,-78.35386979947953,15.447216909505835
E1,mpe_reference_pairs,3,do_nothing,1,500,-78.20019752936803,15.778640415644716
E1,mpe_reference_pairs,3,do_nothing,2,500,-78.40145558625098,15.464568259038852
E1,mpe_reference_pairs,3,do_nothing,3,500,-77.89816566310043,15.525508900319124
E1,mpe_reference_pairs,3,do_nothing,4,500,-78.93421039920291,15.912962690739079
E1,mpe_reference_pairs,3,do_nothing,5,500,-78.2344167549047,15.504647722318218
E1,mpe_reference_pairs,3,do_nothing,6,500,-77.46025735765708,16.19064736238868
E1,mpe_reference_pairs,3,do_nothing,7,500,-78.13810419282704,15.613722508601962
E1,mpe_reference_pairs,3,do_nothing,8,500,-77.50517564398783,14.965734182309227
E1,mpe_reference_pairs,3,do_nothing,9,500,-79.058111402385,15.170184457923396
E1,mpe_reference_pairs,3,do_nothing,10,500,-78.51846055890046,15.681564750488162
E1,mpe_reference_pairs,3,do_nothing,11,500,-77.03075429301765,14.435785273239631
E0,mpe_reference_pairs,1,random,0,500,-27.719124035907384,9.155794887434455
E0,mpe_reference_pairs,1,random,1,500,-28.256944109241108,9.331251723288911
E0,mpe_reference_pairs,1,random,2,500,-29.223939229424083,9.352998054184418
E0,mpe_reference_pairs,1,random,3,500,-28.21738296857592,10.090757539826464
E0,mpe_reference_pairs,1,random,4,500,-28.08745465998236,9.799746164250015
E0,mpe_reference_pairs,1,random,5,500,-28.364667462379664,9.033523135507831
E0,mpe_reference_pairs,1,random,6,500,-28.23536143789664,9.612894639701265
E0,mpe_reference_pairs,1,random,7,500,-28.487296248367727,8.783496329058812
E0,mpe_reference_pairs,1,random,8,500,-27.688994381722704,9.117562835245565
E0,mpe_reference_pairs,1,random,9,500,-28.12194702829662,9.266887518433323
E0,mpe_reference_pairs,1,random,10,500,-28.505798438842998,9.271676244525008
E0,mpe_reference_pairs,1,random,11,500,-28.085226574013983,8.756422985258965
E0,mpe_reference_pairs,1,do_nothing,0,500,-25.545025856354755,8.882940137255032
E0,mpe_reference_pairs,1,do_nothing,1,500,-25.98973032017821,9.119191988775707
E0,mpe_reference_pairs,1,do_nothing,2,500,-27.15936700774637,8.947742342650077
E0,mpe_reference_pairs,1,do_nothing,3,500,-26.23808075777615,9.261843903236015
E0,mpe_reference_pairs,1,do_nothing,4,500,-26.13419014133372,9.016073079294987
E0,mpe_reference_pairs,1,do_nothing,5,500,-25.74323327931902,8.523963514302286
E0,mpe_reference_pairs,1,do_nothing,6,500,-25.79188686862968,8.710872439088128
E0,mpe_reference_pairs,1,do_nothing,7,500,-26.072589618419464,8.81720234510734
E0,mpe_reference_pairs,1,do_nothing,8,500,-25.27075858918361,8.911558152177266
E0,mpe_reference_pairs,1,do_nothing,9,500,-26.03923160379655,9.059190609755344
E0,mpe_reference_pairs,1,do_nothing,10,500,-26.200593418510064,8.637786452144354
E0,mpe_reference_pairs,1,do_nothing,11,500,-25.800099354575014,8.395117149922504
