step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,1.0583333333333333,25,0,0.0,0.99886,,,,,,,
50,2,train,0.5916666666666667,25,0,0.0,0.9976725,,,,,,,
75,3,train,0.5499999999999998,25,0,0.0,0.996485,,,,,,,
100,4,train,-0.06666666666666674,25,0,0.0,0.9952975,,,,,,,
125,5,train,-0.05833333333333337,25,0,0.0,0.99411,,,,,,,
150,6,train,0.24166666666666659,25,0,0.0,0.9929225,,,,,,,
175,7,train,-0.5583333333333333,25,0,0.0,0.991735,,,,,,,
200,8,train,-0.3750000000000002,25,0,0.0,0.9905475,,,,,,,
225,9,train,-0.49166666666666686,25,0,0.0,0.98936,,,,,,,
250,10,train,0.4749999999999999,25,0,0.0,0.9881725,,,,,,,
275,11,train,-0.8166666666666668,25,0,0.0,0.986985,,,,,,,
300,12,train,0.47499999999999987,25,0,0.0,0.9857975,,,,,,,
325,13,train,0.0749999999999999,25,0,0.0,0.98461,,,,,,,
350,14,train,0.15833333333333316,25,0,0.0,0.9834225,,,,,,,
375,15,train,-0.4500000000000001,25,0,0.0,0.982235,,,,,,,
400,16,train,-0.3833333333333334,25,0,0.0,0.9810475,,,,,,,
425,17,train,-0.47500000000000026,25,0,0.0,0.97986,,,,,,,
450,18,train,0.04999999999999989,25,0,0.0,0.9786725000000001,,,,,,,
475,19,train,0.0583333333333332,25,0,0.0,0.977485,,,,,,,
500,20,train,-0.4333333333333334,25,0,0.0,0.9762975,,,,,,,
525,21,train,0.21666666666666662,25,0,0.0,0.97511,,,,,,,
550,22,train,-0.6000000000000001,25,0,0.0,0.9739225,,,,,,,
575,23,train,0.44999999999999996,25,0,0.0,0.972735,,,,,,,
600,24,train,0.2999999999999999,25,0,0.0,0.9715475,,,,,,,
625,25,train,0.28333333333333327,25,0,0.0,0.97036,,,,,,,
650,26,train,0.20833333333333323,25,0,0.0,0.9691725,,,,,,,
675,27,train,0.07499999999999997,25,0,0.0,0.967985,,,,,,,
700,28,train,0.32499999999999996,25,0,0.0,0.9667975,,,,,,,
725,29,train,0.19999999999999984,25,0,0.0,0.96561,,,,,,,
750,30,train,-0.30833333333333346,25,0,0.0,0.9644225,,,,,,,
775,31,train,0.6833333333333335,25,0,0.0,0.963235,,,,,,,
800,32,train,-0.17500000000000004,25,0,0.0,0.9620474999999999,,,,,,,
825,33,train,-0.5916666666666668,25,0,0.0,0.96086,,,,,,,
850,34,train,-0.39166666666666666,25,0,0.0,0.9596725,,,,,,,
875,35,train,-0.3750000000000001,25,0,0.0,0.958485,,,,,,,
900,36,train,1.0666666666666667,25,0,0.0,0.9572975,,,,,,,
925,37,train,0.8166666666666669,25,0,0.0,0.95611,,,,,,,
950,38,train,0.14166666666666664,25,0,0.0,0.9549225,,,,,,,
975,39,train,0.24999999999999994,25,0,0.0,0.953735,,,,,,,
1000,40,train,-0.05833333333333336,25,0,0.0,0.9525475,0.008218144997954369,,-0.001646849443204701,,,,
1025,41,train,0.14999999999999997,25,0,0.0,0.95136,0.015218460932374,,0.0029891086742281914,,,,
1050,42,train,0.2916666666666665,25,0,0.0,0.9501725,0.012859235517680645,,-0.00031219387892633677,,,,
1075,43,train,-0.6833333333333332,25,0,0.0,0.948985,0.017794379964470863,,0.004164368845522404,,,,
1100,44,train,-0.3083333333333334,25,0,0.0,0.9477975,0.010702689178287983,,0.008176418021321297,,,,
1125,45,train,-0.6499999999999999,25,0,0.0,0.94661,0.016240984201431274,,0.0052519384771585464,,,,
1150,46,train,-0.3666666666666667,25,0,0.0,0.9454225,0.02096601575613022,,0.0032390831038355827,,,,
1175,47,train,-0.3500000000000002,25,0,0.0,0.944235,0.011593570932745934,,-0.006724385544657707,,,,
1200,48,train,-0.07500000000000015,25,0,0.0,0.9430475,0.016084110364317894,,0.006603223271667957,,,,
1225,49,train,-0.43333333333333346,25,0,0.0,0.94186,0.010932369157671928,,0.07223410159349442,,,,
1250,50,train,-0.3500000000000001,25,0,0.0,0.9406725,0.010151589289307594,,0.05824066698551178,,,,
1275,51,train,0.4083333333333332,25,0,0.0,0.939485,0.0026193391531705856,,0.0501895435154438,,,,
1300,52,train,0.541666666666667,25,0,0.0,0.9382975,0.018855128437280655,,0.0651438981294632,,,,
1325,53,train,-0.1583333333333334,25,0,0.0,0.93711,0.005539128091186285,,0.06238079071044922,,,,
1350,54,train,0.04166666666666671,25,0,0.0,0.9359225,0.012751142494380474,,0.06321507692337036,,,,
1375,55,train,1.4166666666666667,25,0,0.0,0.934735,0.004295218735933304,,0.06925690919160843,,,,
1400,56,train,0.02499999999999996,25,0,0.0,0.9335475,0.02628103271126747,,0.07216545194387436,,,,
1425,57,train,0.44166666666666665,25,0,0.0,0.93236,0.019682319834828377,,0.14477893710136414,,,,
1450,58,train,0.75,25,0,0.0,0.9311725,0.01145099475979805,,0.13863468170166016,,,,
1475,59,train,0.7416666666666666,25,0,0.0,0.9299850000000001,0.00869123637676239,,0.1465916931629181,,,,
1500,60,train,0.325,25,0,0.0,0.9287974999999999,0.01903441920876503,,0.14248871803283691,,,,
1525,61,train,0.6666666666666669,25,0,0.0,0.92761,0.0037376193795353174,,0.139287069439888,,,,
1550,62,train,-0.20833333333333345,25,0,0.0,0.9264225,0.005752747878432274,,0.14070197939872742,,,,
1575,63,train,0.5416666666666669,25,0,0.0,0.925235,0.015762245282530785,,0.13485565781593323,,,,
1600,64,train,1.3000000000000003,25,0,0.0,0.9240475,0.013270992785692215,,0.13645422458648682,,,,
1625,65,train,0.058333333333333216,25,0,0.0,0.92286,0.0043729208409786224,,0.2108084261417389,,,,
1650,66,train,0.23333333333333342,25,0,0.0,0.9216725,0.015851566568017006,,0.22727170586585999,,,,
1675,67,train,0.27500000000000013,25,0,0.0,0.920485,0.028763815760612488,,0.2637673318386078,,,,
1700,68,train,0.36666666666666664,25,0,0.0,0.9192975,0.01657087355852127,,0.23762020468711853,,,,
1725,69,train,0.7083333333333335,25,0,0.0,0.91811,0.01292327232658863,,0.2082802653312683,,,,
1750,70,train,0.5666666666666668,25,0,0.0,0.9169225,0.015121731907129288,,0.2137436866760254,,,,
1775,71,train,0.7666666666666666,25,0,0.0,0.915735,0.027710165828466415,,0.2305079698562622,,,,
1800,72,train,0.5416666666666665,25,0,0.0,0.9145475,0.03158150613307953,,0.21252858638763428,,,,
1825,73,train,0.46666666666666673,25,0,0.0,0.91336,0.011158855631947517,,0.30748480558395386,,,,
1850,74,train,0.95,25,0,0.0,0.9121725,0.0036366493441164494,,0.3221365213394165,,,,
1875,75,train,0.24166666666666647,25,0,0.0,0.910985,0.012025808915495872,,0.3219313323497772,,,,
1900,76,train,0.12499999999999999,25,0,0.0,0.9097975,0.005286141764372587,,0.294513463973999,,,,
1925,77,train,0.1916666666666666,25,0,0.0,0.90861,0.019148051738739014,,0.3640367388725281,,,,
1950,78,train,0.7083333333333334,25,0,0.0,0.9074225,0.03814668208360672,,0.32492920756340027,,,,
1975,79,train,-0.29999999999999993,25,0,0.0,0.906235,0.01803841069340706,,0.3504757881164551,,,,
2000,80,train,0.17500000000000002,25,0,0.0,0.9050475,0.02989749051630497,,0.33585989475250244,,,,
2025,81,train,0.3,25,0,0.0,0.90386,0.02397996000945568,,0.41648733615875244,,,,
2050,82,train,0.23333333333333317,25,0,0.0,0.9026725,0.010005977936089039,,0.44731444120407104,,,,
2075,83,train,-0.49999999999999994,25,0,0.0,0.901485,0.02138284593820572,,0.42965278029441833,,,,
2100,84,train,-0.09166666666666673,25,0,0.0,0.9002975,0.02921696938574314,,0.43661993741989136,,,,
2125,85,train,0.2499999999999999,25,0,0.0,0.89911,0.02700301632285118,,0.3713040351867676,,,,
2150,86,train,0.6416666666666666,25,0,0.0,0.8979225,0.021548381075263023,,0.3748929500579834,,,,
2166,87,train,2.423333333333333,16,1,0.011494252873563218,0.8971625,0.019276976585388184,,0.4308834671974182,,,,
2191,88,train,0.25833333333333325,25,0,0.011363636363636364,0.895975,0.041402921080589294,,0.392042338848114,,,,
2216,89,train,1.0416666666666667,25,0,0.011235955056179775,0.8947875,0.014792265370488167,,0.5342151522636414,,,,
2241,90,train,-0.058333333333333515,25,0,0.011111111111111112,0.8936,0.031564369797706604,,0.47505274415016174,,,,
2266,91,train,-0.5333333333333334,25,0,0.01098901098901099,0.8924125,0.0339670404791832,,0.466804563999176,,,,
2291,92,train,0.9166666666666665,25,0,0.010869565217391304,0.891225,0.02371397241950035,,0.4563283622264862,,,,
2316,93,train,-0.04166666666666684,25,0,0.010752688172043012,0.8900375,0.015587019734084606,,0.42299604415893555,,,,
2341,94,train,0.35,25,0,0.010638297872340425,0.88885,0.02437477372586727,,0.47870033979415894,,,,
2366,95,train,0.7416666666666666,25,0,0.010526315789473684,0.8876625,0.04177460819482803,,0.44571250677108765,,,,
2391,96,train,0.8166666666666665,25,0,0.010416666666666666,0.886475,0.012773197144269943,,0.4661799669265747,,,,
2416,97,train,0.28333333333333316,25,0,0.010309278350515464,0.8852875,0.01958879455924034,,0.5337423086166382,,,,
2441,98,train,0.7166666666666666,25,0,0.01020408163265306,0.8841,0.03204416483640671,,0.596749484539032,,,,
2466,99,train,0.6833333333333332,25,0,0.010101010101010102,0.8829125,0.02489013597369194,,0.5312138795852661,,,,
2491,100,train,-0.48333333333333334,25,0,0.01,0.881725,0.012524688616394997,,0.5528461933135986,,,,
2491,100,eval,,,,,0.881725,,,,0.27624999999999994,0.7304026429534146,0.0,25.0
2516,101,train,0.3166666666666666,25,0,0.01,0.8805375,0.04323764145374298,,0.5449016094207764,,,,
2541,102,train,0.9666666666666666,25,0,0.01,0.87935,0.025093503296375275,,0.613079309463501,,,,
2566,103,train,0.2499999999999999,25,0,0.01,0.8781625,0.02784028835594654,,0.5459706783294678,,,,
2591,104,train,-6.938893903907228e-18,25,0,0.01,0.8769750000000001,0.02986936643719673,,0.5254088640213013,,,,
2616,105,train,-0.2666666666666667,25,0,0.01,0.8757874999999999,0.04586732015013695,,0.631812572479248,,,,
2641,106,train,1.1166666666666665,25,0,0.01,0.8746,0.03627653047442436,,0.5064315795898438,,,,
2666,107,train,0.008333333333333207,25,0,0.01,0.8734125,0.025499993935227394,,0.6120634078979492,,,,
2691,108,train,1.0833333333333333,25,0,0.01,0.872225,0.06379374861717224,,0.573508620262146,,,,
2716,109,train,0.7083333333333335,25,0,0.01,0.8710375,0.03184443339705467,,0.6387289762496948,,,,
2741,110,train,0.7916666666666667,25,0,0.01,0.86985,0.0650993138551712,,0.6781202554702759,,,,
2766,111,train,0.1166666666666666,25,0,0.01,0.8686625,0.010833838023245335,,0.606368899345398,,,,
2791,112,train,1.2666666666666666,25,0,0.01,0.867475,0.019126901403069496,,0.6730127334594727,,,,
