step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
40,1,train,-0.12500000000000008,40,0,0.0,0.9981475,,,,,,,
80,2,train,-9.71445146547012e-17,40,0,0.0,0.9962475,,,,,,,
120,3,train,1.4749999999999999,40,0,0.0,0.9943475,,,,,,,
160,4,train,0.2500000000000004,40,0,0.0,0.9924475,,,,,,,
200,5,train,0.6249999999999999,40,0,0.0,0.9905475,,,,,,,
240,6,train,-0.4,40,0,0.0,0.9886475,,,,,,,
280,7,train,0.2499999999999999,40,0,0.0,0.9867475,,,,,,,
320,8,train,0.09999999999999983,40,0,0.0,0.9848475,,,,,,,
360,9,train,-0.15000000000000002,40,0,0.0,0.9829475,,,,,,,
400,10,train,-0.42500000000000004,40,0,0.0,0.9810475,,,,,,,
440,11,train,-0.15000000000000005,40,0,0.0,0.9791475,,,,,,,
480,12,train,-0.05000000000000014,40,0,0.0,0.9772475,,,,,,,
520,13,train,-0.024999999999999988,40,0,0.0,0.9753475,,,,,,,
560,14,train,0.04999999999999985,40,0,0.0,0.9734475,,,,,,,
600,15,train,0.5,40,0,0.0,0.9715475,,,,,,,
640,16,train,0.2999999999999998,40,0,0.0,0.9696475,,,,,,,
680,17,train,-0.3500000000000002,40,0,0.0,0.9677475,,,,,,,
720,18,train,0.17499999999999988,40,0,0.0,0.9658475,,,,,,,
760,19,train,-0.20000000000000012,40,0,0.0,0.9639475,,,,,,,
800,20,train,-0.45000000000000023,40,0,0.0,0.9620474999999999,,,,,,,
840,21,train,-0.6500000000000001,40,0,0.0,0.9601475,,,,,,,
880,22,train,0.02500000000000009,40,0,0.0,0.9582475,,,,,,,
920,23,train,-0.07500000000000004,40,0,0.0,0.9563475,,,,,,,
960,24,train,-0.6000000000000002,40,0,0.0,0.9544475,,,,,,,
1000,25,train,0.9000000000000005,40,0,0.0,0.9525475,0.019620295614004135,-0.056584492325782776,,,,,
1040,26,train,0.17499999999999988,40,0,0.0,0.9506475,0.0029293918050825596,0.06517469137907028,,,,,
1080,27,train,1.425,40,0,0.0,0.9487475,0.00796456541866064,0.05856300890445709,,,,,
1120,28,train,0.4749999999999998,40,0,0.0,0.9468475,0.009552545845508575,0.057653117924928665,,,,,
1160,29,train,-0.050000000000000065,40,0,0.0,0.9449475,0.01936100795865059,0.06284079700708389,,,,,
1200,30,train,0.5750000000000007,40,0,0.0,0.9430475,0.017030570656061172,0.07104256749153137,,,,,
1240,31,train,-0.5749999999999997,40,0,0.0,0.9411475,0.00968911312520504,0.09508782625198364,,,,,
1280,32,train,0.2500000000000004,40,0,0.0,0.9392475,0.01649758592247963,0.09839688241481781,,,,,
1320,33,train,-0.9500000000000001,40,0,0.0,0.9373475,0.0022098657209426165,0.08981756865978241,,,,,
1360,34,train,0.6250000000000002,40,0,0.0,0.9354475,0.005634221248328686,0.08231450617313385,,,,,
1400,35,train,-0.5750000000000002,40,0,0.0,0.9335475,0.02483748085796833,0.09686101227998734,,,,,
1440,36,train,0.7500000000000003,40,0,0.0,0.9316475,0.015023740939795971,0.11875289678573608,,,,,
1480,37,train,0.925,40,0,0.0,0.9297475,0.016904309391975403,0.12499593943357468,,,,,
1520,38,train,-0.3750000000000002,40,0,0.0,0.9278475,0.01799805276095867,0.13123667240142822,,,,,
1560,39,train,0.6249999999999998,40,0,0.0,0.9259475,0.011133603751659393,0.1205456554889679,,,,,
1600,40,train,-0.5250000000000001,40,0,0.0,0.9240475,0.012505886144936085,0.14842306077480316,,,,,
1640,41,train,0.5000000000000001,40,0,0.0,0.9221475,0.010498367249965668,0.16324925422668457,,,,,
1680,42,train,-0.4000000000000001,40,0,0.0,0.9202475,0.02883303537964821,0.17195118963718414,,,,,
1720,43,train,0.12499999999999994,40,0,0.0,0.9183475,0.012527983635663986,0.1538572460412979,,,,,
1760,44,train,1.1250000000000002,40,0,0.0,0.9164475,0.005475358106195927,0.16617970168590546,,,,,
1800,45,train,0.0999999999999999,40,0,0.0,0.9145475,0.0076704733073711395,0.16660505533218384,,,,,
1840,46,train,0.3,40,0,0.0,0.9126475000000001,0.006056553218513727,0.19566434621810913,,,,,
1880,47,train,0.39999999999999986,40,0,0.0,0.9107475,0.023952454328536987,0.18498170375823975,,,,,
1920,48,train,0.8000000000000004,40,0,0.0,0.9088475,0.02010509744286537,0.18452394008636475,,,,,
1960,49,train,0.3500000000000001,40,0,0.0,0.9069475,0.010575578548014164,0.20040154457092285,,,,,
2000,50,train,0.8749999999999999,40,0,0.0,0.9050475,0.017126962542533875,0.17573244869709015,,,,,
2040,51,train,0.3250000000000002,40,0,0.0,0.9031475,0.006534654647111893,0.2178139090538025,,,,,
2080,52,train,-0.7249999999999998,40,0,0.0,0.9012475,0.0144874956458807,0.1979343295097351,,,,,
2120,53,train,0.6,40,0,0.0,0.8993475,0.008038472384214401,0.20598043501377106,,,,,
2160,54,train,0.40000000000000013,40,0,0.0,0.8974475,0.010498707182705402,0.20578080415725708,,,,,
