algo,scale,seed,peak,final
iql,small,0,0.75,0.27499999999999997
iql,small,1,0.8,0.38999999999999996
iql,small,2,0.65,0.41000000000000003
iql,small,3,0.65,0.2125
iql,small,4,0.55,0.30999999999999994
iql,medium,0,0.3,0.11666666666666665
iql,medium,1,0.2,0.06666666666666667
iql,medium,2,0.15,0.13333333333333333
iql,medium,3,0.2,0.16666666666666666
iql,medium,4,0.15,0.09999999999999999
iql,large,0,0.05,0.05
iql,large,1,0.0,0.0
iql,large,2,0.0,0.0
iql,large,3,0.0,0.0
iql,large,4,0.05,0.0
vdn,small,0,0.55,0.28750000000000003
vdn,small,1,0.5,0.21249999999999997
vdn,small,2,0.4,0.23750000000000002
vdn,small,3,0.5,0.325
vdn,small,4,0.4,0.19999999999999998
vdn,medium,0,0.05,0.0
vdn,medium,1,0.0,0.0
vdn,medium,2,0.0,0.0
vdn,medium,3,0.0,0.0
vdn,medium,4,0.0,0.0
vdn,large,0,0.0,0.0
vdn,large,1,0.0,0.0
vdn,large,2,0.0,0.0
vdn,large,3,0.0,0.0
vdn,large,4,0.0,0.0
qmix,small,0,0.6,0.36250000000000004
qmix,small,1,0.55,0.38749999999999996
qmix,small,2,0.65,0.39999999999999997
qmix,small,3,0.6,0.3
qmix,small,4,0.55,0.44000000000000006
qmix,medium,0,0.05,0.016666666666666666
qmix,medium,1,0.05,0.0
qmix,medium,2,0.0,0.0
qmix,medium,3,0.05,0.016666666666666666
qmix,medium,4,0.05,0.0
qmix,large,0,0.0,0.0
qmix,large,1,0.0,0.0
qmix,large,2,0.0,0.0
qmix,large,3,0.0,0.0
qmix,large,4,0.0,0.0
gnn_qmix,small,0,0.55,0.44000000000000006
gnn_qmix,small,1,0.65,0.5399999999999999
gnn_qmix,small,2,0.6,0.45
gnn_qmix,small,3,0.65,0.3
gnn_qmix,small,4,0.7,0.41
gnn_qmix,medium,0,0.05,0.0
gnn_qmix,medium,1,0.05,0.0
gnn_qmix,medium,2,0.0,0.0
gnn_qmix,medium,3,0.05,0.03333333333333333
gnn_qmix,medium,4,0.05,0.03333333333333333
gnn_qmix,large,0,0.0,0.0
gnn_qmix,large,1,0.0,0.0
gnn_qmix,large,2,0.0,0.0
gnn_qmix,large,3,0.0,0.0
gnn_qmix,large,4,0.0,0.0
