step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
40,1,train,0.9250000000000004,40,0,0.0,0.9981475,,,,,,,
80,2,train,-0.9999999999999999,40,0,0.0,0.9962475,,,,,,,
120,3,train,-0.42500000000000027,40,0,0.0,0.9943475,,,,,,,
160,4,train,-0.17499999999999993,40,0,0.0,0.9924475,,,,,,,
200,5,train,0.07500000000000026,40,0,0.0,0.9905475,,,,,,,
240,6,train,0.4250000000000004,40,0,0.0,0.9886475,,,,,,,
280,7,train,0.32500000000000057,40,0,0.0,0.9867475,,,,,,,
320,8,train,0.3749999999999999,40,0,0.0,0.9848475,,,,,,,
360,9,train,-0.07500000000000012,40,0,0.0,0.9829475,,,,,,,
400,10,train,0.37499999999999994,40,0,0.0,0.9810475,,,,,,,
440,11,train,0.7250000000000003,40,0,0.0,0.9791475,,,,,,,
480,12,train,1.375,40,0,0.0,0.9772475,,,,,,,
520,13,train,0.12499999999999994,40,0,0.0,0.9753475,,,,,,,
560,14,train,-1.5785983631388945e-16,40,0,0.0,0.9734475,,,,,,,
600,15,train,-0.5750000000000001,40,0,0.0,0.9715475,,,,,,,
640,16,train,0.07499999999999969,40,0,0.0,0.9696475,,,,,,,
680,17,train,-0.20000000000000018,40,0,0.0,0.9677475,,,,,,,
720,18,train,-0.6750000000000002,40,0,0.0,0.9658475,,,,,,,
760,19,train,-0.7000000000000003,40,0,0.0,0.9639475,,,,,,,
800,20,train,0.15000000000000002,40,0,0.0,0.9620474999999999,,,,,,,
840,21,train,-0.7000000000000001,40,0,0.0,0.9601475,,,,,,,
880,22,train,0.7000000000000003,40,0,0.0,0.9582475,,,,,,,
920,23,train,1.0750000000000006,40,0,0.0,0.9563475,,,,,,,
960,24,train,-0.775,40,0,0.0,0.9544475,,,,,,,
1000,25,train,-0.20000000000000004,40,0,0.0,0.9525475,0.015157836489379406,,0.01975487917661667,,,,
1040,26,train,-0.1500000000000002,40,0,0.0,0.9506475,0.009476294741034508,,0.02890007570385933,,,,
1080,27,train,-0.47500000000000026,40,0,0.0,0.9487475,0.011319614015519619,,0.022627223283052444,,,,
1120,28,train,-0.6500000000000002,40,0,0.0,0.9468475,0.013980459421873093,,0.03655955567955971,,,,
1160,29,train,-0.17500000000000013,40,0,0.0,0.9449475,0.00918673723936081,,0.03727620095014572,,,,
1200,30,train,-0.47500000000000014,40,0,0.0,0.9430475,0.004569408483803272,,0.02718850038945675,,,,
1240,31,train,-0.5250000000000001,40,0,0.0,0.9411475,0.009977588430047035,,0.11710144579410553,,,,
1280,32,train,0.3500000000000002,40,0,0.0,0.9392475,0.01640535518527031,,0.1038561463356018,,,,
1320,33,train,0.3749999999999997,40,0,0.0,0.9373475,0.018553994596004486,,0.12661144137382507,,,,
1360,34,train,-0.10000000000000012,40,0,0.0,0.9354475,0.010200751014053822,,0.13106636703014374,,,,
1400,35,train,1.2250000000000008,40,0,0.0,0.9335475,0.04016924276947975,,0.1282767802476883,,,,
1440,36,train,-0.7249999999999999,40,0,0.0,0.9316475,0.013052934780716896,,0.2246028184890747,,,,
