step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,1.0583333333333333,25,0,0.0,0.99886,,,,,,,
50,2,train,0.5916666666666667,25,0,0.0,0.9976725,,,,,,,
75,3,train,0.5499999999999998,25,0,0.0,0.996485,,,,,,,
100,4,train,-0.06666666666666674,25,0,0.0,0.9952975,,,,,,,
125,5,train,-0.05833333333333337,25,0,0.0,0.99411,,,,,,,
150,6,train,0.24166666666666659,25,0,0.0,0.9929225,,,,,,,
175,7,train,-0.5583333333333333,25,0,0.0,0.991735,,,,,,,
200,8,train,-0.3750000000000002,25,0,0.0,0.9905475,,,,,,,
225,9,train,-0.49166666666666686,25,0,0.0,0.98936,,,,,,,
250,10,train,0.4749999999999999,25,0,0.0,0.9881725,,,,,,,
275,11,train,-0.8166666666666668,25,0,0.0,0.986985,,,,,,,
300,12,train,0.47499999999999987,25,0,0.0,0.9857975,,,,,,,
325,13,train,0.0749999999999999,25,0,0.0,0.98461,,,,,,,
350,14,train,0.15833333333333316,25,0,0.0,0.9834225,,,,,,,
375,15,train,-0.4500000000000001,25,0,0.0,0.982235,,,,,,,
400,16,train,-0.3833333333333334,25,0,0.0,0.9810475,,,,,,,
425,17,train,-0.47500000000000026,25,0,0.0,0.97986,,,,,,,
450,18,train,0.04999999999999989,25,0,0.0,0.9786725000000001,,,,,,,
475,19,train,0.0583333333333332,25,0,0.0,0.977485,,,,,,,
500,20,train,-0.4333333333333334,25,0,0.0,0.9762975,,,,,,,
525,21,train,0.21666666666666662,25,0,0.0,0.97511,,,,,,,
550,22,train,-0.6000000000000001,25,0,0.0,0.9739225,,,,,,,
575,23,train,0.44999999999999996,25,0,0.0,0.972735,,,,,,,
600,24,train,0.2999999999999999,25,0,0.0,0.9715475,,,,,,,
625,25,train,0.28333333333333327,25,0,0.0,0.97036,,,,,,,
650,26,train,0.20833333333333323,25,0,0.0,0.9691725,,,,,,,
675,27,train,0.07499999999999997,25,0,0.0,0.967985,,,,,,,
700,28,train,0.32499999999999996,25,0,0.0,0.9667975,,,,,,,
725,29,train,0.19999999999999984,25,0,0.0,0.96561,,,,,,,
750,30,train,-0.30833333333333346,25,0,0.0,0.9644225,,,,,,,
775,31,train,0.6833333333333335,25,0,0.0,0.963235,,,,,,,
800,32,train,-0.17500000000000004,25,0,0.0,0.9620474999999999,,,,,,,
825,33,train,-0.5916666666666668,25,0,0.0,0.96086,,,,,,,
850,34,train,-0.39166666666666666,25,0,0.0,0.9596725,,,,,,,
875,35,train,-0.3750000000000001,25,0,0.0,0.958485,,,,,,,
900,36,train,1.0666666666666667,25,0,0.0,0.9572975,,,,,,,
925,37,train,0.8166666666666669,25,0,0.0,0.95611,,,,,,,
950,38,train,0.14166666666666664,25,0,0.0,0.9549225,,,,,,,
975,39,train,0.24999999999999994,25,0,0.0,0.953735,,,,,,,
1000,40,train,-0.05833333333333336,25,0,0.0,0.9525475,0.008179242722690105,,0.012401284649968147,,,,
1025,41,train,0.1999999999999999,25,0,0.0,0.95136,0.015404184348881245,,0.0203547365963459,,,,
1050,42,train,0.2916666666666665,25,0,0.0,0.9501725,0.012587981298565865,,0.014760426245629787,,,,
1075,43,train,-0.6833333333333332,25,0,0.0,0.948985,0.017435776069760323,,0.022186830639839172,,,,
1100,44,train,-0.3083333333333334,25,0,0.0,0.9477975,0.010123009793460369,,0.025915153324604034,,,,
1125,45,train,-0.4583333333333334,25,0,0.0,0.94661,0.015446458011865616,,0.022105757147073746,,,,
1150,46,train,-0.5166666666666666,25,0,0.0,0.9454225,0.02066267654299736,,0.02026395872235298,,,,
1175,47,train,-0.3500000000000002,25,0,0.0,0.944235,0.011448713019490242,,0.009595632553100586,,,,
1200,48,train,0.475,25,0,0.0,0.9430475,0.016582731157541275,,0.028303764760494232,,,,
1225,49,train,-0.5333333333333334,25,0,0.0,0.94186,0.010540315881371498,,0.0977494940161705,,,,
1250,50,train,-0.3500000000000001,25,0,0.0,0.9406725,0.00930730253458023,,0.08917319029569626,,,,
1275,51,train,0.9083333333333333,25,0,0.0,0.939485,0.002530471421778202,,0.07466402649879456,,,,
1300,52,train,0.541666666666667,25,0,0.0,0.9382975,0.017686139792203903,,0.08759398758411407,,,,
1325,53,train,-0.20833333333333343,25,0,0.0,0.93711,0.005492378957569599,,0.09552641212940216,,,,
1350,54,train,0.04166666666666671,25,0,0.0,0.9359225,0.015557931736111641,,0.08538845181465149,,,,
1375,55,train,1.4166666666666667,25,0,0.0,0.934735,0.0041970061138272285,,0.09795607626438141,,,,
1400,56,train,0.02499999999999996,25,0,0.0,0.9335475,0.028739724308252335,,0.10688047111034393,,,,
1425,57,train,0.44166666666666665,25,0,0.0,0.93236,0.021694883704185486,,0.1787123680114746,,,,
1450,58,train,0.75,25,0,0.0,0.9311725,0.011645389720797539,,0.17204442620277405,,,,
1475,59,train,0.7416666666666666,25,0,0.0,0.9299850000000001,0.00867554172873497,,0.18573623895645142,,,,
1500,60,train,0.325,25,0,0.0,0.9287974999999999,0.022988729178905487,,0.19586177170276642,,,,
1525,61,train,0.8166666666666667,25,0,0.0,0.92761,0.003503542160615325,,0.18149220943450928,,,,
1550,62,train,-0.20833333333333345,25,0,0.0,0.9264225,0.010689386166632175,,0.18467649817466736,,,,
1575,63,train,0.5416666666666669,25,0,0.0,0.925235,0.020863007754087448,,0.1733287274837494,,,,
1600,64,train,1.3000000000000003,25,0,0.0,0.9240475,0.015155762434005737,,0.17231899499893188,,,,
1625,65,train,0.058333333333333216,25,0,0.0,0.92286,0.004360656253993511,,0.25478965044021606,,,,
1650,66,train,0.23333333333333342,25,0,0.0,0.9216725,0.017550352960824966,,0.2801188826560974,,,,
1675,67,train,0.17500000000000002,25,0,0.0,0.920485,0.027723265811800957,,0.30138877034187317,,,,
1700,68,train,0.36666666666666664,25,0,0.0,0.9192975,0.018926724791526794,,0.2931919991970062,,,,
1725,69,train,0.7083333333333335,25,0,0.0,0.91811,0.013264892622828484,,0.25553417205810547,,,,
1750,70,train,0.47500000000000003,25,0,0.0,0.9169225,0.017579663544893265,,0.26794499158859253,,,,
1775,71,train,0.3166666666666669,25,0,0.0,0.915735,0.03336666524410248,,0.2787744998931885,,,,
1800,72,train,0.3999999999999998,25,0,0.0,0.9145475,0.03671176731586456,,0.2508317232131958,,,,
1825,73,train,0.5083333333333334,25,0,0.0,0.91336,0.012537307105958462,,0.3645039200782776,,,,
1850,74,train,0.95,25,0,0.0,0.9121725,0.004350770264863968,,0.4002026915550232,,,,
1875,75,train,0.1833333333333332,25,0,0.0,0.910985,0.016532544046640396,,0.36673587560653687,,,,
1900,76,train,0.12499999999999999,25,0,0.0,0.9097975,0.005342119373381138,,0.37314507365226746,,,,
1925,77,train,0.19166666666666665,25,0,0.0,0.90861,0.02067175880074501,,0.4240337610244751,,,,
1950,78,train,0.16666666666666669,25,0,0.0,0.9074225,0.03947588801383972,,0.3760026693344116,,,,
1975,79,train,-0.30833333333333324,25,0,0.0,0.906235,0.01922348514199257,,0.40281611680984497,,,,
2000,80,train,0.17500000000000002,25,0,0.0,0.9050475,0.028628669679164886,,0.38727256655693054,,,,
2025,81,train,-0.08333333333333334,25,0,0.0,0.90386,0.020774412900209427,,0.501373291015625,,,,
2050,82,train,0.1916666666666666,25,0,0.0,0.9026725,0.01706315018236637,,0.5113669633865356,,,,
2075,83,train,-0.49999999999999994,25,0,0.0,0.901485,0.02146570198237896,,0.4847673177719116,,,,
2100,84,train,-0.09166666666666673,25,0,0.0,0.9002975,0.03481557220220566,,0.4807712733745575,,,,
2125,85,train,0.2916666666666666,25,0,0.0,0.89911,0.032606083899736404,,0.44081395864486694,,,,
2150,86,train,1.1416666666666664,25,0,0.0,0.8979225,0.013863809406757355,,0.45011162757873535,,,,
2166,87,train,2.423333333333333,16,1,0.011494252873563218,0.8971625,0.020637547597289085,,0.48741042613983154,,,,
2191,88,train,0.2166666666666665,25,0,0.011363636363636364,0.895975,0.04989388585090637,,0.4318695068359375,,,,
2216,89,train,1.0416666666666667,25,0,0.011235955056179775,0.8947875,0.015329474583268166,,0.6004596948623657,,,,
2241,90,train,-0.058333333333333515,25,0,0.011111111111111112,0.8936,0.033332835882902145,,0.5537881255149841,,,,
2266,91,train,-0.5333333333333334,25,0,0.01098901098901099,0.8924125,0.046818673610687256,,0.5931560397148132,,,,
2291,92,train,0.9166666666666665,25,0,0.010869565217391304,0.891225,0.024369560182094574,,0.5717207193374634,,,,
2316,93,train,-0.04166666666666684,25,0,0.010752688172043012,0.8900375,0.013670315966010094,,0.5065720081329346,,,,
2341,94,train,0.35,25,0,0.010638297872340425,0.88885,0.0332379974424839,,0.5858235359191895,,,,
2366,95,train,0.7416666666666666,25,0,0.010526315789473684,0.8876625,0.04817836731672287,,0.5110154151916504,,,,
2391,96,train,0.23333333333333323,25,0,0.010416666666666666,0.886475,0.016014203429222107,,0.5594229102134705,,,,
2416,97,train,0.28333333333333316,25,0,0.010309278350515464,0.8852875,0.019336305558681488,,0.6275680065155029,,,,
2441,98,train,0.7166666666666666,25,0,0.01020408163265306,0.8841,0.038920748978853226,,0.694819450378418,,,,
2466,99,train,0.6333333333333333,25,0,0.010101010101010102,0.8829125,0.03028620406985283,,0.6967898011207581,,,,
2491,100,train,-0.4750000000000002,25,0,0.01,0.881725,0.021999597549438477,,0.6807824373245239,,,,
2491,100,eval,,,,,0.881725,,,,0.24558333333333326,0.7323249269355175,0.05,23.9
2516,101,train,0.8250000000000004,25,0,0.01,0.8805375,0.06201990321278572,,0.6305795907974243,,,,
2541,102,train,0.5250000000000001,25,0,0.01,0.87935,0.031169215217232704,,0.7389007806777954,,,,
2566,103,train,0.25,25,0,0.01,0.8781625,0.03464926779270172,,0.7131425142288208,,,,
2591,104,train,-6.938893903907228e-18,25,0,0.01,0.8769750000000001,0.04276060312986374,,0.6477199792861938,,,,
2616,105,train,-0.3083333333333334,25,0,0.01,0.8757874999999999,0.05608871579170227,,0.7201655507087708,,,,
2641,106,train,1.1166666666666665,25,0,0.01,0.8746,0.044179365038871765,,0.6364836096763611,,,,
2666,107,train,0.008333333333333234,25,0,0.01,0.8734125,0.031074466183781624,,0.7612878084182739,,,,
2691,108,train,1.4833333333333332,25,0,0.01,0.872225,0.09046302735805511,,0.7080350518226624,,,,
2716,109,train,0.5416666666666667,25,0,0.01,0.8710375,0.03387613222002983,,0.7452100515365601,,,,
2741,110,train,0.7916666666666667,25,0,0.01,0.86985,0.0636458694934845,,0.800351619720459,,,,
2766,111,train,0.11666666666666653,25,0,0.01,0.8686625,0.01673850789666176,,0.7681593298912048,,,,
2791,112,train,1.2166666666666668,25,0,0.01,0.867475,0.03664169833064079,,0.8118781447410583,,,,
