algo,scale,n,peak_mean,peak_std,final_mean,final_std
gnn_qmix,large,5,0.0,0.0,0.0,0.0
gnn_qmix,medium,5,0.04,0.022360679774997897,0.013333333333333332,0.01825741858350554
gnn_qmix,small,5,0.63,0.057008771254956854,0.42800000000000005,0.08642916174532758
iql,large,5,0.02,0.027386127875258306,0.01,0.0223606797749979
iql,medium,5,0.2,0.06123724356957946,0.11666666666666665,0.03726779962499649
iql,small,5,0.68,0.09746794344808965,0.3195,0.08167006795638168
qmix,large,5,0.0,0.0,0.0,0.0
qmix,medium,5,0.04,0.022360679774997897,0.006666666666666666,0.009128709291752768
qmix,small,5,0.5900000000000001,0.04183300132670376,0.378,0.05182301612218263
vdn,large,5,0.0,0.0,0.0,0.0
vdn,medium,5,0.01,0.0223606797749979,0.0,0.0
vdn,small,5,0.47000000000000003,0.06708203932499368,0.2525,0.05258920991990659
