step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
40,1,train,-0.2250000000000002,40,0,0.0,0.9981475,,,,,,,
80,2,train,1.2750000000000004,40,0,0.0,0.9962475,,,,,,,
120,3,train,-0.20000000000000007,40,0,0.0,0.9943475,,,,,,,
160,4,train,-0.2250000000000003,40,0,0.0,0.9924475,,,,,,,
200,5,train,-1.6306400674181987e-16,40,0,0.0,0.9905475,,,,,,,
240,6,train,-1.1999999999999997,40,0,0.0,0.9886475,,,,,,,
280,7,train,0.5000000000000001,40,0,0.0,0.9867475,,,,,,,
320,8,train,1.15,40,0,0.0,0.9848475,,,,,,,
360,9,train,0.4250000000000002,40,0,0.0,0.9829475,,,,,,,
400,10,train,-0.05000000000000002,40,0,0.0,0.9810475,,,,,,,
440,11,train,-0.1500000000000002,40,0,0.0,0.9791475,,,,,,,
480,12,train,-0.3500000000000002,40,0,0.0,0.9772475,,,,,,,
520,13,train,-0.625,40,0,0.0,0.9753475,,,,,,,
560,14,train,-0.9250000000000003,40,0,0.0,0.9734475,,,,,,,
600,15,train,0.09999999999999987,40,0,0.0,0.9715475,,,,,,,
640,16,train,0.8750000000000002,40,0,0.0,0.9696475,,,,,,,
680,17,train,0.7249999999999998,40,0,0.0,0.9677475,,,,,,,
720,18,train,0.85,40,0,0.0,0.9658475,,,,,,,
760,19,train,-0.02500000000000016,40,0,0.0,0.9639475,,,,,,,
800,20,train,-0.75,40,0,0.0,0.9620474999999999,,,,,,,
840,21,train,-0.8999999999999999,40,0,0.0,0.9601475,,,,,,,
880,22,train,0.024999999999999863,40,0,0.0,0.9582475,,,,,,,
920,23,train,-0.1250000000000001,40,0,0.0,0.9563475,,,,,,,
960,24,train,0.3250000000000001,40,0,0.0,0.9544475,,,,,,,
1000,25,train,0.27499999999999974,40,0,0.0,0.9525475,0.3829919695854187,,-0.2539706826210022,,,,
1040,26,train,-0.6250000000000001,40,0,0.0,0.9506475,0.017679516226053238,,0.3450095057487488,,,,
1080,27,train,0.34999999999999987,40,0,0.0,0.9487475,0.013474857434630394,,0.3237966299057007,,,,
1120,28,train,-0.025000000000000085,40,0,0.0,0.9468475,0.01573721505701542,,0.32153868675231934,,,,
1160,29,train,-0.17500000000000016,40,0,0.0,0.9449475,0.015938259661197662,,0.34361034631729126,,,,
1200,30,train,-0.05000000000000009,40,0,0.0,0.9430475,0.022067703306674957,,0.32590875029563904,,,,
1240,31,train,-0.27499999999999986,40,0,0.0,0.9411475,0.003814095165580511,,0.4422578811645508,,,,
1280,32,train,0.6000000000000003,40,0,0.0,0.9392475,0.013884343206882477,,0.4122224748134613,,,,
1320,33,train,-0.6500000000000002,40,0,0.0,0.9373475,0.006909489165991545,,0.41356161236763,,,,
1360,34,train,-0.5000000000000002,40,0,0.0,0.9354475,0.023150671273469925,,0.4027879238128662,,,,
1400,35,train,-0.8250000000000002,40,0,0.0,0.9335475,0.022300036624073982,,0.39189276099205017,,,,
1440,36,train,-0.675,40,0,0.0,0.9316475,0.009549395181238651,,0.49674803018569946,,,,
1480,37,train,0.0999999999999999,40,0,0.0,0.9297475,0.020525038242340088,,0.459214448928833,,,,
1520,38,train,1.2999999999999998,40,0,0.0,0.9278475,0.025905830785632133,,0.4843916594982147,,,,
1560,39,train,1.2250000000000003,40,0,0.0,0.9259475,0.006277841981500387,,0.513213038444519,,,,
1600,40,train,0.49999999999999983,40,0,0.0,0.9240475,0.019681094214320183,,0.503158450126648,,,,
1640,41,train,0.5000000000000001,40,0,0.0,0.9221475,0.020972488448023796,,0.5793530344963074,,,,
1680,42,train,-0.2500000000000003,40,0,0.0,0.9202475,0.006057193502783775,,0.5911754965782166,,,,
1720,43,train,0.8500000000000001,40,0,0.0,0.9183475,0.030374042689800262,,0.6073808670043945,,,,
1760,44,train,-0.6000000000000002,40,0,0.0,0.9164475,0.009809470735490322,,0.5784497857093811,,,,
1800,45,train,0.4249999999999998,40,0,0.0,0.9145475,0.0498955063521862,,0.5932329297065735,,,,
1840,46,train,-0.3750000000000003,40,0,0.0,0.9126475000000001,0.022541405633091927,,0.703299880027771,,,,
1880,47,train,-0.12500000000000014,40,0,0.0,0.9107475,0.011283531785011292,,0.7124688625335693,,,,
1920,48,train,0.5499999999999999,40,0,0.0,0.9088475,0.02471545711159706,,0.6943751573562622,,,,
1960,49,train,0.19999999999999996,40,0,0.0,0.9069475,0.022401761263608932,,0.727327823638916,,,,
2000,50,train,0.3249999999999999,40,0,0.0,0.9050475,0.02765502594411373,,0.6666854619979858,,,,
2040,51,train,-0.07500000000000008,40,0,0.0,0.9031475,0.005616380833089352,,0.8030381202697754,,,,
2080,52,train,0.15000000000000024,40,0,0.0,0.9012475,0.026160363107919693,,0.8199403882026672,,,,
2120,53,train,-0.22500000000000003,40,0,0.0,0.8993475,0.010232745669782162,,0.8192507028579712,,,,
2160,54,train,0.5500000000000004,40,0,0.0,0.8974475,0.010588725097477436,,0.7877249717712402,,,,
2200,55,train,0.5750000000000001,40,0,0.0,0.8955474999999999,0.05263274908065796,,0.7933579683303833,,,,
2240,56,train,-0.10000000000000013,40,0,0.0,0.8936475,0.07215356826782227,,0.9143935441970825,,,,
2280,57,train,1.075,40,0,0.0,0.8917475,0.055595479905605316,,0.9292526841163635,,,,
2320,58,train,-0.10000000000000009,40,0,0.0,0.8898475,0.032230228185653687,,0.9434700608253479,,,,
2360,59,train,0.7999999999999998,40,0,0.0,0.8879475,0.0259174183011055,,0.9063650369644165,,,,
2400,60,train,0.49999999999999994,40,0,0.0,0.8860475,0.025520840659737587,,0.9019023180007935,,,,
2440,61,train,0.2999999999999999,40,0,0.0,0.8841475,0.023644378408789635,,1.006298303604126,,,,
2480,62,train,0.20000000000000012,40,0,0.0,0.8822475,0.057596515864133835,,1.01651132106781,,,,
2520,63,train,1.3000000000000003,40,0,0.0,0.8803475000000001,0.043984975665807724,,1.0368659496307373,,,,
2560,64,train,0.5999999999999998,40,0,0.0,0.8784475,0.02153523825109005,,1.022029161453247,,,,
2600,65,train,0.17500000000000004,40,0,0.0,0.8765475,0.04143685847520828,,1.049953579902649,,,,
2640,66,train,1.125,40,0,0.0,0.8746475,0.0598197802901268,,1.167221188545227,,,,
2680,67,train,1.1000000000000003,40,0,0.0,0.8727475,0.07231967151165009,,1.181903600692749,,,,
2720,68,train,0.4249999999999998,40,0,0.0,0.8708475,0.07073365151882172,,1.1404277086257935,,,,
2760,69,train,-0.7250000000000002,40,0,0.0,0.8689475,0.015450104139745235,,1.1374382972717285,,,,
2800,70,train,1.1500000000000004,40,0,0.0,0.8670475,0.04955977201461792,,1.1532613039016724,,,,
2840,71,train,0.32499999999999996,40,0,0.0,0.8651475,0.05519513040781021,,1.2488081455230713,,,,
2880,72,train,1.1500000000000001,40,0,0.0,0.8632475,0.03590668365359306,,1.3332947492599487,,,,
2920,73,train,0.35,40,0,0.0,0.8613475,0.10835780203342438,,1.2711296081542969,,,,
2960,74,train,1.275,40,0,0.0,0.8594475,0.11876386404037476,,1.2445753812789917,,,,
3000,75,train,0.32500000000000007,40,0,0.0,0.8575475,0.07609348744153976,,1.3238812685012817,,,,
3040,76,train,0.625,40,0,0.0,0.8556475,0.01924380473792553,,1.4926327466964722,,,,
3080,77,train,0.19999999999999982,40,0,0.0,0.8537475,0.07788967341184616,,1.4230445623397827,,,,
3120,78,train,0.6000000000000005,40,0,0.0,0.8518475,0.059358976781368256,,1.4847071170806885,,,,
3160,79,train,0.65,40,0,0.0,0.8499475,0.07609623670578003,,1.4744234085083008,,,,
3200,80,train,0.47500000000000003,40,0,0.0,0.8480475000000001,0.06474661827087402,,1.4831832647323608,,,,
3240,81,train,0.9249999999999999,40,0,0.0,0.8461475,0.09526818245649338,,1.6437127590179443,,,,
3280,82,train,1.0999999999999999,40,0,0.0,0.8442475,0.13346052169799805,,1.6057298183441162,,,,
3320,83,train,-0.6749999999999999,40,0,0.0,0.8423475,0.05873081833124161,,1.6627438068389893,,,,
3360,84,train,0.9250000000000004,40,0,0.0,0.8404475,0.050443556159734726,,1.6246366500854492,,,,
3400,85,train,0.3749999999999999,40,0,0.0,0.8385475,0.1724109649658203,,1.6110914945602417,,,,
3440,86,train,0.7749999999999999,40,0,0.0,0.8366475,0.06789904832839966,,1.8024420738220215,,,,
3480,87,train,0.9000000000000001,40,0,0.0,0.8347475,0.0772419422864914,,1.7500295639038086,,,,
3520,88,train,0.8999999999999999,40,0,0.0,0.8328475,0.11969675123691559,,1.794466495513916,,,,
3560,89,train,-0.07500000000000015,40,0,0.0,0.8309475,0.12794539332389832,,1.8497357368469238,,,,
3600,90,train,-0.6249999999999999,40,0,0.0,0.8290475,0.11157111823558807,,1.7840226888656616,,,,
3640,91,train,0.049999999999999836,40,0,0.0,0.8271475,0.11979441344738007,,2.103693962097168,,,,
3680,92,train,0.5499999999999999,40,0,0.0,0.8252475,0.24169966578483582,,1.8985745906829834,,,,
3720,93,train,0.22499999999999987,40,0,0.0,0.8233475,0.06589443981647491,,1.937011480331421,,,,
3760,94,train,0.6250000000000002,40,0,0.0,0.8214475,0.08111826330423355,,2.0629024505615234,,,,
3800,95,train,0.47500000000000003,40,0,0.0,0.8195475,0.13316965103149414,,2.015873432159424,,,,
3840,96,train,-0.2500000000000002,40,0,0.0,0.8176475,0.09046109765768051,,2.2583909034729004,,,,
