algo,n_agents,seed,final_return,best_return
iql,3,0,-34.386804677490304,-32.05733143289985
iql,3,1,-35.99473489457431,-25.72001204961302
iql,3,2,-32.313968896994986,-27.72472644053583
iql,3,3,-40.01476235871797,-31.251170699571286
iql,3,4,-28.19235490226269,-24.579046740054007
iql,6,0,-47.892750032719924,-44.26051092313908
iql,6,1,-42.560593149042184,-42.16296132211332
iql,6,2,-58.35675569343505,-44.673387486825085
iql,6,3,-58.01696905848377,-49.51002176546499
iql,6,4,-76.7124468164935,-48.929231488139
vdn,3,0,-37.37051693760807,-25.197707756597175
vdn,3,1,-33.21689412294057,-26.914277441456925
vdn,3,2,-25.58016487018125,-25.010793583696103
vdn,3,3,-32.166118726401585,-25.724172604793026
vdn,3,4,-25.765978983735554,-24.312154031287225
vdn,6,0,-43.98481865351389,-42.15348921344187
vdn,6,1,-43.204067869727886,-41.49720995419382
vdn,6,2,-41.76078097384096,-38.57574378645798
vdn,6,3,-41.68832783721263,-40.38918156091897
vdn,6,4,-53.076737475957735,-47.48880247288114
qmix,3,0,-35.653738337111776,-24.3358747503934
qmix,3,1,-40.6991981964515,-36.286803368894155
qmix,3,2,-26.78383620643811,-22.69463114925193
qmix,3,3,-26.42850070203171,-25.317122623205744
qmix,3,4,-46.56560739819984,-22.39543656691408
qmix,6,0,-45.02388708211353,-38.7865887110245
qmix,6,1,-68.64062700598639,-55.26470173550926
qmix,6,2,-53.218959877864826,-48.720473082753735
qmix,6,3,-50.802876681691714,-48.5059294490424
qmix,6,4,-41.95341286162616,-38.80305717449126
gnn_qmix,3,0,-24.100207737024174,-20.51284998418854
gnn_qmix,3,1,-33.74404857368804,-28.67330854506978
gnn_qmix,3,2,-36.269664902806,-28.82967802839483
gnn_qmix,3,3,-29.013535853088058,-23.462022906784448
gnn_qmix,3,4,-26.21023893118287,-24.51020365366548
gnn_qmix,6,0,-41.19948682645127,-37.67507047839082
gnn_qmix,6,1,-60.04401653099154,-47.70016211115957
gnn_qmix,6,2,-40.98624857728643,-38.29090397933858
gnn_qmix,6,3,-42.976693209030486,-40.20469689644324
gnn_qmix,6,4,-64.3463714264846,-46.540751294029
