step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,-13.159019437285608,25,0,0.0,0.99848,,,,,,,
50,2,train,-13.619742894381032,25,0,0.0,0.9968966666666667,,,,,,,
75,3,train,-12.73226814832724,25,0,0.0,0.9953133333333334,,,,,,,
100,4,train,-8.142832170901654,25,0,0.0,0.99373,,,,,,,
125,5,train,-19.69129162899417,25,0,0.0,0.9921466666666666,,,,,,,
150,6,train,-14.981032135290576,25,0,0.0,0.9905633333333334,,,,,,,
175,7,train,-14.217179702166868,25,0,0.0,0.98898,,,,,,,
200,8,train,-12.983946692016934,25,0,0.0,0.9873966666666667,,,,,,,
225,9,train,-15.446218720467229,25,0,0.0,0.9858133333333333,,,,,,,
250,10,train,-11.75601796775849,25,0,0.0,0.98423,,,,,,,
275,11,train,-28.16682373554604,25,0,0.0,0.9826466666666667,,,,,,,
300,12,train,-20.40508079837405,25,0,0.0,0.9810633333333333,,,,,,,
325,13,train,-18.296669363925712,25,0,0.0,0.97948,,,,,,,
350,14,train,-14.990440640307558,25,0,0.0,0.9778966666666666,,,,,,,
375,15,train,-19.887151511264438,25,0,0.0,0.9763133333333334,,,,,,,
400,16,train,-12.04960101151482,25,0,0.0,0.97473,,,,,,,
425,17,train,-21.767061893258656,25,0,0.0,0.9731466666666667,,,,,,,
450,18,train,-11.038974756776623,25,0,0.0,0.9715633333333333,,,,,,,
475,19,train,-12.779925852592672,25,0,0.0,0.96998,,,,,,,
500,20,train,-18.128571479148235,25,0,0.0,0.9683966666666667,,,,,,,
525,21,train,-12.749050049536224,25,0,0.0,0.9668133333333333,,,,,,,
550,22,train,-13.708808535521582,25,0,0.0,0.96523,,,,,,,
575,23,train,-13.222722391626695,25,0,0.0,0.9636466666666667,,,,,,,
600,24,train,-10.890651321638126,25,0,0.0,0.9620633333333334,,,,,,,
625,25,train,-12.22270743389527,25,0,0.0,0.96048,,,,,,,
650,26,train,-15.313814356793717,25,0,0.0,0.9588966666666666,,,,,,,
675,27,train,-10.998403431066361,25,0,0.0,0.9573133333333333,,,,,,,
700,28,train,-16.01475747093029,25,0,0.0,0.95573,,,,,,,
725,29,train,-12.098999316534272,25,0,0.0,0.9541466666666667,,,,,,,
750,30,train,-15.197856461663068,25,0,0.0,0.9525633333333333,,,,,,,
775,31,train,-11.376035416546772,25,0,0.0,0.95098,,,,,,,
800,32,train,-8.583009046032721,25,0,0.0,0.9493966666666667,,,,,,,
825,33,train,-14.643725207730139,25,0,0.0,0.9478133333333333,,,,,,,
850,34,train,-18.277007046633003,25,0,0.0,0.94623,,,,,,,
875,35,train,-16.753114341933063,25,0,0.0,0.9446466666666666,,,,,,,
900,36,train,-14.341239720942406,25,0,0.0,0.9430633333333334,,,,,,,
925,37,train,-11.14460513958673,25,0,0.0,0.94148,,,,,,,
950,38,train,-15.525019874113418,25,0,0.0,0.9398966666666667,,,,,,,
975,39,train,-12.024856012491945,25,0,0.0,0.9383133333333333,,,,,,,
1000,40,train,-18.648555277313633,25,0,0.0,0.93673,0.10995788872241974,,-0.16086474061012268,,,,
1025,41,train,-15.410386861659477,25,0,0.0,0.9351466666666667,0.04279483109712601,,-0.41330376267433167,,,,
1050,42,train,-15.976100326511114,25,0,0.0,0.9335633333333333,0.019187722355127335,,-0.37663260102272034,,,,
1075,43,train,-21.04790614241165,25,0,0.0,0.93198,0.029040565714240074,,-0.39589381217956543,,,,
1100,44,train,-16.236748566727655,25,0,0.0,0.9303966666666666,0.03700144588947296,,-0.32030463218688965,,,,
1125,45,train,-14.226340489980453,25,0,0.0,0.9288133333333334,0.04605093598365784,,-0.3566499650478363,,,,
1150,46,train,-10.233110269812707,25,0,0.0,0.92723,0.020078644156455994,,-0.3378028869628906,,,,
1175,47,train,-15.284853806609089,25,0,0.0,0.9256466666666667,0.01813390478491783,,-0.3344796299934387,,,,
1200,48,train,-12.620749060060797,25,0,0.0,0.9240633333333333,0.31940507888793945,,-0.347078412771225,,,,
1225,49,train,-10.555216509324053,25,0,0.0,0.92248,0.04040689766407013,,-0.7354345321655273,,,,
1250,50,train,-10.438011617313403,25,0,0.0,0.9208966666666667,0.028124507516622543,,-0.8116922974586487,,,,
1275,51,train,-18.805353817651707,25,0,0.0,0.9193133333333333,0.03606346622109413,,-0.9244039058685303,,,,
1300,52,train,-13.967736759828837,25,0,0.0,0.91773,0.04000431299209595,,-0.8970839977264404,,,,
1325,53,train,-15.505506567547602,25,0,0.0,0.9161466666666667,0.02489892765879631,,-0.8473331928253174,,,,
1350,54,train,-23.103780785713223,25,0,0.0,0.9145633333333334,0.028594309464097023,,-0.8674620389938354,,,,
1375,55,train,-16.250158057321908,25,0,0.0,0.91298,0.025490663945674896,,-0.875953197479248,,,,
1400,56,train,-19.678560851923336,25,0,0.0,0.9113966666666666,0.24677176773548126,,-0.7701282501220703,,,,
1425,57,train,-18.215735835232042,25,0,0.0,0.9098133333333334,0.08079525083303452,,-1.227242112159729,,,,
1450,58,train,-14.563538597168245,25,0,0.0,0.90823,0.07113539427518845,,-1.325600504875183,,,,
1475,59,train,-14.350886238786897,25,0,0.0,0.9066466666666667,0.05608513951301575,,-1.3046542406082153,,,,
1500,60,train,-15.044894221060778,25,0,0.0,0.9050633333333333,0.03551169112324715,,-1.2616548538208008,,,,
1525,61,train,-14.3721803973326,25,0,0.0,0.9034800000000001,0.17986413836479187,,-1.3244333267211914,,,,
1550,62,train,-11.772653891665437,25,0,0.0,0.9018966666666667,0.07480154186487198,,-1.3401304483413696,,,,
1575,63,train,-18.833050269581335,25,0,0.0,0.9003133333333333,0.08115005493164062,,-1.328884243965149,,,,
1600,64,train,-17.478174203623286,25,0,0.0,0.89873,0.3682054281234741,,-1.4095252752304077,,,,
1625,65,train,-14.373425335365534,25,0,0.0,0.8971466666666666,0.1682666391134262,,-1.7268375158309937,,,,
1650,66,train,-13.240914016664085,25,0,0.0,0.8955633333333334,0.1281484067440033,,-1.673330545425415,,,,
1675,67,train,-22.846292427041426,25,0,0.0,0.89398,0.07053466141223907,,-1.7412731647491455,,,,
1700,68,train,-14.58129397836465,25,0,0.0,0.8923966666666667,0.0652395486831665,,-1.7075107097625732,,,,
1725,69,train,-17.555312138147062,25,0,0.0,0.8908133333333333,0.06710479408502579,,-1.6986541748046875,,,,
1750,70,train,-12.269984063840443,25,0,0.0,0.88923,0.08682350069284439,,-1.7531951665878296,,,,
1775,71,train,-13.316535251313645,25,0,0.0,0.8876466666666667,0.1062823086977005,,-1.5834190845489502,,,,
1800,72,train,-15.627158622250601,25,0,0.0,0.8860633333333333,0.25946998596191406,,-1.8096568584442139,,,,
1825,73,train,-14.243192384321402,25,0,0.0,0.88448,0.10916410386562347,,-1.9231890439987183,,,,
1850,74,train,-21.078701912720817,25,0,0.0,0.8828966666666667,0.18421828746795654,,-2.1389260292053223,,,,
1875,75,train,-11.32789852886505,25,0,0.0,0.8813133333333334,0.13848081231117249,,-2.0586585998535156,,,,
1900,76,train,-12.07520073847665,25,0,0.0,0.87973,0.08177568018436432,,-1.938049554824829,,,,
1925,77,train,-12.227210254576876,25,0,0.0,0.8781466666666666,0.06023677438497543,,-1.937333583831787,,,,
1950,78,train,-15.692123118941112,25,0,0.0,0.8765633333333334,0.07042989879846573,,-1.9082787036895752,,,,
1975,79,train,-11.749568728670862,25,0,0.0,0.87498,0.07237599045038223,,-2.0425422191619873,,,,
2000,80,train,-16.71381739463055,25,0,0.0,0.8733966666666666,0.18427692353725433,,-1.91413152217865,,,,
2025,81,train,-10.830795193298517,25,0,0.0,0.8718133333333333,0.10361610352993011,,-2.133754014968872,,,,
2050,82,train,-13.364925493962208,25,0,0.0,0.8702300000000001,0.11385783553123474,,-2.1545424461364746,,,,
2075,83,train,-18.243175592135433,25,0,0.0,0.8686466666666667,0.30679434537887573,,-2.2334859371185303,,,,
2100,84,train,-10.043716204526286,25,0,0.0,0.8670633333333333,0.2659364342689514,,-2.2387497425079346,,,,
2125,85,train,-13.734380219779029,25,0,0.0,0.86548,0.15018394589424133,,-2.0851216316223145,,,,
2150,86,train,-13.388568086530015,25,0,0.0,0.8638966666666666,0.14091014862060547,,-2.1461730003356934,,,,
2175,87,train,-10.53603032724122,25,0,0.0,0.8623133333333334,0.127762109041214,,-2.225522994995117,,,,
2200,88,train,-19.59937943140564,25,0,0.0,0.86073,0.19933316111564636,,-2.227701187133789,,,,
2225,89,train,-10.475652806944241,25,0,0.0,0.8591466666666667,0.13115854561328888,,-2.4918553829193115,,,,
2250,90,train,-21.153170305250345,25,0,0.0,0.8575633333333333,0.20366708934307098,,-2.2364468574523926,,,,
2275,91,train,-16.18786871392456,25,0,0.0,0.85598,0.10938763618469238,,-2.2814700603485107,,,,
2300,92,train,-10.834886501133385,25,0,0.0,0.8543966666666667,0.1915479451417923,,-2.405390739440918,,,,
2325,93,train,-13.18015152114895,25,0,0.0,0.8528133333333333,0.17890343070030212,,-2.3604369163513184,,,,
2350,94,train,-15.476934019377333,25,0,0.0,0.85123,0.21876928210258484,,-2.367499589920044,,,,
2375,95,train,-16.27713400918983,25,0,0.0,0.8496466666666667,0.05593455582857132,,-2.190753221511841,,,,
2400,96,train,-16.2184685136372,25,0,0.0,0.8480633333333334,0.10617572069168091,,-2.299349784851074,,,,
2425,97,train,-17.517358151328832,25,0,0.0,0.84648,0.08016064018011093,,-2.539482593536377,,,,
2450,98,train,-14.196652566721372,25,0,0.0,0.8448966666666666,0.11390490084886551,,-2.5913875102996826,,,,
2475,99,train,-13.894413074508211,25,0,0.0,0.8433133333333334,0.14660266041755676,,-2.4553561210632324,,,,
2500,100,train,-13.029363163816486,25,0,0.0,0.84173,0.26839327812194824,,-2.4687442779541016,,,,
2500,100,eval,,,,,0.84173,,,,-28.041427656033477,8.533931018151321,0.0,25.0
2525,101,train,-11.391812251660264,25,0,0.0,0.8401466666666666,0.10139519721269608,,-2.46413254737854,,,,
2550,102,train,-14.898028858705626,25,0,0.0,0.8385633333333333,0.1144254133105278,,-2.242633581161499,,,,
2575,103,train,-12.4394920951703,25,0,0.0,0.8369800000000001,0.09871090948581696,,-2.6619529724121094,,,,
2600,104,train,-12.738303298626452,25,0,0.0,0.8353966666666667,0.22430917620658875,,-2.4748826026916504,,,,
2625,105,train,-12.465645706157273,25,0,0.0,0.8338133333333333,0.25186488032341003,,-2.829519271850586,,,,
2650,106,train,-14.131448677925452,25,0,0.0,0.83223,0.14852175116539001,,-2.7888660430908203,,,,
2675,107,train,-13.71742765701124,25,0,0.0,0.8306466666666666,0.30682599544525146,,-2.80081844329834,,,,
2700,108,train,-14.280219981578568,25,0,0.0,0.8290633333333334,0.30106937885284424,,-2.718173027038574,,,,
2725,109,train,-10.661976331199659,25,0,0.0,0.82748,0.27825015783309937,,-2.6261487007141113,,,,
2750,110,train,-11.253289944031286,25,0,0.0,0.8258966666666667,0.20475368201732635,,-2.8154914379119873,,,,
2775,111,train,-12.28324452290857,25,0,0.0,0.8243133333333333,0.13607245683670044,,-2.5272812843322754,,,,
2800,112,train,-8.255129650808355,25,0,0.0,0.82273,0.3108251094818115,,-2.8588356971740723,,,,
2825,113,train,-11.312669634917862,25,0,0.0,0.8211466666666667,0.08545751869678497,,-2.7459793090820312,,,,
