step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,-28.293753005649318,25,0,0.0,0.99544,,,,,,,
50,2,train,-15.798873834295495,25,0,0.0,0.99069,,,,,,,
75,3,train,-18.4407385370563,25,0,0.0,0.98594,,,,,,,
100,4,train,-24.9967618599883,25,0,0.0,0.98119,,,,,,,
125,5,train,-24.47547491351065,25,0,0.0,0.97644,,,,,,,
150,6,train,-25.76696608659294,25,0,0.0,0.97169,,,,,,,
175,7,train,-25.598492639991573,25,0,0.0,0.96694,,,,,,,
200,8,train,-25.857527614576355,25,0,0.0,0.96219,,,,,,,
225,9,train,-24.68374051372786,25,0,0.0,0.95744,,,,,,,
250,10,train,-25.945041985525332,25,0,0.0,0.95269,,,,,,,
275,11,train,-24.679669888212008,25,0,0.0,0.94794,,,,,,,
300,12,train,-20.663579355983252,25,0,0.0,0.94319,,,,,,,
325,13,train,-19.971655742548066,25,0,0.0,0.93844,,,,,,,
350,14,train,-23.402154196635323,25,0,0.0,0.93369,,,,,,,
375,15,train,-18.718292655637867,25,0,0.0,0.92894,,,,,,,
400,16,train,-18.659229042086327,25,0,0.0,0.9241900000000001,,,,,,,
425,17,train,-27.18998272126453,25,0,0.0,0.91944,,,,,,,
450,18,train,-19.692211809997495,25,0,0.0,0.91469,,,,,,,
475,19,train,-17.67145155318595,25,0,0.0,0.90994,,,,,,,
500,20,train,-28.26884966014054,25,0,0.0,0.90519,0.8912355303764343,,-0.00983439665287733,,,,
525,21,train,-29.074405682036243,25,0,0.0,0.90044,0.6549209356307983,,-0.1664799302816391,,,,
550,22,train,-27.698820022460303,25,0,0.0,0.89569,0.1285005509853363,,-0.8490891456604004,,,,
575,23,train,-16.84161190260358,25,0,0.0,0.8909400000000001,0.056537628173828125,,-0.8814045786857605,,,,
600,24,train,-32.91186054719767,25,0,0.0,0.88619,0.06554632633924484,,-0.9451420307159424,,,,
625,25,train,-16.998892401938658,25,0,0.0,0.88144,0.04988180473446846,,-0.9357510805130005,,,,
650,26,train,-16.838604474743146,25,0,0.0,0.87669,0.04264844208955765,,-0.8919788599014282,,,,
675,27,train,-26.179077909540347,25,0,0.0,0.8719399999999999,0.05777054652571678,,-0.9404277801513672,,,,
700,28,train,-28.672851295746952,25,0,0.0,0.86719,0.730117678642273,,-0.9111218452453613,,,,
725,29,train,-17.065498436219197,25,0,0.0,0.86244,0.16465966403484344,,-1.956583023071289,,,,
750,30,train,-21.85550666499161,25,0,0.0,0.8576900000000001,0.05790654197335243,,-1.711146593093872,,,,
775,31,train,-21.034069534665043,25,0,0.0,0.85294,0.09386672079563141,,-1.669594407081604,,,,
800,32,train,-27.59117177863915,25,0,0.0,0.84819,0.10510385036468506,,-1.7918694019317627,,,,
825,33,train,-14.829418533984645,25,0,0.0,0.84344,0.126575767993927,,-1.7389254570007324,,,,
850,34,train,-23.729345181914532,25,0,0.0,0.8386899999999999,0.10418282449245453,,-1.6812219619750977,,,,
875,35,train,-21.294970554250487,25,0,0.0,0.83394,0.046098899096250534,,-1.70955491065979,,,,
900,36,train,-33.05651588428034,25,0,0.0,0.82919,0.8603185415267944,,-1.7797660827636719,,,,
925,37,train,-28.888917265523148,25,0,0.0,0.8244400000000001,0.2294052541255951,,-2.744710922241211,,,,
950,38,train,-25.143738958705097,25,0,0.0,0.81969,0.21895548701286316,,-2.5082478523254395,,,,
975,39,train,-21.476209510942333,25,0,0.0,0.81494,0.1508343368768692,,-2.533717393875122,,,,
1000,40,train,-22.36005942211144,25,0,0.0,0.81019,0.13425472378730774,,-2.497021436691284,,,,
1025,41,train,-27.7543930039377,25,0,0.0,0.8054399999999999,0.18918204307556152,,-2.5112192630767822,,,,
1050,42,train,-17.292434884668094,25,0,0.0,0.80069,0.10574675351381302,,-2.484273910522461,,,,
1075,43,train,-21.26546287742443,25,0,0.0,0.79594,0.3615712821483612,,-2.452916383743286,,,,
1100,44,train,-42.00823068072108,25,0,0.0,0.7911900000000001,1.0065593719482422,,-2.6345694065093994,,,,
1125,45,train,-28.681750384168517,25,0,0.0,0.78644,0.5407480001449585,,-3.4688358306884766,,,,
1150,46,train,-28.808064867229962,25,0,0.0,0.78169,0.7573543787002563,,-3.2921841144561768,,,,
1175,47,train,-33.17667606737379,25,0,0.0,0.77694,0.17673443257808685,,-3.3241453170776367,,,,
1200,48,train,-25.985493047197345,25,0,0.0,0.7721899999999999,0.1149774044752121,,-3.335965156555176,,,,
1225,49,train,-30.498141171072216,25,0,0.0,0.76744,0.15686842799186707,,-3.307227849960327,,,,
1250,50,train,-27.229413840589782,25,0,0.0,0.76269,0.15552395582199097,,-3.2680535316467285,,,,
1250,50,eval,,,,,0.76269,,,,-41.41874865227961,8.79303975375184,0.0,25.0
1275,51,train,-22.197037650605385,25,0,0.0,0.75794,0.17674866318702698,,-3.191049098968506,,,,
1300,52,train,-26.61255954171086,25,0,0.0,0.75319,1.1899807453155518,,-3.2313039302825928,,,,
1325,53,train,-20.24777401942378,25,0,0.0,0.74844,0.6781728267669678,,-4.340635299682617,,,,
1350,54,train,-29.29755170838261,25,0,0.0,0.74369,0.1732109636068344,,-4.131992340087891,,,,
1375,55,train,-32.28367350215811,25,0,0.0,0.73894,0.5691388249397278,,-4.12276554107666,,,,
1400,56,train,-23.235874455488883,25,0,0.0,0.73419,0.16259372234344482,,-4.093456268310547,,,,
1425,57,train,-23.94733026082957,25,0,0.0,0.7294400000000001,0.38978299498558044,,-4.164891719818115,,,,
1450,58,train,-21.70552972691347,25,0,0.0,0.7246900000000001,0.5926227569580078,,-4.107524871826172,,,,
1475,59,train,-33.057933847914015,25,0,0.0,0.71994,0.4001906216144562,,-4.205101490020752,,,,
1500,60,train,-15.792176658656485,25,0,0.0,0.71519,1.1122074127197266,,-4.094099998474121,,,,
1525,61,train,-30.490451794102942,25,0,0.0,0.71044,0.09322510659694672,,-5.173488616943359,,,,
1550,62,train,-32.84916614182724,25,0,0.0,0.7056899999999999,0.38762664794921875,,-4.756155967712402,,,,
1575,63,train,-33.60985084527152,25,0,0.0,0.70094,0.6243878602981567,,-4.755664348602295,,,,
1600,64,train,-26.76242459108533,25,0,0.0,0.6961900000000001,0.2284480631351471,,-4.693996429443359,,,,
1625,65,train,-27.63126027962596,25,0,0.0,0.69144,0.8937112092971802,,-4.866363525390625,,,,
1650,66,train,-29.20591785924987,25,0,0.0,0.68669,0.9226644039154053,,-4.618990898132324,,,,
1675,67,train,-26.850817291470868,25,0,0.0,0.68194,0.4124661684036255,,-4.66379976272583,,,,
1700,68,train,-21.92122739230442,25,0,0.0,0.67719,0.767634928226471,,-4.726048469543457,,,,
