step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,-28.293753005649318,25,0,0.0,0.99544,,,,,,,
50,2,train,-15.798873834295495,25,0,0.0,0.99069,,,,,,,
75,3,train,-18.4407385370563,25,0,0.0,0.98594,,,,,,,
100,4,train,-24.9967618599883,25,0,0.0,0.98119,,,,,,,
125,5,train,-24.47547491351065,25,0,0.0,0.97644,,,,,,,
150,6,train,-25.76696608659294,25,0,0.0,0.97169,,,,,,,
175,7,train,-25.598492639991573,25,0,0.0,0.96694,,,,,,,
200,8,train,-25.857527614576355,25,0,0.0,0.96219,,,,,,,
225,9,train,-24.68374051372786,25,0,0.0,0.95744,,,,,,,
250,10,train,-25.945041985525332,25,0,0.0,0.95269,,,,,,,
275,11,train,-24.679669888212008,25,0,0.0,0.94794,,,,,,,
300,12,train,-20.663579355983252,25,0,0.0,0.94319,,,,,,,
325,13,train,-19.971655742548066,25,0,0.0,0.93844,,,,,,,
350,14,train,-23.402154196635323,25,0,0.0,0.93369,,,,,,,
375,15,train,-18.718292655637867,25,0,0.0,0.92894,,,,,,,
400,16,train,-18.659229042086327,25,0,0.0,0.9241900000000001,,,,,,,
425,17,train,-27.18998272126453,25,0,0.0,0.91944,,,,,,,
450,18,train,-19.692211809997495,25,0,0.0,0.91469,,,,,,,
475,19,train,-17.67145155318595,25,0,0.0,0.90994,,,,,,,
500,20,train,-28.26884966014054,25,0,0.0,0.90519,0.7678361535072327,0.03293891251087189,,,,,
525,21,train,-28.245135007500778,25,0,0.0,0.90044,0.4135849177837372,-0.23980814218521118,,,,,
550,22,train,-27.680648447462218,25,0,0.0,0.89569,0.12891452014446259,-0.673089325428009,,,,,
575,23,train,-17.959345561683815,25,0,0.0,0.8909400000000001,0.04531767964363098,-0.8342296481132507,,,,,
600,24,train,-31.147658239732593,25,0,0.0,0.88619,0.057904813438653946,-0.7987902760505676,,,,,
625,25,train,-18.04890161720081,25,0,0.0,0.88144,0.03287476301193237,-0.8308782577514648,,,,,
650,26,train,-27.356153591157987,25,0,0.0,0.87669,0.04485061764717102,-0.8101649880409241,,,,,
675,27,train,-24.398228750978692,25,0,0.0,0.8719399999999999,0.04835750162601471,-0.8423686027526855,,,,,
700,28,train,-27.407636313867933,25,0,0.0,0.86719,0.7656776905059814,-0.8199130892753601,,,,,
725,29,train,-17.06361193676722,25,0,0.0,0.86244,0.1471647471189499,-1.8511466979980469,,,,,
750,30,train,-21.85550666499161,25,0,0.0,0.8576900000000001,0.05091644451022148,-1.7012029886245728,,,,,
775,31,train,-23.39096701970713,25,0,0.0,0.85294,0.07080475240945816,-1.6477766036987305,,,,,
800,32,train,-27.477076924861745,25,0,0.0,0.84819,0.0928911566734314,-1.7008718252182007,,,,,
825,33,train,-20.6135260635569,25,0,0.0,0.84344,0.08584161847829819,-1.686692237854004,,,,,
850,34,train,-27.63549340725274,25,0,0.0,0.8386899999999999,0.07111401110887527,-1.6585222482681274,,,,,
875,35,train,-21.226244156232088,25,0,0.0,0.83394,0.032026175409555435,-1.6937928199768066,,,,,
900,36,train,-35.68062253583836,25,0,0.0,0.82919,0.9023184776306152,-1.7156263589859009,,,,,
925,37,train,-29.192990394282017,25,0,0.0,0.8244400000000001,0.20687289535999298,-2.4034435749053955,,,,,
950,38,train,-35.44073968605583,25,0,0.0,0.81969,0.212100088596344,-2.5286293029785156,,,,,
975,39,train,-29.489366793336636,25,0,0.0,0.81494,0.16550399363040924,-2.5755465030670166,,,,,
1000,40,train,-26.298280677571473,25,0,0.0,0.81019,0.17884469032287598,-2.5306694507598877,,,,,
1025,41,train,-31.75071099250869,25,0,0.0,0.8054399999999999,0.1797534078359604,-2.5875403881073,,,,,
1050,42,train,-13.098468397940632,25,0,0.0,0.80069,0.07778774946928024,-2.5768930912017822,,,,,
1075,43,train,-27.57351038789611,25,0,0.0,0.79594,0.33387160301208496,-2.5653913021087646,,,,,
1100,44,train,-39.51533189827923,25,0,0.0,0.7911900000000001,1.0300616025924683,-2.692067861557007,,,,,
1125,45,train,-25.18458257567351,25,0,0.0,0.78644,0.5496643781661987,-3.1758623123168945,,,,,
1150,46,train,-22.021985423574414,25,0,0.0,0.78169,0.6187427639961243,-3.411158561706543,,,,,
1175,47,train,-27.211619236088595,25,0,0.0,0.77694,0.18986119329929352,-3.3216545581817627,,,,,
1200,48,train,-25.245223140930356,25,0,0.0,0.7721899999999999,0.12951527535915375,-3.3706634044647217,,,,,
1225,49,train,-26.2505656131398,25,0,0.0,0.76744,0.119230717420578,-3.3315365314483643,,,,,
1250,50,train,-16.51749949509521,25,0,0.0,0.76269,0.1873656064271927,-3.3899638652801514,,,,,
1250,50,eval,,,,,0.76269,,,,-44.62275112618591,9.541203631672884,0.0,25.0
1275,51,train,-16.71789306772619,25,0,0.0,0.75794,0.2718014717102051,-3.2792980670928955,,,,,
1300,52,train,-26.948648016513417,25,0,0.0,0.75319,1.0610076189041138,-3.3535168170928955,,,,,
1325,53,train,-23.280710927346384,25,0,0.0,0.74844,0.6735803484916687,-4.054711818695068,,,,,
1350,54,train,-28.955088029183138,25,0,0.0,0.74369,0.18850493431091309,-4.194016456604004,,,,,
1375,55,train,-27.463233362990664,25,0,0.0,0.73894,0.4790901839733124,-4.069479465484619,,,,,
1400,56,train,-20.416128451303265,25,0,0.0,0.73419,0.16698086261749268,-4.045093536376953,,,,,
1425,57,train,-22.484289690306397,25,0,0.0,0.7294400000000001,0.3301580846309662,-4.2462239265441895,,,,,
1450,58,train,-16.52246971437705,25,0,0.0,0.7246900000000001,0.5175288319587708,-4.054811954498291,,,,,
1475,59,train,-26.847591555997518,25,0,0.0,0.71994,0.578993022441864,-4.288412570953369,,,,,
1500,60,train,-18.019278225433958,25,0,0.0,0.71519,1.2015076875686646,-4.125229358673096,,,,,
1525,61,train,-25.600595798137046,25,0,0.0,0.71044,0.11025630682706833,-5.052558898925781,,,,,
1550,62,train,-26.886379089292376,25,0,0.0,0.7056899999999999,0.2806788384914398,-4.877657413482666,,,,,
1575,63,train,-27.571186403155085,25,0,0.0,0.70094,0.6275724768638611,-4.816955089569092,,,,,
1600,64,train,-21.124744226339633,25,0,0.0,0.6961900000000001,0.22819983959197998,-4.67009973526001,,,,,
1625,65,train,-18.239823176608756,25,0,0.0,0.69144,0.772563636302948,-4.896592617034912,,,,,
1650,66,train,-28.593211880613794,25,0,0.0,0.68669,0.9366054534912109,-4.638286113739014,,,,,
1675,67,train,-25.773451702236546,25,0,0.0,0.68194,0.3332103192806244,-4.75160551071167,,,,,
1700,68,train,-16.906996047195985,25,0,0.0,0.67719,0.6473615765571594,-4.686129093170166,,,,,
