step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,-28.293753005649318,25,0,0.0,0.99544,,,,,,,
50,2,train,-15.798873834295495,25,0,0.0,0.99069,,,,,,,
75,3,train,-18.4407385370563,25,0,0.0,0.98594,,,,,,,
100,4,train,-24.9967618599883,25,0,0.0,0.98119,,,,,,,
125,5,train,-24.47547491351065,25,0,0.0,0.97644,,,,,,,
150,6,train,-25.76696608659294,25,0,0.0,0.97169,,,,,,,
175,7,train,-25.598492639991573,25,0,0.0,0.96694,,,,,,,
200,8,train,-25.857527614576355,25,0,0.0,0.96219,,,,,,,
225,9,train,-24.68374051372786,25,0,0.0,0.95744,,,,,,,
250,10,train,-25.945041985525332,25,0,0.0,0.95269,,,,,,,
275,11,train,-24.679669888212008,25,0,0.0,0.94794,,,,,,,
300,12,train,-20.663579355983252,25,0,0.0,0.94319,,,,,,,
325,13,train,-19.971655742548066,25,0,0.0,0.93844,,,,,,,
350,14,train,-23.402154196635323,25,0,0.0,0.93369,,,,,,,
375,15,train,-18.718292655637867,25,0,0.0,0.92894,,,,,,,
400,16,train,-18.659229042086327,25,0,0.0,0.9241900000000001,,,,,,,
425,17,train,-27.18998272126453,25,0,0.0,0.91944,,,,,,,
450,18,train,-19.692211809997495,25,0,0.0,0.91469,,,,,,,
475,19,train,-17.67145155318595,25,0,0.0,0.90994,,,,,,,
500,20,train,-28.26884966014054,25,0,0.0,0.90519,0.8688508868217468,,0.025082934647798538,,,,
525,21,train,-29.074405682036243,25,0,0.0,0.90044,0.45406749844551086,,-0.27144044637680054,,,,
550,22,train,-27.698820022460303,25,0,0.0,0.89569,0.1670018434524536,,-0.9733468294143677,,,,
575,23,train,-16.787937538876875,25,0,0.0,0.8909400000000001,0.0549623928964138,,-0.8149077892303467,,,,
600,24,train,-32.91186054719767,25,0,0.0,0.88619,0.06493157148361206,,-0.8822985291481018,,,,
625,25,train,-16.998892401938658,25,0,0.0,0.88144,0.039533477276563644,,-0.8768674731254578,,,,
650,26,train,-21.97638864335793,25,0,0.0,0.87669,0.029626920819282532,,-0.8305826187133789,,,,
675,27,train,-26.179077909540347,25,0,0.0,0.8719399999999999,0.03886962682008743,,-0.8799710273742676,,,,
700,28,train,-28.17292178248139,25,0,0.0,0.86719,0.7364858388900757,,-0.8673574328422546,,,,
725,29,train,-18.16612706249242,25,0,0.0,0.86244,0.09455347806215286,,-1.606953501701355,,,,
750,30,train,-20.317351476068627,25,0,0.0,0.8576900000000001,0.056532520800828934,,-1.7271902561187744,,,,
775,31,train,-22.25819658916975,25,0,0.0,0.85294,0.05795618146657944,,-1.6415170431137085,,,,
800,32,train,-20.709983863028885,25,0,0.0,0.84819,0.07206710427999496,,-1.772221326828003,,,,
825,33,train,-15.312967419009105,25,0,0.0,0.84344,0.06728783249855042,,-1.7194582223892212,,,,
850,34,train,-23.729345181914532,25,0,0.0,0.8386899999999999,0.04826480150222778,,-1.6874133348464966,,,,
875,35,train,-20.98083936576136,25,0,0.0,0.83394,0.024349704384803772,,-1.7067880630493164,,,,
900,36,train,-35.043000098747186,25,0,0.0,0.82919,0.8476418256759644,,-1.772153615951538,,,,
925,37,train,-29.121632918935546,25,0,0.0,0.8244400000000001,0.20578519999980927,,-2.470794916152954,,,,
950,38,train,-25.84904382177679,25,0,0.0,0.81969,0.20563392341136932,,-2.4842910766601562,,,,
975,39,train,-22.637132698549223,25,0,0.0,0.81494,0.14449797570705414,,-2.5576305389404297,,,,
1000,40,train,-25.95521472809571,25,0,0.0,0.81019,0.14069510996341705,,-2.5006957054138184,,,,
1025,41,train,-25.278417800383632,25,0,0.0,0.8054399999999999,0.18569549918174744,,-2.4995014667510986,,,,
1050,42,train,-13.307273767149027,25,0,0.0,0.80069,0.05396253615617752,,-2.5423390865325928,,,,
1075,43,train,-21.104097249588875,25,0,0.0,0.79594,0.3188444972038269,,-2.411008596420288,,,,
1100,44,train,-26.685479104672204,25,0,0.0,0.7911900000000001,0.9603559970855713,,-2.6873416900634766,,,,
1125,45,train,-18.016058054753394,25,0,0.0,0.78644,0.4242887496948242,,-3.0305826663970947,,,,
1150,46,train,-22.887880459038524,25,0,0.0,0.78169,0.7046492695808411,,-3.1977603435516357,,,,
1175,47,train,-20.767122511125216,25,0,0.0,0.77694,0.15504156053066254,,-3.211172103881836,,,,
1200,48,train,-18.56124580425748,25,0,0.0,0.7721899999999999,0.14986324310302734,,-3.313267469406128,,,,
1225,49,train,-23.098995037546203,25,0,0.0,0.76744,0.08450939506292343,,-3.082625389099121,,,,
1250,50,train,-20.740352175212582,25,0,0.0,0.76269,0.1652218997478485,,-3.1541666984558105,,,,
1250,50,eval,,,,,0.76269,,,,-54.20214002714961,19.446766962436715,0.0,25.0
1275,51,train,-17.56563148112801,25,0,0.0,0.75794,0.15240412950515747,,-2.9046852588653564,,,,
1300,52,train,-13.336986488482431,25,0,0.0,0.75319,0.8125616312026978,,-3.121490955352783,,,,
1325,53,train,-16.356545098723274,25,0,0.0,0.74844,0.7788423895835876,,-3.7850418090820312,,,,
1350,54,train,-21.566764409431492,25,0,0.0,0.74369,0.20077401399612427,,-3.990830898284912,,,,
1375,55,train,-22.403280207141062,25,0,0.0,0.73894,0.3905656635761261,,-3.6937146186828613,,,,
1400,56,train,-21.31188860109091,25,0,0.0,0.73419,0.10752275586128235,,-3.674038887023926,,,,
1425,57,train,-24.405232775130408,25,0,0.0,0.7294400000000001,0.3784407675266266,,-3.9238057136535645,,,,
1450,58,train,-26.011891703717005,25,0,0.0,0.7246900000000001,0.5320201516151428,,-3.7074813842773438,,,,
1475,59,train,-26.66775905802585,25,0,0.0,0.71994,0.5851855278015137,,-3.8717124462127686,,,,
1500,60,train,-24.307225369021875,25,0,0.0,0.71519,0.7683306336402893,,-3.8374974727630615,,,,
1525,61,train,-23.947399309310313,25,0,0.0,0.71044,0.08909600973129272,,-4.334848403930664,,,,
1550,62,train,-15.094167785658533,25,0,0.0,0.7056899999999999,0.25364068150520325,,-4.2012505531311035,,,,
1575,63,train,-27.006050142098218,25,0,0.0,0.70094,0.5114284753799438,,-4.027627468109131,,,,
1600,64,train,-19.947128132291027,25,0,0.0,0.6961900000000001,0.22900348901748657,,-4.157597541809082,,,,
1625,65,train,-23.149500286820093,25,0,0.0,0.69144,0.5057522058486938,,-4.374164581298828,,,,
1650,66,train,-20.83204940289479,25,0,0.0,0.68669,0.6343153715133667,,-4.075552940368652,,,,
1675,67,train,-26.149053673605746,25,0,0.0,0.68194,0.3222510814666748,,-4.205105781555176,,,,
1700,68,train,-19.457009784369298,25,0,0.0,0.67719,0.43372464179992676,,-4.121504306793213,,,,
