step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
25,1,train,-28.293753005649318,25,0,0.0,0.99544,,,,,,,
50,2,train,-15.798873834295495,25,0,0.0,0.99069,,,,,,,
75,3,train,-18.4407385370563,25,0,0.0,0.98594,,,,,,,
100,4,train,-24.9967618599883,25,0,0.0,0.98119,,,,,,,
125,5,train,-24.47547491351065,25,0,0.0,0.97644,,,,,,,
150,6,train,-25.76696608659294,25,0,0.0,0.97169,,,,,,,
175,7,train,-25.598492639991573,25,0,0.0,0.96694,,,,,,,
200,8,train,-25.857527614576355,25,0,0.0,0.96219,,,,,,,
225,9,train,-24.68374051372786,25,0,0.0,0.95744,,,,,,,
250,10,train,-25.945041985525332,25,0,0.0,0.95269,,,,,,,
275,11,train,-24.679669888212008,25,0,0.0,0.94794,,,,,,,
300,12,train,-20.663579355983252,25,0,0.0,0.94319,,,,,,,
325,13,train,-19.971655742548066,25,0,0.0,0.93844,,,,,,,
350,14,train,-23.402154196635323,25,0,0.0,0.93369,,,,,,,
375,15,train,-18.718292655637867,25,0,0.0,0.92894,,,,,,,
400,16,train,-18.659229042086327,25,0,0.0,0.9241900000000001,,,,,,,
425,17,train,-27.18998272126453,25,0,0.0,0.91944,,,,,,,
450,18,train,-19.692211809997495,25,0,0.0,0.91469,,,,,,,
475,19,train,-17.67145155318595,25,0,0.0,0.90994,,,,,,,
500,20,train,-28.26884966014054,25,0,0.0,0.90519,0.5278259515762329,,0.09881673753261566,,,,
525,21,train,-28.219397566077298,25,0,0.0,0.90044,0.07201497256755829,,-0.570651113986969,,,,
550,22,train,-27.959142137945236,25,0,0.0,0.89569,0.06890188157558441,,-0.5849471688270569,,,,
575,23,train,-15.03888378229016,25,0,0.0,0.8909400000000001,0.038474492728710175,,-0.5943871140480042,,,,
600,24,train,-32.91186054719767,25,0,0.0,0.88619,0.05454487353563309,,-0.6032916307449341,,,,
625,25,train,-19.85424900161768,25,0,0.0,0.88144,0.02110261470079422,,-0.5846053957939148,,,,
650,26,train,-22.75637667219399,25,0,0.0,0.87669,0.021942030638456345,,-0.5775583982467651,,,,
675,27,train,-28.62896776497622,25,0,0.0,0.8719399999999999,0.03377629816532135,,-0.6128982305526733,,,,
700,28,train,-27.931582096819344,25,0,0.0,0.86719,0.71140456199646,,-0.596372127532959,,,,
725,29,train,-19.658465111518854,25,0,0.0,0.86244,0.08158958703279495,,-1.308510661125183,,,,
750,30,train,-20.78431089450369,25,0,0.0,0.8576900000000001,0.03566531091928482,,-1.444568395614624,,,,
775,31,train,-24.401877161069404,25,0,0.0,0.85294,0.04682936891913414,,-1.3947651386260986,,,,
800,32,train,-28.061767583101197,25,0,0.0,0.84819,0.06485104560852051,,-1.4644291400909424,,,,
825,33,train,-20.6135260635569,25,0,0.0,0.84344,0.03687300533056259,,-1.483829379081726,,,,
850,34,train,-26.738775778017736,25,0,0.0,0.8386899999999999,0.044556159526109695,,-1.4111117124557495,,,,
875,35,train,-21.226244156232088,25,0,0.0,0.83394,0.013644853606820107,,-1.4217796325683594,,,,
900,36,train,-37.21326067553688,25,0,0.0,0.82919,0.8469375371932983,,-1.4694634675979614,,,,
925,37,train,-32.37657462885909,25,0,0.0,0.8244400000000001,0.19085144996643066,,-2.156036853790283,,,,
950,38,train,-32.2765868467235,25,0,0.0,0.81969,0.15433141589164734,,-2.1995887756347656,,,,
975,39,train,-21.144101537506717,25,0,0.0,0.81494,0.11490453034639359,,-2.27194881439209,,,,
1000,40,train,-23.793833992403982,25,0,0.0,0.81019,0.12208299338817596,,-2.206228733062744,,,,
1025,41,train,-27.266336082077707,25,0,0.0,0.8054399999999999,0.13791117072105408,,-2.256566286087036,,,,
1050,42,train,-15.620739475959411,25,0,0.0,0.80069,0.045109108090400696,,-2.2409491539001465,,,,
1075,43,train,-23.354683192664353,25,0,0.0,0.79594,0.1760646253824234,,-2.205183982849121,,,,
1100,44,train,-31.896051568475844,25,0,0.0,0.7911900000000001,0.7228240370750427,,-2.374835252761841,,,,
1125,45,train,-22.933198795096935,25,0,0.0,0.78644,0.26092737913131714,,-2.8689122200012207,,,,
1150,46,train,-22.54895273352058,25,0,0.0,0.78169,0.5629245042800903,,-3.0146710872650146,,,,
1175,47,train,-25.551934634841245,25,0,0.0,0.77694,0.10586284846067429,,-2.9484353065490723,,,,
1200,48,train,-22.530939691998352,25,0,0.0,0.7721899999999999,0.10119198262691498,,-2.9284019470214844,,,,
1225,49,train,-28.156773302083614,25,0,0.0,0.76744,0.0730237364768982,,-2.888737201690674,,,,
1250,50,train,-20.855085648280657,25,0,0.0,0.76269,0.10410960018634796,,-2.9324769973754883,,,,
1250,50,eval,,,,,0.76269,,,,-42.76654493130964,18.65539727982858,0.0,25.0
1275,51,train,-15.093251573241929,25,0,0.0,0.75794,0.13077419996261597,,-2.6883344650268555,,,,
1300,52,train,-24.517667952851717,25,0,0.0,0.75319,0.6456705331802368,,-2.884047031402588,,,,
1325,53,train,-21.696430933928745,25,0,0.0,0.74844,0.42767488956451416,,-3.755528688430786,,,,
1350,54,train,-24.977561894237795,25,0,0.0,0.74369,0.06846818327903748,,-3.747385025024414,,,,
1375,55,train,-28.834344041571867,25,0,0.0,0.73894,0.18338477611541748,,-3.5096638202667236,,,,
1400,56,train,-20.90255917541599,25,0,0.0,0.73419,0.08885329961776733,,-3.455075740814209,,,,
1425,57,train,-23.137682965893216,25,0,0.0,0.7294400000000001,0.13850687444210052,,-3.684385061264038,,,,
1450,58,train,-23.356083930465978,25,0,0.0,0.7246900000000001,0.30173978209495544,,-3.4908018112182617,,,,
1475,59,train,-24.872178499431687,25,0,0.0,0.71994,0.215323805809021,,-3.6363525390625,,,,
1500,60,train,-24.77486981480672,25,0,0.0,0.71519,0.7130893468856812,,-3.5854904651641846,,,,
1525,61,train,-24.04113606705228,25,0,0.0,0.71044,0.05459354445338249,,-4.382890701293945,,,,
1550,62,train,-28.847280141146676,25,0,0.0,0.7056899999999999,0.1861039102077484,,-4.057394981384277,,,,
1575,63,train,-29.017517536839613,25,0,0.0,0.70094,0.29517456889152527,,-3.936460494995117,,,,
1600,64,train,-25.94774397037573,25,0,0.0,0.6961900000000001,0.17690494656562805,,-3.970010280609131,,,,
1625,65,train,-20.85903985536156,25,0,0.0,0.69144,0.5769970417022705,,-4.218071937561035,,,,
1650,66,train,-27.981812942888993,25,0,0.0,0.68669,0.6199284791946411,,-3.8990046977996826,,,,
1675,67,train,-26.706586230281573,25,0,0.0,0.68194,0.2010726034641266,,-3.989124298095703,,,,
1700,68,train,-16.999054760864954,25,0,0.0,0.67719,0.310335636138916,,-3.953587055206299,,,,
