step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
40,1,train,0.5125000000000001,40,0,0.0,0.99753,,,,,,,
80,2,train,-0.06250000000000008,40,0,0.0,0.9949966666666666,,,,,,,
120,3,train,-0.07499999999999983,40,0,0.0,0.9924633333333334,,,,,,,
160,4,train,-0.41250000000000037,40,0,0.0,0.98993,,,,,,,
200,5,train,-1.1500000000000004,40,0,0.0,0.9873966666666667,,,,,,,
240,6,train,0.5749999999999997,40,0,0.0,0.9848633333333333,,,,,,,
280,7,train,-1.8625000000000007,40,0,0.0,0.98233,,,,,,,
320,8,train,0.7124999999999999,40,0,0.0,0.9797966666666666,,,,,,,
360,9,train,-1.2875000000000003,40,0,0.0,0.9772633333333334,,,,,,,
400,10,train,0.9624999999999996,40,0,0.0,0.97473,,,,,,,
440,11,train,-1.4874999999999998,40,0,0.0,0.9721966666666667,,,,,,,
480,12,train,-0.9375,40,0,0.0,0.9696633333333333,,,,,,,
520,13,train,0.9124999999999998,40,0,0.0,0.96713,,,,,,,
560,14,train,-0.37500000000000006,40,0,0.0,0.9645966666666667,,,,,,,
600,15,train,-1.4125000000000003,40,0,0.0,0.9620633333333334,,,,,,,
640,16,train,-0.024999999999999925,40,0,0.0,0.95953,,,,,,,
680,17,train,-0.37500000000000017,40,0,0.0,0.9569966666666667,,,,,,,
720,18,train,-0.3374999999999999,40,0,0.0,0.9544633333333333,,,,,,,
760,19,train,0.4249999999999999,40,0,0.0,0.95193,,,,,,,
800,20,train,-0.4125,40,0,0.0,0.9493966666666667,,,,,,,
840,21,train,-0.5375000000000001,40,0,0.0,0.9468633333333334,,,,,,,
880,22,train,-0.9000000000000001,40,0,0.0,0.94433,,,,,,,
920,23,train,-0.22499999999999976,40,0,0.0,0.9417966666666666,,,,,,,
960,24,train,0.4,40,0,0.0,0.9392633333333333,,,,,,,
1000,25,train,0.5750000000000003,40,0,0.0,0.93673,0.016037436202168465,,0.01657453365623951,,,,
1040,26,train,-1.7875000000000003,40,0,0.0,0.9341966666666667,0.027708852663636208,,0.013851041905581951,,,,
1080,27,train,-0.5000000000000002,40,0,0.0,0.9316633333333333,0.03500473499298096,,0.009913748130202293,,,,
1120,28,train,-0.2625000000000002,40,0,0.0,0.92913,0.02967473864555359,,0.007016136310994625,,,,
1160,29,train,0.21250000000000002,40,0,0.0,0.9265966666666666,0.022024326026439667,,0.018535733222961426,,,,
1200,30,train,-0.48750000000000016,40,0,0.0,0.9240633333333333,0.024253543466329575,,0.01758909970521927,,,,
1240,31,train,-1.0375000000000003,40,0,0.0,0.92153,0.03648167848587036,,0.09994015097618103,,,,
1280,32,train,-1.35,40,0,0.0,0.9189966666666667,0.02106131985783577,,0.08841028064489365,,,,
1320,33,train,-0.2750000000000002,40,0,0.0,0.9164633333333333,0.03298672288656235,,0.11142940819263458,,,,
1360,34,train,-0.6500000000000001,40,0,0.0,0.91393,0.013671871274709702,,0.10017787665128708,,,,
1400,35,train,-0.03750000000000018,40,0,0.0,0.9113966666666666,0.03502646088600159,,0.09601716697216034,,,,
1440,36,train,-1.5624999999999996,40,0,0.0,0.9088633333333334,0.02107822895050049,,0.25721633434295654,,,,
1480,37,train,-1.942890293094024e-16,40,0,0.0,0.90633,0.012887084856629372,,0.2817065119743347,,,,
1520,38,train,-0.22500000000000023,40,0,0.0,0.9037966666666667,0.025165170431137085,,0.2836325764656067,,,,
1560,39,train,0.20000000000000007,40,0,0.0,0.9012633333333333,0.02922363020479679,,0.26277533173561096,,,,
1600,40,train,0.7499999999999993,40,0,0.0,0.89873,0.061944715678691864,,0.2797396779060364,,,,
1640,41,train,-0.3000000000000002,40,0,0.0,0.8961966666666666,0.029717247933149338,,0.41503190994262695,,,,
1680,42,train,-0.3250000000000001,40,0,0.0,0.8936633333333334,0.024476027116179466,,0.44738152623176575,,,,
1720,43,train,0.8375000000000001,40,0,0.0,0.89113,0.01924331858754158,,0.4118849039077759,,,,
1760,44,train,0.38749999999999984,40,0,0.0,0.8885966666666667,0.017909985035657883,,0.48099052906036377,,,,
1800,45,train,0.14999999999999994,40,0,0.0,0.8860633333333333,0.05147385224699974,,0.4421520233154297,,,,
1840,46,train,-0.5625,40,0,0.0,0.88353,0.029338056221604347,,0.6917164325714111,,,,
1880,47,train,0.4250000000000001,40,0,0.0,0.8809966666666667,0.016697069630026817,,0.6745195984840393,,,,
1920,48,train,0.012499999999999699,40,0,0.0,0.8784633333333334,0.00983811542391777,,0.6081326007843018,,,,
1960,49,train,-0.8125000000000001,40,0,0.0,0.87593,0.03387104347348213,,0.6332635879516602,,,,
2000,50,train,-0.2499999999999999,40,0,0.0,0.8733966666666666,0.07879285514354706,,0.6460857391357422,,,,
2040,51,train,0.28749999999999976,40,0,0.0,0.8708633333333333,0.015514415688812733,,0.8901785612106323,,,,
2080,52,train,0.11250000000000018,40,0,0.0,0.86833,0.06039334461092949,,0.8587794899940491,,,,
2120,53,train,-1.35,40,0,0.0,0.8657966666666667,0.08948379009962082,,0.8146035671234131,,,,
2160,54,train,0.8125000000000002,40,0,0.0,0.8632633333333334,0.04625413566827774,,0.9174532890319824,,,,
2200,55,train,-0.9250000000000003,40,0,0.0,0.86073,0.14001813530921936,,0.8091261386871338,,,,
2240,56,train,0.8374999999999998,40,0,0.0,0.8581966666666667,0.06194213405251503,,1.0654332637786865,,,,
2280,57,train,0.11249999999999996,40,0,0.0,0.8556633333333333,0.03783445432782173,,1.0367038249969482,,,,
2320,58,train,0.9749999999999999,40,0,0.0,0.85313,0.044619809836149216,,1.2269234657287598,,,,
2360,59,train,-0.08749999999999995,40,0,0.0,0.8505966666666667,0.027924437075853348,,1.0747995376586914,,,,
2400,60,train,-0.6499999999999999,40,0,0.0,0.8480633333333334,0.10271978378295898,,1.0643057823181152,,,,
2440,61,train,-0.28750000000000026,40,0,0.0,0.84553,0.11052180826663971,,1.3067829608917236,,,,
2480,62,train,-0.012500000000000074,40,0,0.0,0.8429966666666666,0.05089498683810234,,1.3996057510375977,,,,
2520,63,train,-0.6375000000000002,40,0,0.0,0.8404633333333333,0.022329505532979965,,1.403923749923706,,,,
2560,64,train,0.23749999999999993,40,0,0.0,0.8379300000000001,0.04654209688305855,,1.3709176778793335,,,,
2600,65,train,-1.1499999999999997,40,0,0.0,0.8353966666666667,0.1948152631521225,,1.5204095840454102,,,,
2640,66,train,0.475,40,0,0.0,0.8328633333333333,0.020795509219169617,,1.7325479984283447,,,,
2680,67,train,0.1624999999999998,40,0,0.0,0.83033,0.025475218892097473,,1.649108648300171,,,,
2720,68,train,1.05,40,0,0.0,0.8277966666666667,0.10882998257875443,,1.6738759279251099,,,,
2760,69,train,-2.349999999999999,40,0,0.0,0.8252633333333333,0.11286626011133194,,1.6855900287628174,,,,
2800,70,train,0.05000000000000091,40,0,0.0,0.82273,0.24370473623275757,,1.539351463317871,,,,
2840,71,train,0.07499999999999996,40,0,0.0,0.8201966666666667,0.03065790981054306,,2.057547092437744,,,,
2880,72,train,1.3375000000000006,40,0,0.0,0.8176633333333333,0.12262089550495148,,2.110858201980591,,,,
2920,73,train,-0.5874999999999998,40,0,0.0,0.81513,0.01560065895318985,,2.0965094566345215,,,,
2960,74,train,-0.8875000000000003,40,0,0.0,0.8125966666666666,0.050358839333057404,,2.2611355781555176,,,,
