step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
40,1,train,0.3750000000000003,40,0,0.0,0.9753000000000001,,,,,,,
80,2,train,-1.1500000000000001,40,0,0.0,0.9499666666666666,,,,,,,
120,3,train,-0.6500000000000004,40,0,0.0,0.9246333333333333,,,,,,,
160,4,train,0.7,40,0,0.0,0.8993,,,,,,,
200,5,train,0.02499999999999998,40,0,0.0,0.8739666666666667,0.012188224121928215,,-0.00835531484335661,,,,
240,6,train,0.9249999999999999,40,0,0.0,0.8486333333333334,0.011006303131580353,,-0.0041582114063203335,,,,
280,7,train,-0.825,40,0,0.0,0.8233,0.002342352643609047,,-0.009186303243041039,,,,
320,8,train,0.15000000000000024,40,0,0.0,0.7979666666666667,0.0030525540933012962,,-0.0012069118674844503,,,,
360,9,train,0.20000000000000007,40,0,0.0,0.7726333333333333,0.02738913893699646,,0.003339405171573162,,,,
400,10,train,-0.22500000000000003,40,0,0.0,0.7473000000000001,0.041104160249233246,,0.006050853058695793,,,,
440,11,train,-0.17500000000000002,40,0,0.0,0.7219666666666666,0.021441005170345306,,0.035287197679281235,,,,
480,12,train,1.55,40,0,0.0,0.6966333333333333,0.012503533624112606,,0.03698749095201492,,,,
520,13,train,0.6250000000000006,40,0,0.0,0.6713,0.010797438211739063,,0.06539686769247055,,,,
560,14,train,-0.22499999999999992,40,0,0.0,0.6459666666666667,0.024434451013803482,,0.06553582847118378,,,,
600,15,train,-0.775,40,0,0.0,0.6206333333333334,0.014879648573696613,,0.07085790485143661,,,,
640,16,train,0.8499999999999998,40,0,0.0,0.5953,0.008270259946584702,,0.1696222871541977,,,,
680,17,train,-0.0749999999999999,40,0,0.0,0.5699666666666667,0.008215412497520447,,0.12352205812931061,,,,
720,18,train,0.5249999999999999,40,0,0.0,0.5446333333333333,0.01012648269534111,,0.15194633603096008,,,,
760,19,train,0.15,40,0,0.0,0.5193000000000001,0.026095297187566757,,0.1603735387325287,,,,
800,20,train,1.2999999999999996,40,0,0.0,0.4939666666666668,0.017352394759655,,0.14745552837848663,,,,
840,21,train,0.475,40,0,0.0,0.46863333333333335,0.012857404537498951,,0.24966271221637726,,,,
880,22,train,1.0749999999999997,40,0,0.0,0.4433,0.011398249305784702,,0.23308292031288147,,,,
920,23,train,0.6000000000000002,40,0,0.0,0.4179666666666667,0.02180797979235649,,0.24558168649673462,,,,
960,24,train,0.5750000000000001,40,0,0.0,0.3926333333333334,0.01395347248762846,,0.24032649397850037,,,,
1000,25,train,1.325,40,0,0.0,0.36729999999999996,0.05246468260884285,,0.27589210867881775,,,,
1000,25,eval,,,,,0.36729999999999996,,,,-0.12499999999999986,0.4636809247747851,0.0,40.0
1040,26,train,0.7750000000000005,40,0,0.0,0.34196666666666675,0.044591035693883896,,0.31511664390563965,,,,
1080,27,train,0.7250000000000001,40,0,0.0,0.3166333333333333,0.047676995396614075,,0.3424640893936157,,,,
1120,28,train,1.05,40,0,0.0,0.2913,0.03421567752957344,,0.2725253403186798,,,,
1160,29,train,1.4750000000000005,40,0,0.0,0.2659666666666668,0.01187959499657154,,0.2943844497203827,,,,
1200,30,train,1.3,40,0,0.0,0.24063333333333337,0.026773564517498016,,0.3361113369464874,,,,
1240,31,train,-0.22499999999999987,40,0,0.0,0.21530000000000005,0.004797575995326042,,0.37852048873901367,,,,
1280,32,train,0.12499999999999983,40,0,0.0,0.18996666666666673,0.014803687110543251,,0.3973185122013092,,,,
1320,33,train,0.3499999999999999,40,0,0.0,0.1646333333333334,0.014341452158987522,,0.3630763292312622,,,,
1360,34,train,1.3499999999999996,40,0,0.0,0.13929999999999998,0.010091498494148254,,0.3362024426460266,,,,
1400,35,train,0.6749999999999999,40,0,0.0,0.11396666666666677,0.04283910244703293,,0.4012575149536133,,,,
1440,36,train,0.6749999999999994,40,0,0.0,0.08863333333333334,0.005921459291130304,,0.4844244420528412,,,,
1480,37,train,-0.1250000000000002,40,0,0.0,0.06330000000000002,0.018536441028118134,,0.4830767810344696,,,,
1520,38,train,-0.22500000000000012,40,0,0.0,0.05,0.023963183164596558,,0.48386430740356445,,,,
1560,39,train,0.8250000000000002,40,0,0.0,0.05,0.005154033657163382,,0.44757556915283203,,,,
1600,40,train,1.2499999999999998,40,0,0.0,0.05,0.03365929052233696,,0.46902185678482056,,,,
1640,41,train,-0.5499999999999999,40,0,0.0,0.05,0.014809081330895424,,0.5752915740013123,,,,
1680,42,train,0.6249999999999996,40,0,0.0,0.05,0.007210459094494581,,0.5277503728866577,,,,
1720,43,train,0.1999999999999999,40,0,0.0,0.05,0.044233255088329315,,0.543277382850647,,,,
1760,44,train,-1.5999999999999999,40,0,0.0,0.05,0.02428041212260723,,0.41758909821510315,,,,
1800,45,train,0.34999999999999976,40,0,0.0,0.05,0.004083857871592045,,0.44688284397125244,,,,
1840,46,train,1.3250000000000004,40,0,0.0,0.05,0.04573988914489746,,0.5426925420761108,,,,
1880,47,train,0.7000000000000005,40,0,0.0,0.05,0.03189004957675934,,0.4763542413711548,,,,
1920,48,train,1.1749999999999996,40,0,0.0,0.05,0.017925534397363663,,0.4923058748245239,,,,
1960,49,train,0.6749999999999995,40,0,0.0,0.05,0.023194175213575363,,0.5858526229858398,,,,
2000,50,train,0.625,40,0,0.0,0.05,0.033790700137615204,,0.5925900936126709,,,,
2000,50,eval,,,,,0.05,,,,0.08499999999999987,0.23748684174075832,0.0,40.0
2040,51,train,0.5999999999999996,40,0,0.0,0.05,0.026730017736554146,,0.6010937690734863,,,,
2080,52,train,0.6999999999999997,40,0,0.0,0.05,0.04148673266172409,,0.5233473777770996,,,,
