step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
20,1,train,-0.41666666666666674,20,0,0.0,0.99639,,,,,,,
40,2,train,0.29999999999999977,20,0,0.0,0.99259,,,,,,,
60,3,train,-0.36666666666666675,20,0,0.0,0.98879,,,,,,,
80,4,train,-0.6666666666666667,20,0,0.0,0.98499,,,,,,,
100,5,train,-0.4166666666666668,20,0,0.0,0.98119,,,,,,,
120,6,train,-0.5000000000000001,20,0,0.0,0.97739,,,,,,,
140,7,train,0.6333333333333335,20,0,0.0,0.97359,,,,,,,
160,8,train,0.3,20,0,0.0,0.96979,,,,,,,
180,9,train,0.04999999999999989,20,0,0.0,0.96599,,,,,,,
183,10,train,2.2199999999999998,3,1,0.1,0.96542,,,,,,,
203,11,train,-0.16666666666666666,20,0,0.09090909090909091,0.96162,,,,,,,
223,12,train,0.7333333333333331,20,0,0.08333333333333333,0.95782,,,,,,,
243,13,train,-0.04999999999999994,20,0,0.07692307692307693,0.95402,,,,,,,
263,14,train,0.46666666666666656,20,0,0.07142857142857142,0.95022,,,,,,,
283,15,train,-0.28333333333333344,20,0,0.06666666666666667,0.94642,,,,,,,
303,16,train,-0.40000000000000013,20,0,0.0625,0.94262,,,,,,,
323,17,train,-0.05000000000000011,20,0,0.058823529411764705,0.93882,,,,,,,
343,18,train,0.38333333333333336,20,0,0.05555555555555555,0.93502,,,,,,,
363,19,train,-0.3666666666666667,20,0,0.05263157894736842,0.9312199999999999,,,,,,,
383,20,train,0.2833333333333335,20,0,0.05,0.92742,,,,,,,
403,21,train,0.3,20,0,0.047619047619047616,0.92362,,,,,,,
423,22,train,0.7166666666666667,20,0,0.045454545454545456,0.91982,,,,,,,
443,23,train,-0.6666666666666667,20,0,0.043478260869565216,0.9160200000000001,,,,,,,
459,24,train,2.09,16,1,0.08333333333333333,0.91298,,,,,,,
475,25,train,2.256666666666667,16,1,0.12,0.90994,,,,,,,
495,26,train,0.05000000000000004,20,0,0.11538461538461539,0.90614,,,,,,,
515,27,train,0.46666666666666673,20,0,0.1111111111111111,0.90234,0.02063189260661602,0.05193766951560974,,,,,
535,28,train,-0.03333333333333344,20,0,0.10714285714285714,0.89854,0.021577678620815277,0.13337182998657227,,,,,
555,29,train,2.3833333333333333,20,1,0.13793103448275862,0.89474,0.019198061898350716,0.12743130326271057,,,,,
575,30,train,0.6666666666666666,20,0,0.13333333333333333,0.8909400000000001,0.018406756222248077,0.11842180043458939,,,,,
595,31,train,0.4666666666666668,20,0,0.12903225806451613,0.88714,0.014143716543912888,0.12354259192943573,,,,,
615,32,train,1.9666666666666668,20,1,0.15625,0.88334,0.055478326976299286,0.11596152931451797,,,,,
635,33,train,0.45,20,0,0.15151515151515152,0.87954,0.023914292454719543,0.11601464450359344,,,,,
655,34,train,0.46666666666666645,20,0,0.14705882352941177,0.87574,0.04278817027807236,0.12017326056957245,,,,,
660,35,train,2.283333333333333,5,1,0.17142857142857143,0.87479,0.01955345645546913,0.1309339851140976,,,,,
680,36,train,-0.033333333333333354,20,0,0.16666666666666666,0.87099,0.02200232818722725,0.14488549530506134,,,,,
700,37,train,0.46666666666666673,20,0,0.16216216216216217,0.86719,0.056232791393995285,0.14493787288665771,,,,,
720,38,train,0.0666666666666667,20,0,0.15789473684210525,0.86339,0.01865697279572487,0.28854668140411377,,,,,
740,39,train,0.5,20,0,0.15384615384615385,0.8595900000000001,0.05028487741947174,0.23975840210914612,,,,,
760,40,train,0.23333333333333317,20,0,0.15,0.85579,0.019753120839595795,0.25804758071899414,,,,,
780,41,train,0.36666666666666664,20,0,0.14634146341463414,0.85199,0.038590215146541595,0.238092303276062,,,,,
792,42,train,2.38,12,1,0.16666666666666666,0.84971,0.043480344116687775,0.2516448497772217,,,,,
812,43,train,0.8833333333333332,20,0,0.16279069767441862,0.8459099999999999,0.02842346951365471,0.24821382761001587,,,,,
832,44,train,0.55,20,0,0.1590909090909091,0.84211,0.038968879729509354,0.2530781030654907,,,,,
852,45,train,0.30000000000000016,20,0,0.15555555555555556,0.83831,0.011401653289794922,0.23691177368164062,,,,,
872,46,train,0.6333333333333334,20,0,0.15217391304347827,0.83451,0.04504092037677765,0.24793103337287903,,,,,
892,47,train,0.6666666666666666,20,0,0.14893617021276595,0.8307100000000001,0.018457915633916855,0.25233787298202515,,,,,
912,48,train,0.6333333333333332,20,0,0.14583333333333334,0.82691,0.024080047383904457,0.3336033523082733,,,,,
932,49,train,0.6333333333333334,20,0,0.14285714285714285,0.82311,0.0554395355284214,0.3281698226928711,,,,,
946,50,train,2.0933333333333333,14,1,0.16,0.82045,0.02854650840163231,0.331714928150177,,,,,
946,50,eval,,,,,0.82045,,,,0.8154999999999999,0.9962854761563074,0.25,15.95
966,51,train,0.40000000000000013,20,0,0.1568627450980392,0.81665,0.02483418956398964,0.31659436225891113,,,,,
986,52,train,0.4166666666666667,20,0,0.15384615384615385,0.81285,0.06819257885217667,0.34364762902259827,,,,,
1006,53,train,-0.25,20,0,0.1509433962264151,0.80905,0.057383522391319275,0.35456010699272156,,,,,
1026,54,train,1.0000000000000002,20,0,0.14814814814814814,0.80525,0.024898037314414978,0.33317601680755615,,,,,
1046,55,train,0.7166666666666665,20,0,0.14545454545454545,0.80145,0.041798993945121765,0.33949708938598633,,,,,
1066,56,train,1.0833333333333335,20,0,0.14285714285714285,0.79765,0.023370247334241867,0.3501134216785431,,,,,
1086,57,train,-0.5333333333333333,20,0,0.14035087719298245,0.79385,0.03572931885719299,0.3299577236175537,,,,,
1095,58,train,2.41,9,1,0.15517241379310345,0.7921400000000001,0.03603809326887131,0.33421629667282104,,,,,
1115,59,train,0.5166666666666663,20,0,0.15254237288135594,0.78834,0.03612536936998367,0.4744846820831299,,,,,
1135,60,train,0.8,20,0,0.15,0.78454,0.03556784242391586,0.42857784032821655,,,,,
1155,61,train,0.7166666666666668,20,0,0.14754098360655737,0.78074,0.037353090941905975,0.444934606552124,,,,,
1175,62,train,-0.03333333333333341,20,0,0.14516129032258066,0.77694,0.018903611227869987,0.42681482434272766,,,,,
1195,63,train,0.5499999999999999,20,0,0.14285714285714285,0.7731399999999999,0.030057713389396667,0.45416176319122314,,,,,
1215,64,train,0.3833333333333332,20,0,0.140625,0.76934,0.03506626933813095,0.4576044976711273,,,,,
1223,65,train,2.336666666666667,8,1,0.15384615384615385,0.76782,0.06413090229034424,0.44303959608078003,,,,,
1234,66,train,2.2233333333333336,11,1,0.16666666666666666,0.76573,0.04406788572669029,0.46076029539108276,,,,,
1254,67,train,0.4999999999999999,20,0,0.16417910447761194,0.76193,0.032483071088790894,0.45634907484054565,,,,,
