step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
20,1,train,-0.41666666666666674,20,0,0.0,0.99639,,,,,,,
40,2,train,0.29999999999999977,20,0,0.0,0.99259,,,,,,,
60,3,train,-0.36666666666666675,20,0,0.0,0.98879,,,,,,,
80,4,train,-0.6666666666666667,20,0,0.0,0.98499,,,,,,,
100,5,train,-0.4166666666666668,20,0,0.0,0.98119,,,,,,,
120,6,train,-0.5000000000000001,20,0,0.0,0.97739,,,,,,,
140,7,train,0.6333333333333335,20,0,0.0,0.97359,,,,,,,
160,8,train,0.3,20,0,0.0,0.96979,,,,,,,
180,9,train,0.04999999999999989,20,0,0.0,0.96599,,,,,,,
183,10,train,2.2199999999999998,3,1,0.1,0.96542,,,,,,,
203,11,train,-0.16666666666666666,20,0,0.09090909090909091,0.96162,,,,,,,
223,12,train,0.7333333333333331,20,0,0.08333333333333333,0.95782,,,,,,,
243,13,train,-0.04999999999999994,20,0,0.07692307692307693,0.95402,,,,,,,
263,14,train,0.46666666666666656,20,0,0.07142857142857142,0.95022,,,,,,,
283,15,train,-0.28333333333333344,20,0,0.06666666666666667,0.94642,,,,,,,
303,16,train,-0.40000000000000013,20,0,0.0625,0.94262,,,,,,,
323,17,train,-0.05000000000000011,20,0,0.058823529411764705,0.93882,,,,,,,
343,18,train,0.38333333333333336,20,0,0.05555555555555555,0.93502,,,,,,,
363,19,train,-0.3666666666666667,20,0,0.05263157894736842,0.9312199999999999,,,,,,,
383,20,train,0.2833333333333335,20,0,0.05,0.92742,,,,,,,
403,21,train,0.3,20,0,0.047619047619047616,0.92362,,,,,,,
423,22,train,0.7166666666666667,20,0,0.045454545454545456,0.91982,,,,,,,
443,23,train,-0.6666666666666667,20,0,0.043478260869565216,0.9160200000000001,,,,,,,
459,24,train,2.09,16,1,0.08333333333333333,0.91298,,,,,,,
475,25,train,2.256666666666667,16,1,0.12,0.90994,,,,,,,
495,26,train,0.05000000000000004,20,0,0.11538461538461539,0.90614,,,,,,,
515,27,train,0.46666666666666673,20,0,0.1111111111111111,0.90234,0.4572902321815491,,1.6530916690826416,,,,
535,28,train,-0.03333333333333344,20,0,0.10714285714285714,0.89854,0.27970585227012634,,1.486517310142517,,,,
555,29,train,0.8,20,0,0.10344827586206896,0.89474,0.2463068664073944,,1.7290163040161133,,,,
575,30,train,0.6666666666666666,20,0,0.1,0.8909400000000001,0.21513886749744415,,1.5317611694335938,,,,
595,31,train,0.6333333333333335,20,0,0.0967741935483871,0.88714,0.11849269270896912,,1.3276937007904053,,,,
615,32,train,0.8,20,0,0.09375,0.88334,0.11198592185974121,,1.6071569919586182,,,,
635,33,train,0.5,20,0,0.09090909090909091,0.87954,0.16308055818080902,,1.422304391860962,,,,
655,34,train,0.3833333333333331,20,0,0.08823529411764706,0.87574,0.24283304810523987,,1.5366404056549072,,,,
675,35,train,0.033333333333333236,20,0,0.08571428571428572,0.8719399999999999,0.3304365873336792,,1.5525963306427002,,,,
695,36,train,0.23333333333333323,20,0,0.08333333333333333,0.86814,0.2287956327199936,,1.5543535947799683,,,,
698,37,train,2.3033333333333332,3,1,0.10810810810810811,0.86757,0.1289888620376587,,1.4598443508148193,,,,
718,38,train,0.4666666666666667,20,0,0.10526315789473684,0.86377,0.6324504613876343,,2.2183961868286133,,,,
738,39,train,0.5833333333333335,20,0,0.10256410256410256,0.85997,0.2990769147872925,,1.9953677654266357,,,,
758,40,train,-0.36666666666666664,20,0,0.1,0.85617,0.5162599682807922,,2.0783703327178955,,,,
778,41,train,-0.06666666666666674,20,0,0.0975609756097561,0.85237,0.760392963886261,,2.171488046646118,,,,
798,42,train,-0.04999999999999999,20,0,0.09523809523809523,0.84857,0.40355566143989563,,2.020744562149048,,,,
818,43,train,0.5499999999999999,20,0,0.09302325581395349,0.84477,0.15814688801765442,,2.260960102081299,,,,
838,44,train,0.43333333333333307,20,0,0.09090909090909091,0.84097,0.17705513536930084,,2.2852790355682373,,,,
858,45,train,0.5499999999999999,20,0,0.08888888888888889,0.83717,0.26222681999206543,,1.9284788370132446,,,,
878,46,train,0.8000000000000002,20,0,0.08695652173913043,0.8333699999999999,0.2545423209667206,,2.0876312255859375,,,,
898,47,train,-0.6666666666666669,20,0,0.0851063829787234,0.82957,0.507642388343811,,2.0734074115753174,,,,
918,48,train,0.21666666666666662,20,0,0.08333333333333333,0.82577,0.057747986167669296,,2.483797550201416,,,,
938,49,train,-0.6166666666666669,20,0,0.08163265306122448,0.82197,0.5225679874420166,,2.3964476585388184,,,,
958,50,train,-0.3833333333333336,20,0,0.08,0.8181700000000001,0.36521491408348083,,2.528132438659668,,,,
958,50,eval,,,,,0.8181700000000001,,,,-0.37666666666666676,0.5023113244459724,0.0,20.0
978,51,train,-0.11666666666666667,20,0,0.0784313725490196,0.81437,0.43354058265686035,,2.3790035247802734,,,,
998,52,train,0.21666666666666673,20,0,0.07692307692307693,0.81057,0.2757817208766937,,2.403975248336792,,,,
1018,53,train,0.2833333333333332,20,0,0.07547169811320754,0.80677,0.43822503089904785,,2.555577278137207,,,,
1038,54,train,0.4166666666666667,20,0,0.07407407407407407,0.80297,0.27256664633750916,,2.3225209712982178,,,,
1053,55,train,2.5166666666666666,15,1,0.09090909090909091,0.8001199999999999,0.19390375912189484,,2.4179635047912598,,,,
1073,56,train,0.31666666666666676,20,0,0.08928571428571429,0.79632,0.264183908700943,,2.7665610313415527,,,,
1093,57,train,-0.41666666666666674,20,0,0.08771929824561403,0.79252,0.13867969810962677,,2.5521998405456543,,,,
1113,58,train,0.4666666666666666,20,0,0.08620689655172414,0.7887200000000001,0.16061770915985107,,2.9039201736450195,,,,
1133,59,train,0.4666666666666666,20,0,0.0847457627118644,0.7849200000000001,0.8571217060089111,,2.6804444789886475,,,,
1153,60,train,-0.5666666666666668,20,0,0.08333333333333333,0.78112,0.14609283208847046,,2.7546932697296143,,,,
1173,61,train,-0.16666666666666657,20,0,0.08196721311475409,0.77732,0.5663386583328247,,2.9258508682250977,,,,
1193,62,train,0.38333333333333325,20,0,0.08064516129032258,0.77352,0.1709439754486084,,3.0177931785583496,,,,
1213,63,train,0.55,20,0,0.07936507936507936,0.76972,0.44395172595977783,,2.8716487884521484,,,,
1233,64,train,-0.3666666666666668,20,0,0.078125,0.7659199999999999,0.3972245752811432,,2.9282846450805664,,,,
1253,65,train,-0.11666666666666668,20,0,0.07692307692307693,0.76212,0.38597726821899414,,2.9350950717926025,,,,
1273,66,train,0.1333333333333333,20,0,0.07575757575757576,0.75832,0.6547332406044006,,2.886838912963867,,,,
