step,episode,ep_return,ep_length,ep_success,epsilon
25,1,0.1499999999999998,25,0,0.9848
50,2,0.7499999999999998,25,0,0.9689666666666666
75,3,-0.30000000000000004,25,0,0.9531333333333334
100,4,-0.8000000000000004,25,0,0.9373
125,5,-8.153200337090993e-17,25,0,0.9214666666666667
150,6,0.09999999999999992,25,0,0.9056333333333333
175,7,0.6999999999999998,25,0,0.8898
200,8,0.2499999999999999,25,0,0.8739666666666667
225,9,0.1999999999999998,25,0,0.8581333333333333
250,10,0.09999999999999994,25,0,0.8423
275,11,0.10000000000000002,25,0,0.8264666666666667
300,12,-0.30000000000000004,25,0,0.8106333333333333
325,13,0.7499999999999998,25,0,0.7948
350,14,0.5999999999999999,25,0,0.7789666666666667
375,15,0.049999999999999836,25,0,0.7631333333333333
400,16,0.09999999999999987,25,0,0.7473000000000001
425,17,-0.35000000000000003,25,0,0.7314666666666667
450,18,0.6999999999999997,25,0,0.7156333333333333
475,19,0.39999999999999997,25,0,0.6998
500,20,-0.5500000000000002,25,0,0.6839666666666666
525,21,0.8999999999999997,25,0,0.6681333333333334
550,22,0.7499999999999998,25,0,0.6523000000000001
575,23,-0.6500000000000001,25,0,0.6364666666666667
600,24,0.14999999999999986,25,0,0.6206333333333334
625,25,-0.15000000000000016,25,0,0.6048
625,25,,,,0.6048
650,26,-0.4500000000000002,25,0,0.5889666666666666
675,27,0.09999999999999985,25,0,0.5731333333333334
700,28,-0.5000000000000001,25,0,0.5573
725,29,-0.6000000000000001,25,0,0.5414666666666667
750,30,-0.4500000000000001,25,0,0.5256333333333334
775,31,0.7999999999999998,25,0,0.5098
800,32,0.44999999999999996,25,0,0.4939666666666668
825,33,-0.3000000000000001,25,0,0.4781333333333333
850,34,-0.6500000000000002,25,0,0.46230000000000004
875,35,-0.20000000000000023,25,0,0.4464666666666667
900,36,-0.6000000000000001,25,0,0.4306333333333333
925,37,-0.9500000000000004,25,0,0.41480000000000006
950,38,-0.5000000000000001,25,0,0.3989666666666667
975,39,0.2499999999999999,25,0,0.3831333333333333
1000,40,0.6999999999999997,25,0,0.36729999999999996
1025,41,-1.0500000000000005,25,0,0.3514666666666667
1050,42,0.2499999999999999,25,0,0.33563333333333334
1075,43,-0.8500000000000003,25,0,0.3198000000000001
1100,44,-0.4500000000000002,25,0,0.3039666666666667
